,input,label,llm_label,rationale
17,"What should you do when you need to raise your body temperature when it is chilly at night outdoors?
Answer Choices:
(a) warmth
(b) go to jail
(c) sleepover
(d) burns
(e) damage",warmth,warmth,"The answer must be something that will raise your body temperature. Of the above choices, only warmth will raise your body temperature."
18,"Why is a person likely to stop eating hamburger and save the rest for later?
Answer Choices:
(a) sadness
(b) being full
(c) heartburn
(d) food poisoning
(e) death",being full,being full,"The answer must be a reason why someone would stop eating. Of the above choices, only being full is a reason to stop eating."
19,"The snake found a warm place to sleep next to a human, where did it end up?
Answer Choices:
(a) tree
(b) warm place
(c) wooded area
(d) sand
(e) sleeping bag",sleeping bag,sleeping bag,"The answer must be a place where a snake can sleep next to a human. Of the above choices, only sleeping bag makes sense."
20,"Where could you find a toilet that anyone can use?
Answer Choices:
(a) bathroom
(b) apartment
(c) stall
(d) hospital
(e) rest area",rest area,rest area,"The answer must be a place where anyone can use the toilet. Of the above choices, only rest areas have toilets that anyone can use."
21,"Where are human nerves found?
Answer Choices:
(a) possum
(b) person's body
(c) animal
(d) organism
(e) fingertips",person's body,person's body,"The answer must be a place where human nerves are found. Of the above choices, only person's body is a place where human nerves are found."
22,"Where would a lawyer look to find a rule  they are governed by?
Answer Choices:
(a) football game
(b) hunger games
(c) family situation
(d) text book
(e) lawbook",lawbook,lawbook,"The answer must be a place where a lawyer can find a rule. Of the above choices, only lawbooks have rules."
23,"Billy thought that he was smart, but many of his attitudes didn't were very regressive. How might you describe him?
Answer Choices:
(a) backward
(b) ignorant
(c) garish
(d) intelligent
(e) annoying",backward,ignorant,"The answer should be a word that describes someone who is smart but has regressive attitudes. Of the above choices, only ignorant makes sense."
24,"Where is an athlete likely to be showcased by local fans?
Answer Choices:
(a) sporting event
(b) museum
(c) stadium
(d) locker room
(e) olympics",sporting event,stadium,"The answer must be a place where athletes are showcased. Of the above choices, only stadiums are places where athletes are showcased."
25,"Where would you find a public amphitheatre in a city?
Answer Choices:
(a) greece
(b) movie house
(c) park
(d) italy
(e) outside",park,park,"The answer must be a place where a public amphitheatre is found. Of the above choices, only parks have public amphitheatres."
26,"The school dress code was strict, all girls had to wear a what?
Answer Choices:
(a) pants
(b) trousers
(c) pant
(d) long skirt
(e) naked",long skirt,long skirt,"The answer must be something that all girls had to wear. Of the above choices, only long skirts are worn by all girls."
27,"Where would a ficus plant brighten up a room?
Answer Choices:
(a) middle east
(b) palace
(c) dictionary
(d) pots
(e) apartment",apartment,apartment,"The answer must be a place where a ficus plant would brighten up a room. Of the above choices, only an apartment is a place where a ficus plant would brighten up a room."
28,"Sally and Joe were burned by chemicals because they ignored the signs.  She had chemical burns in her vagina.   Where might they have been?
Answer Choices:
(a) swimming pool
(b) beach
(c) crystal meth lab
(d) chemistry lab
(e) laboratory",swimming pool,chemistry lab or,"The answer must be a place where chemicals are used. Of the above choices, only chemistry lab and laboratory are places where chemicals are used."
29,"Sally wanted a stuffed animal for her birth day, so her father took her some place to pick one out. Where might they have gone?
Answer Choices:
(a) children's room
(b) kindergarten
(c) hall
(d) amusement park
(e) toy store",toy store,toy store,"The answer must be a place where stuffed animals are sold. Of the above choices, only toy stores sell stuffed animals."
30,"The man began to cogitate about cogitating, being able to do this meant he clearly he must what?
Answer Choices:
(a) obsessive compulsive
(b) mad
(c) perambulate
(d) have brain
(e) sit quietly",have brain,have brain,"The answer must be something that the man must have in order to cogitate about cogitating. Of the above choices, only a brain is needed to cogitate."
31,"The hermit had a bedroom and kitchen in his what on the hill?
Answer Choices:
(a) dwelling
(b) apartment
(c) at hotel
(d) condo
(e) loft",dwelling,dwelling,"The answer must be a place where a hermit can live. Of the above choices, only dwelling is a place where a hermit can live."
32,"What does someone committing perjury likely doing?
Answer Choices:
(a) great anxiety
(b) lies
(c) guilt
(d) testify
(e) object",lies,lies,"The answer must be something that someone committing perjury is likely doing. Of the above choices, only lying is something that someone committing perjury is likely doing."
33,"Where do you keep instruments when you travel?
Answer Choices:
(a) music shop
(b) laboratory
(c) case
(d) operating room
(e) shed",case,case,"The answer must be a place where instruments are kept. Of the above choices, only cases are used to keep instruments."
34,"Where is likely to have a walk in type wardrobe?
Answer Choices:
(a) recreational vehicle
(b) clothes cupboard
(c) house
(d) mansion
(e) bedroom",mansion,bedroom,"The answer must be a place that has a walk in type wardrobe. Of the above choices, only a bedroom has a walk in type wardrobe."
35,"What is a maid usually hired for?
Answer Choices:
(a) cleaning house
(b) iron shirts and trousers
(c) clean house
(d) maid uniform
(e) clean room",cleaning house,cleaning house,"The answer must be something that a maid is hired for. Of the above choices, only cleaning house is something that a maid is hired for."
36,"Dan said that getting in line was the best choice because it would lead to what?
Answer Choices:
(a) being ordered
(b) less confusion
(c) boredom
(d) standing in line
(e) have to wait for",less confusion,standing in line,"The answer must be something that would happen if you got in line. Of the above choices, only standing in line would happen if you got in line."
37,"Google Maps and other highway and street GPS services have replaced what?
Answer Choices:
(a) united states
(b) mexico
(c) countryside
(d) atlas
(e) oceans",atlas,atlas,"The answer must be something that used to do what Google Maps and GPS services do, which is to give directions. Of the above choices, only atlases are used to give directions."
38,"Where would you find a monitor wall that is used for watching moving lines?
Answer Choices:
(a) studios
(b) security office
(c) hospital
(d) department store
(e) guard station",hospital,security office,"The answer must be a place where you would find a monitor wall. Of the above choices, only security office makes sense for having a monitor wall."
39,"There are many wage gaps being discussed, the most important of which is between the rich and what?
Answer Choices:
(a) plain
(b) sleepy
(c) poor
(d) idle
(e) needy",poor,poor,"The answer must be the opposite of rich. Of the above choices, only poor is the opposite of rich."
40,"Kids have vivid imaginations, they can take anything and use it to what?
Answer Choices:
(a) play with toys
(b) play games
(c) learn things
(d) do homework
(e) swimming pool",play games,play games,"The answer must be something that kids can use their imagination for. Of the above choices, only games can be played with imagination."
41,"The stray dog never warmed up to a human again, he never got over being what?
Answer Choices:
(a) guard house
(b) fleas
(c) abandoned
(d) walked
(e) punishment",abandoned,abandoned,"The answer must be something that would make a dog not warm up to a human. Of the above choices, only being abandoned would make a dog not warm up to a human."
42,"John noticed that there was a lot of dust in the room.  He cleaned off the place where food is served last.   Where might John have cleaned last?
Answer Choices:
(a) shelf
(b) library
(c) table
(d) fridge
(e) refrigerator",table,table,"The answer must be a place where food is served. Of the above choices, only table is a place where food is served."
43,"Where would you find a pot that is being used by someone?
Answer Choices:
(a) toilet
(b) porch
(c) greenhouse
(d) cupboard
(e) restaurant",restaurant,greenhouse,"The answer must be a place where pots are used. Of the above choices, only a greenhouse uses pots."
44,"What might someone want to be if he or she is thick?
Answer Choices:
(a) slender
(b) free flowing
(c) sparse
(d) unacquainted
(e) diet",slender,slender,"The answer must be the opposite of thick. Of the above choices, only slender is the opposite of thick."
45,"What would you put in a teakettle?
Answer Choices:
(a) england
(b) tea
(c) cupboard
(d) water
(e) japanese tea room",water,water,"The answer must be something that goes in a teakettle. Of the above choices, only water goes in a teakettle."
46,"What happens to people, including their stomach, if they do not eat enough food?
Answer Choices:
(a) appear beautiful
(b) jump ahead
(c) suffering pain
(d) talk to each other
(e) free slaves",suffering pain,suffering pain,"The answer must be something that happens to people who do not eat enough food. Of the above choices, only suffering pain makes sense."
47,"I live in a rural area, so where am I likely going if I drive through a turnpike?
Answer Choices:
(a) drive to work
(b) urban region
(c) atlas
(d) countryside
(e) eastern united states",urban region,urban region,"The answer must be the place where turnpikes are located. Of the above choices, turnpikes are located in urban regions."
48,"Where are files likely to be hanging?
Answer Choices:
(a) filing cabinet
(b) tree
(c) suitcase
(d) computer
(e) desk drawer",filing cabinet,filing cabinet,"The answer must be a place where files are likely to be hanging. Of the above choices, only filing cabinet is a place where files are likely to be hanging."
49,"Where would you usually find a hole made by an animal?
Answer Choices:
(a) trap
(b) golf course
(c) wall
(d) ground
(e) swiss cheese",ground,ground,"The answer must be a place where animals make holes. Of the above choices, only the ground is a place where animals make holes."
50,"A weasel is cursed by a witch, where is the weasel stuck?
Answer Choices:
(a) corn fields
(b) great outdoors
(c) fairytale
(d) imagination
(e) chicken coop",fairytale,chicken coop,"The answer must be a place where a weasel would be stuck. Of the above choices, only chicken coop makes sense."
51,"The scientists dealt with many preserved specimens, so their what was equipped with cold storage?
Answer Choices:
(a) warehouse
(b) laboratory
(c) freezer
(d) book store
(e) refrigerator",laboratory,laboratory,"The answer must be a place that can store preserved specimens. Of the above choices, only a laboratory can store preserved specimens."
52,"A strong laxative will help you keep what kind of bowel movements?
Answer Choices:
(a) strongwoman
(b) cake
(c) regular
(d) weak
(e) fragile",regular,regular,"The answer must be the kind of bowel movements that a strong laxative will help you keep. Of the above choices, only regular bowel movements are kept by a strong laxative."
53,"She was there for for just one location and one pair of jeans, but she spent hours looking at everything and anything in the what?
Answer Choices:
(a) clothing store
(b) shopping plaza
(c) shopping mall
(d) laundromat
(e) thrift store",shopping mall,clothing store,"The answer must be a place where you can buy jeans. Of the above choices, only clothing stores sell jeans."
54,"Why would you try to stop someone from playing violin?
Answer Choices:
(a) relaxation
(b) loud noises
(c) compose music
(d) making music
(e) sadness",loud noises,loud noises,"The answer must be something that would make you want to stop someone from playing violin. Of the above choices, only loud noises would make you want to stop someone from playing violin."
55,"Why does a person go to a soup kitchen?
Answer Choices:
(a) own house
(b) oral sex
(c) statue
(d) in mail
(e) free food",free food,free food,"The answer must be something that a person would go to a soup kitchen for. Of the above choices, only free food is something that a person would go to a soup kitchen for."
56,"The crowd wasn't that big.  It can better be described as what?
Answer Choices:
(a) field
(b) alone
(c) small group
(d) solitude
(e) solitary",small group,small group,"The answer must be a small group. Of the above choices, only small group is a small group."
57,"Where do you typically use a tourniquet?
Answer Choices:
(a) hospital
(b) ghetto
(c) emergency kit
(d) controlling bleeding
(e) ambulance",hospital,emergency kit,"The answer must be a place where a tourniquet is used. Of the above choices, only emergency kit makes sense for a tourniquet."
58,"If kids experience aging what will do?
Answer Choices:
(a) become adults
(b) hatred
(c) distracting
(d) open door
(e) wonder about",become adults,become adults,"The answer must be something that kids will do if they experience aging. Of the above choices, only become adults makes sense."
59,"What magical kingdom is miserable in the rain?
Answer Choices:
(a) disneyland
(b) forest
(c) weather
(d) seattle
(e) street",disneyland,disneyland,"The answer must be a place that is miserable in the rain. Of the above choices, only Disneyland is miserable in the rain."
60,"With four legs dogs can do what?
Answer Choices:
(a) attack
(b) run fast
(c) fleas
(d) defend
(e) eat",run fast,run fast,"The answer must be something that dogs can do with four legs. Of the above choices, only run fast is something that dogs can do with four legs."
61,"North america has winter to start the year because it is where?
Answer Choices:
(a) america
(b) western hemisphere
(c) northern hemisphere
(d) occident
(e) north america is the world’s third-largest continent – 24",northern hemisphere,northern hemisphere,"The answer must be the place where North America is located. Of the above choices, only northern hemisphere is the place where North America is located."
62,"Dreaming scary things is likely to lead to waking up with a sense of this?
Answer Choices:
(a) sleepwalking
(b) might awaken
(c) fear
(d) nightmares
(e) hungry",fear,fear,"The answer must be the feeling of someone who has just woken up from a scary dream. Of the above choices, the closest feeling is fear."
63,"Two people were grooming each other in anticipation of a party.  Why might they be grooming?
Answer Choices:
(a) looking pretty
(b) positive
(c) late
(d) get
(e) unclean",looking pretty,looking pretty,"The answer must be something that people do to look pretty. Of the above choices, only looking pretty makes sense."
64,"Where would you put a ficus if you do not want it to damage your floor?
Answer Choices:
(a) dictionary
(b) middle east
(c) earth
(d) container
(e) tropical forest",container,container,"The answer must be a place where a ficus can be put without damaging the floor. Of the above choices, only a container can hold a ficus without damaging the floor."
65,"What is it called if a person has poor luck?
Answer Choices:
(a) schizophrenia
(b) misfortune
(c) fearful
(d) skills
(e) criticism",misfortune,misfortune,"The answer must be a word that describes someone with poor luck. Of the above choices, only misfortune describes someone with poor luck."
66,"Where are leaves best left?
Answer Choices:
(a) ground
(b) street
(c) trees
(d) roof
(e) in the garbage",trees,trees,"The answer must be a place where leaves are left. Of the above choices, only trees have leaves."
67,"Where do you throw garbage?
Answer Choices:
(a) toronto
(b) floor
(c) trashcan
(d) television
(e) in your neighbours yard",trashcan,trashcan,"The answer must be a place where garbage is thrown. Of the above choices, only trashcans are used to throw garbage."
68,"The book had deep meaning to the businessman, he always kept a copy of it beneath all his work in his what?
Answer Choices:
(a) shoe box
(b) suitcase
(c) synagogue
(d) briefcase
(e) backpack",briefcase,briefcase,"The answer must be something that a businessman would keep his work in. Of the above choices, only briefcases are used to keep work in."
69,"After giving assistance to a person who's lost their wallet what is customarily given?
Answer Choices:
(a) reward
(b) guillotine
(c) satisfaction
(d) helpfulness
(e) pleasure",reward,reward,"The answer should be something that is given to someone who has lost their wallet. Of the above choices, only rewards are given to people who have lost their wallet."
70,"what do you do before going to party?
Answer Choices:
(a) call 911
(b) enjoy yourself
(c) get drunk
(d) having sex
(e) meet new people",get drunk,meet new people,"The answer must be something that people do before going to a party. Of the above choices, only meeting new people is something that people do before going to a party."
71,"Where can you put your plants to make sure they get plenty of sunlight?
Answer Choices:
(a) roof
(b) ground
(c) park
(d) surface of earth
(e) windowsill",windowsill,windowsill,"The answer must be a place that gets plenty of sunlight. Of the above choices, only windowsills get plenty of sunlight."
72,"Sam would cry when he watched Old Yeller.  The movie was what?
Answer Choices:
(a) were sad
(b) distraught
(c) unhappy
(d) release tension and anxiety
(e) miserable",were sad,were sad,"The answer should be the feeling of someone who cries when watching a movie. Of the above choices, the closest feeling is sad."
73,"James and Jenny are good friends.  They spend a lot of time together and usually get home late.   Jenny is very smart and James likes to hear her doing something. What might James like to hear Jenny do?
Answer Choices:
(a) tell story
(b) sing
(c) clean room
(d) going out at night
(e) jump rope",tell story,sing,"The answer must be something that Jenny does that James likes to hear. Of the above choices, only sing is something that Jenny does that James likes to hear."
74,"The home school's team was playing basketball, ever score brought what from the crowd?
Answer Choices:
(a) sweating
(b) have fun
(c) cheers
(d) dancing
(e) pain",cheers,cheers,"The answer should be the reaction of the crowd to a score. Of the above choices, the closest reaction is cheers."
75,"If you're going to buy a house for your family you're about to do what?
Answer Choices:
(a) make money
(b) closet space
(c) settle down
(d) lose money
(e) pay for",settle down,settle down,"The answer must be something that you do when you buy a house. Of the above choices, only settle down is something you do when you buy a house."
76,"People celebrate by going places and riding rides.  What's one obvious place people might go to celebrate?
Answer Choices:
(a) state park
(b) opera
(c) disneyland
(d) carnival
(e) park",disneyland,disneyland or,"The answer must be a place where people go to celebrate. Of the above choices, only disneyland and carnival are places where people go to celebrate."
77,"When you are asleep at night and dreaming about monsters what are they?
Answer Choices:
(a) nightmares
(b) confusion
(c) frightening
(d) car accident
(e) fantasy",nightmares,nightmares,"The answer must be something that is frightening. Of the above choices, only nightmares are frightening."
78,"Where would you put a book after you buy it?
Answer Choices:
(a) discount store
(b) ground
(c) university
(d) house
(e) antique store",house,house,"The answer must be a place where books are kept. Of the above choices, only house makes sense for keeping books."
79,"Where do investment bankers hang out in the suburbs?
Answer Choices:
(a) wall street
(b) city hall
(c) monopoly game
(d) michigan
(e) country club",country club,country club,"The answer must be a place where investment bankers hang out. Of the above choices, only country clubs are places where investment bankers hang out."
80,"If someone rents a room where would the passageway to it be located?
Answer Choices:
(a) hotel
(b) cave
(c) jungle
(d) maze
(e) freeway",hotel,hotel,"The answer must be a place where rooms are rented. Of the above choices, only hotels rent rooms."
81,"He left camp following the river down below, his partnered remained where?
Answer Choices:
(a) upstairs
(b) inside
(c) over
(d) upstream
(e) above",upstream,upstream,"The answer must be the opposite of down below. Of the above choices, only upstream is the opposite of down below."
82,"How can you find a jellyfish without coming near it?
Answer Choices:
(a) hand
(b) store
(c) see
(d) mediterranean sea
(e) zoo",see,see,"The answer must be something that can be used to find a jellyfish without coming near it. Of the above choices, only see can be used to find a jellyfish without coming near it."
83,"What does a master carpenter use to put holes in objects?
Answer Choices:
(a) drill
(b) learn
(c) require obedience
(d) understand
(e) spoon",drill,drill,"The answer must be something that a master carpenter uses to put holes in objects. Of the above choices, only a drill is used to put holes in objects."
84,"One of the best ways to improve how you wrestle is by doing what?
Answer Choices:
(a) strong
(b) take lessons
(c) improve fist technique
(d) train yourself
(e) have strength",take lessons,take lessons,"The answer must be something that will improve wrestling. Of the above choices, only taking lessons will improve wrestling."
85,"What stadium is there where men once fought with spears?
Answer Choices:
(a) rome
(b) college town
(c) playing sports
(d) large city
(e) hold concert",rome,rome,"The answer must be a place where men fought with spears. Of the above choices, only Rome is a place where men fought with spears."
86,"If a person isn't being honest they are practicing what?
Answer Choices:
(a) live in poverty
(b) bad feelings
(c) deception
(d) bipolar
(e) schizophrenia",deception,deception,"The answer must be the opposite of being honest. Of the above choices, only deception is the opposite of being honest."
87,"Where could I eat a chocolate cake?
Answer Choices:
(a) mouth
(b) restaurant
(c) supermarket
(d) school
(e) box",restaurant,restaurant,"The answer must be a place where you can eat a chocolate cake. Of the above choices, only a restaurant is a place where you can eat a chocolate cake."
88,"Where do you buy a glass of wine?
Answer Choices:
(a) art show
(b) basement
(c) bar
(d) church
(e) basement",bar,bar,"The answer must be a place where you can buy a glass of wine. Of the above choices, only bars sell wine."
89,"How may one feel after playing games for a long time?
Answer Choices:
(a) fatigue
(b) happiness
(c) bournout
(d) learning
(e) losing",fatigue,fatigue,"The answer should be the feeling of someone who has been playing games for a long time. Of the above choices, the closest feeling is fatigue."
90,"The study showed driving while sleep deprived led to as many what accidents as being drunk?
Answer Choices:
(a) dangerous
(b) stressful
(c) being followed by
(d) honk the horn
(e) deadly",deadly,deadly,"The answer must be something that is caused by driving while sleep deprived. Of the above choices, only deadly accidents are caused by driving while sleep deprived."
91,"What is someone likely to have after going into a trance?
Answer Choices:
(a) mystical experience
(b) confusion
(c) sleepwalking
(d) peacefulness
(e) memory loss",memory loss,mystical experience,"The answer must be something that happens after going into a trance. Of the above choices, only mystical experience is something that happens after going into a trance."
92,"One indicator of a mouse in your house is what?
Answer Choices:
(a) cheese
(b) kitchen
(c) small hole
(d) department store
(e) garden",small hole,small hole,"The answer must be something that indicates a mouse in your house. Of the above choices, only small hole indicates a mouse in your house."
93,"Sally brought the ball when she visited Scott so that they could do what with it?
Answer Choices:
(a) bounces
(b) play with
(c) toy
(d) charming
(e) earball",play with,play with,"The answer must be something that can be done with a ball. Of the above choices, only play with makes sense."
94,"Where in a metropolitan area would you likely find a dance club?
Answer Choices:
(a) downtown area
(b) city hall
(c) toun
(d) united states
(e) downtown district",downtown area,downtown area,"The answer must be a place in a metropolitan area. Of the above choices, only downtown area is a place in a metropolitan area."
95,"The animals weren't good at swimming, so it was hard for them to do what?
Answer Choices:
(a) pass water
(b) bathe
(c) listen to each other
(d) feel pleasure
(e) reproduce asexually",pass water,bathe,"The answer must be something that animals do in water. Of the above choices, only bathing is done in water."
96,"Where are you when you need a pencil during a advanced theoretical physics speech?
Answer Choices:
(a) desk drawer
(b) home
(c) university
(d) classroom
(e) pocket",university,classroom,"The answer must be a place where you would need a pencil during a advanced theoretical physics speech. Of the above choices, only classroom makes sense."
97,"In Hollywood,  Beautiful isn't exceptional.  What is it?
Answer Choices:
(a) average
(b) worse
(c) ugly
(d) bad
(e) hideous",average,average,"The answer must be the opposite of exceptional. Of the above choices, only average is the opposite of exceptional."
98,"What does someone need to do to begin creating art?
Answer Choices:
(a) relax
(b) controversy
(c) pleasure
(d) frustration
(e) needs theater",relax,needs theater,"The answer must be something that is needed to create art. Of the above choices, only creativity is needed to create art."
99,"A small dog lived with a a woman who loved him. Where might he have lived?
Answer Choices:
(a) person's house
(b) dog house
(c) canada
(d) illinois
(e) basket",person's house,dog house,"The answer must be a place where a dog can live. Of the above choices, only dog house is a place where a dog can live."
100,"In what location would a blowfish be most happy?
Answer Choices:
(a) palm tree
(b) books
(c) fish market
(d) coral reef
(e) aquarium",coral reef,coral reef or,"The answer must be a place where a blowfish would be happy. Of the above choices, only coral reef and aquarium are places where a blowfish would be happy."
101,"Where would you find many products for sale?
Answer Choices:
(a) market
(b) cost one dollar
(c) shelf
(d) salon
(e) demonstration",market,market,"The answer must be a place where many products are sold. Of the above choices, only market is a place where many products are sold."
102,"The computer user did not know what he was doing at all, this made the instructional course pure what for him?
Answer Choices:
(a) energy
(b) office building
(c) hell
(d) school
(e) house",hell,hell,"The answer must be something that is pure. Of the above choices, only hell is pure."
103,"where can you catch a ball?
Answer Choices:
(a) sporting goods store
(b) shooting range
(c) bowling alley
(d) sporting event
(e) street",sporting event,sporting event,"The answer must be a place where you can catch a ball. Of the above choices, only sporting events have balls."
104,"The battleship fleet had all sorts of ships, the small one was called a what?
Answer Choices:
(a) submarine
(b) corvette
(c) destroyer
(d) gambit
(e) frigate",frigate,corvette,"The answer must be a small ship. Of the above choices, only corvette is a small ship."
105,"If kids are curious regarding the weather outside, what can they do to go outside?
Answer Choices:
(a) sit down
(b) count marbles
(c) open door
(d) wonder about
(e) become adults",open door,open door,"The answer must be something that allows kids to go outside. Of the above choices, only opening the door allows kids to go outside."
106,"If a person is complimentary and making trivial physical contact what are they trying to do?
Answer Choices:
(a) get laid
(b) acknowledgment
(c) accomplish goals
(d) marry
(e) talk about themselves",get laid,get laid,"The answer must be something that a person who is complimentary and making trivial physical contact is trying to do. Of the above choices, the closest answer is get laid."
107,"Sam liked procreating.   He didn't care about the children, but he loved a specific part of it.  What did he enjoy?
Answer Choices:
(a) naked
(b) cum
(c) orgasm
(d) in bed
(e) penetration",orgasm,orgasm,"The answer must be something that Sam enjoyed. Of the above choices, only orgasm is something that Sam enjoyed."
108,"Where is a great place to display a flower on a table?
Answer Choices:
(a) vase
(b) shelf
(c) park
(d) garden
(e) windowsill",vase,vase,"The answer must be a place where a flower can be displayed. Of the above choices, only a vase is used to display a flower."
109,"What could someone get into if he or she is becoming inebriated?
Answer Choices:
(a) fights
(b) addiction
(c) arrest
(d) staggering
(e) paralysis",fights,arrest,"The answer must be something that could happen to someone who is inebriated. Of the above choices, only arrest is something that could happen to someone who is inebriated."
110,"If you're relaxing with friends and you agree with one but not the other, what have you done?
Answer Choices:
(a) keep secrets
(b) side with
(c) hang out
(d) lying
(e) talking about",side with,side with,"The answer must be something that you do with friends. Of the above choices, only side with is something that you do with friends."
111,"The weasel wanted a home, where did it happen to find one?
Answer Choices:
(a) law office
(b) in the car
(c) backyards
(d) hollow log
(e) forrest",hollow log,hollow log,"The answer must be a place where a weasel can live. Of the above choices, only hollow log is a place where a weasel can live."
112,"The couple woke up to good weather finally, the rain had ruined the vacation so far but today they would what?
Answer Choices:
(a) climb
(b) play frisbee
(c) travel
(d) hike
(e) go somewhere",go somewhere,travel,"The answer must be something that the couple would do on a good day. Of the above choices, only hiking and traveling make sense."
113,"The drama had quite an affect on the humans, the highs and lows had them all what?
Answer Choices:
(a) give up
(b) bald
(c) very adaptable
(d) male or female
(e) emotional",emotional,emotional,"The answer should be the feeling of someone watching a drama. Of the above choices, the closest feeling is emotional."
114,"Where are seats most likely bleachers?
Answer Choices:
(a) movies
(b) opera
(c) theater
(d) lecture hall
(e) hockey game",hockey game,hockey game,"The answer must be a place where bleachers are used. Of the above choices, only hockey games use bleachers."
115,"The man was getting drunk, his stride was struggling and he was what?
Answer Choices:
(a) staggering
(b) fall down
(c) throw up
(d) getting arrested
(e) turning into a butterfly",staggering,staggering,"The answer must be something that a drunk person does. Of the above choices, only staggering is something that a drunk person does."
116,"Bob and Boris were standing in a queue at the grocery store.  They were standing in place.  The line was fast, but the children in front of them were loud.   They were what?
Answer Choices:
(a) frustration
(b) being annoyed
(c) delays
(d) irritation
(e) out of order",being annoyed,irritation,"The answer should be the feeling of someone standing in a line with loud children. Of the above choices, the closest feeling is irritation."
117,"The snake was worried about predators overhead, where did it go for cover?
Answer Choices:
(a) wooded area
(b) tropical forest
(c) warm place
(d) canyon
(e) sleeping bag",wooded area,wooded area,"The answer must be a place that provides cover from predators overhead. Of the above choices, only a wooded area provides cover from predators overhead."
