,premise,hypothesis,label,llm_label,rationale,input
41,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,contradiction,neutral,The family of three is not necessarily at the mall shopping.,"A man, woman, and child enjoying themselves on a beach.</s>A family of three is at the mall shopping."
42,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,neutral,neutral,The people waiting on the train are not necessarily sitting.,People waiting to get on a train or just getting off.</s>The people waiting on the train are sitting.
43,People waiting to get on a train or just getting off.,There are people just getting on a train,entailment,neutral,People waiting to get on a train are not necessarily just getting on a train.,People waiting to get on a train or just getting off.</s>There are people just getting on a train
44,People waiting to get on a train or just getting off.,There are people waiting on a train.,entailment,neutral,People waiting to get on a train are not necessarily on the train.,People waiting to get on a train or just getting off.</s>There are people waiting on a train.
45,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,entailment,entailment,A little boy is a young child. The beach is outside.,A couple playing with a little boy on the beach.</s>A couple are playing with a young child outside.
46,A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,neutral,neutral,The couple could be playing with the child in a different way.,A couple playing with a little boy on the beach.</s>A couple are playing frisbee with a young child at the beach.
47,A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,contradiction,neutral,The couple is not necessarily watching the little girl.,A couple playing with a little boy on the beach.</s>A couple watch a little girl play by herself on the beach.
48,A couple play in the tide with their young son.,The family is sitting down for dinner.,contradiction,contradiction,The family is not sitting down for dinner.,A couple play in the tide with their young son.</s>The family is sitting down for dinner.
49,A couple play in the tide with their young son.,The family is outside.,entailment,entailment,"The family is in the tide, which is outside.",A couple play in the tide with their young son.</s>The family is outside.
50,A couple play in the tide with their young son.,The family is on vacation.,neutral,neutral,"The family could be on vacation, but they could also be at a beach near their home.",A couple play in the tide with their young son.</s>The family is on vacation.
51,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,contradiction,contradiction,The people are not standing still on the curb. They are crossing the street.,A man and a woman cross the street in front of a pizza and gyro restaurant.</s>The people are standing still on the curb.
52,A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.",entailment,entailment,The man and woman are two people. The pizza and gyro restaurant are a couple of restaurants.,"A man and a woman cross the street in front of a pizza and gyro restaurant.</s>Near a couple of restaurants, two people walk across the street."
53,A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,neutral,neutral,The man and woman are not necessarily a couple.,A man and a woman cross the street in front of a pizza and gyro restaurant.</s>The couple are walking across the street together.
54,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,contradiction,contradiction,The woman is wearing a jacket and hood.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is nake.
55,A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,neutral,entailment,"The woman is wearing a jacket and hood, which is usually worn when it is cold.",A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is cold.
56,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,entailment,entailment,The woman is wearing a green jacket.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is wearing green.
57,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,neutral,neutral,The man is not necessarily caucasian.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The man with the sign is caucasian.
58,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,contradiction,contradiction,The man is holding a sign for John's Pizza and Gyro.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>They are protesting outside the capital.
59,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,entailment,neutral,The woman in white is not the only thing in the picture.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A woman in white.
60,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,entailment,entailment,The man is holding a sign for a restaurant.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A man is advertising for a restaurant.
61,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,contradiction,contradiction,The woman is wearing white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman is wearing black.
62,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,neutral,neutral,"The man and woman are walking down a city street, but it is not crowded.",Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A man and a woman walk down a crowded city street.
63,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,entailment,entailment,The woman is wearing white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman is wearing white.
64,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,neutral,entailment,They are holding a sign for John's Pizza.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>They are working for John's Pizza.
65,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,contradiction,contradiction,The woman is not swimming.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>Olympic swimming.
66,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,contradiction,neutral,The man and woman are not necessarily eating together.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A man and a soman are eating together at John's Pizza and Gyro.
67,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,entailment,entailment,The woman and man are walking with a sign.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>They are walking with a sign.
68,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,neutral,neutral,The woman is not necessarily waiting for a friend.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman is waiting for a friend.
69,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,contradiction,contradiction,The man is not sitting down. He is walking.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.
70,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,entailment,entailment,The woman and man are outdoors because the background is a street.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman and man are outdoors.
71,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,neutral,contradiction,The woman is not ordering pizza.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A woman ordering pizza.
72,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,neutral,entailment,"The people are walking together, so they are related.","Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>The people are related."
73,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,contradiction,contradiction,"The two adults are walking, not running. The red shirted person is not chasing them.","Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults run across the street to get away from a red shirted person chasing them."
74,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,entailment,entailment,"The premise states that there are two adults, one female and one male.","Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>The adults are both male and female."
75,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,neutral,neutral,The two people are walking away from the eatery. The two people are not necessarily eating steak.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two people walk home after a tasty steak dinner."
76,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,contradiction,contradiction,The two adults are not swimming in water.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults swimming in water"
77,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,entailment,entailment,The two adults are walking across a street.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults walk across a street."
78,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,contradiction,contradiction,The two people are not riding bicycles. They are walking.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two people ride bicycles into a tunnel."
79,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,entailment,entailment,The two people are walking away from a restaurant.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two people walk away from a restaurant across a street."
80,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,neutral,neutral,The person in the foreground is not necessarily a convicted prisoner.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults walking across a road near the convicted prisoner dressed in red"
81,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,neutral,neutral,The two adults are not necessarily friends.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two friends cross a street."
82,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,contradiction,contradiction,The people in the picture are not boarding a train.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Some people board a train."
83,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,entailment,entailment,The two adults are walking across the street.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults walk across the street."
84,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,entailment,entailment,The two adults are walking across a road.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults walking across a road"
85,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,contradiction,contradiction,The woman in white is a woman.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>There are no women in the picture."
86,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,neutral,neutral,The red shirted person is not necessarily chasing the two adults.,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.</s>Two adults walk across the street to get away from a red shirted person who is chasing them."
87,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,contradiction, ,"The woman is not wearing a wedding ring. The man is not wearing a wedding ring. The woman is not sleeping. The man is not sleeping.
Answer","A woman wearing all white and eating, walks next to a man holding a briefcase.</s>A married couple is sleeping."
88,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,entailment,entailment,A woman is a female.,"A woman wearing all white and eating, walks next to a man holding a briefcase.</s>A female is next to a man."
89,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.,neutral, ,"The woman is wearing all white, which is a symbol of marriage. The man is holding a briefcase, which is a symbol of a job.","A woman wearing all white and eating, walks next to a man holding a briefcase.</s>A married couple is walking next to each other."
90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,contradiction,contradiction,The woman is eating a banana.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>Nobody has food."
91,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",entailment,neutral,The man is not necessarily trailing behind the woman.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>A woman eats a banana and walks across a street, and there is a man trailing behind her."
92,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,contradiction,contradiction,"The woman is eating a banana, not playing baseball. The man is holding a briefcase, not a baseball.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>The woman and man are playing baseball together."
93,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,neutral,neutral,The man and woman are not necessarily coworkers.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>two coworkers cross pathes on a street"
94,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",contradiction,contradiction,"The woman is eating a banana, not ice cream. The man is following the woman, not the other woman.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse."
95,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,neutral,neutral,The man could be going to school.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>The mans briefcase is for work."
96,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,entailment,entailment,A woman is a person.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>A person eating."
97,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,neutral,entailment,"The woman is eating a banana, so she is hungry.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>A person that is hungry."
98,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.,neutral,neutral,The woman could be an actress and the man could be her assistant.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>An actress and her favorite assistant talk a walk in the city."
99,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,entailment,neutral,The man is not necessarily following the woman.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>a woman eating a banana crosses a street"
100,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress,neutral,neutral,"The woman is eating a banana, which is a phallic symbol.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>the woman is a seductress"
101,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for lunch,contradiction,contradiction,"The woman is walking, not sitting.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>a woman sits for lunch"
102,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe,contradiction,contradiction,"the woman is eating a banana, not drinking coffee.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>the woman is having coffee at the cafe"
103,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,entailment,entailment,The woman is eating a banana.,"A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>The woman is eating a banana."
104,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,entailment,entailment,"the woman is walking across the street, which is outside.","A woman is walking across the street eating a banana, while a man is following with his briefcase.</s>the woman is outside"
105,A skier slides along a metal rail.,A skier is near the rail looking down.,neutral,neutral,The skier is not necessarily looking down.,A skier slides along a metal rail.</s>A skier is near the rail looking down.
106,A skier slides along a metal rail.,A skier is near the rail.,entailment,neutral,The skier is not necessarily near the rail.,A skier slides along a metal rail.</s>A skier is near the rail.
107,A skier slides along a metal rail.,A skier is away from the rail.,contradiction,contradiction,"The skier is sliding along the rail, not away from it.",A skier slides along a metal rail.</s>A skier is away from the rail.
108,A person on skis on a rail at night.,The woman eats a car,contradiction,contradiction,The person on skis is not a woman.,A person on skis on a rail at night.</s>The woman eats a car
109,A person on skis on a rail at night.,The person skiis,entailment,entailment,"The person is on skis, so he must be skiing.",A person on skis on a rail at night.</s>The person skiis
110,A person on skis on a rail at night.,They are fantastic skiiers,neutral,entailment,"The person is on a rail, which is a difficult thing to do.",A person on skis on a rail at night.</s>They are fantastic skiiers
111,A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.,neutral,entailment,The skier was on the edge of the ramp.,A skier in electric green on the edge of a ramp made of metal bars.</s>The skier was on the edge of the ramp.
112,A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.,entailment,contradiction,"The skier is on the edge of the ramp, not sliding down the race course.",A skier in electric green on the edge of a ramp made of metal bars.</s>The brightly dressed skier slid down the race course.
113,A skier in electric green on the edge of a ramp made of metal bars.,The jogger ran through the streets.,contradiction,neutral,The skier is not a jogger.,A skier in electric green on the edge of a ramp made of metal bars.</s>The jogger ran through the streets.
114,A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.,contradiction,contradiction,A skier is not a snowboarder.,A yellow uniformed skier is performing a trick across a railed object.</s>A snowboarder is riding a ski lift.
115,A yellow uniformed skier is performing a trick across a railed object.,A skier is competing in a competition.,neutral,neutral,"The skier is wearing a uniform, which is usually worn in competitions.",A yellow uniformed skier is performing a trick across a railed object.</s>A skier is competing in a competition.
116,A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.,entailment,entailment,Skiing is a winter sport.,A yellow uniformed skier is performing a trick across a railed object.</s>Somebody is engaging in winter sports.
117,A blond man is drinking from a public fountain.,The man is drinking water.,entailment,entailment,The man is drinking from a public fountain.,A blond man is drinking from a public fountain.</s>The man is drinking water.
