,index,premise,hypothesis,LLM_answer,rationale
31,31,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,entailment,A Little League team is a team. A runner is a runner. A base is a base. An afternoon game is a game.
32,32,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,neutral,"The team is playing baseball, but it is not specified where."
33,33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,neutral,A school can host a basketball game without having a special event.
34,34,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,entailment,The school is hosting an event.
35,35,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,entailment,The school is hosting an event.
36,36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,contradiction,High fashion ladies care about what clothes they wear.
37,37,High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,entailment,High fashion ladies are women.
38,38,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,entailment,The women are wearing high fashion clothes.
39,39,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",neutral,The man and woman could be the child's grandparents.
40,40,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,neutral,"The man, woman, and child could be friends."
41,41,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,neutral,The family of three is not necessarily at the mall shopping.
42,42,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,neutral,The people waiting on the train are not necessarily sitting.
43,43,People waiting to get on a train or just getting off.,There are people just getting on a train,neutral,People waiting to get on a train are not necessarily just getting on a train.
44,44,People waiting to get on a train or just getting off.,There are people waiting on a train.,neutral,People waiting to get on a train are not necessarily on the train.
45,45,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,entailment,A little boy is a young child. The beach is outside.
46,46,A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,neutral,The couple could be playing with the child in a different way.
47,47,A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,neutral,The couple is not necessarily watching the little girl.
48,48,A couple play in the tide with their young son.,The family is sitting down for dinner.,contradiction,The family is not sitting down for dinner.
49,49,A couple play in the tide with their young son.,The family is outside.,entailment,"The family is in the tide, which is outside."
50,50,A couple play in the tide with their young son.,The family is on vacation.,neutral,"The family could be on vacation, but they could also be at a beach near their home."
51,51,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,contradiction,The people are not standing still on the curb. They are crossing the street.
52,52,A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.",entailment,The man and woman are two people. The pizza and gyro restaurant are a couple of restaurants.
53,53,A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,neutral,The man and woman are not necessarily a couple.
54,54,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,contradiction,The woman is wearing a jacket and hood.
55,55,A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,entailment,"The woman is wearing a jacket and hood, which is usually worn when it is cold."
56,56,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,entailment,The woman is wearing a green jacket.
57,57,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,neutral,The man is not necessarily caucasian.
58,58,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,contradiction,The man is holding a sign for John's Pizza and Gyro.
59,59,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,neutral,The woman in white is not the only thing in the picture.
60,60,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,entailment,The man is holding a sign for a restaurant.
61,61,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,contradiction,The woman is wearing white.
62,62,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,neutral,"The man and woman are walking down a city street, but it is not crowded."
63,63,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,entailment,The woman is wearing white.
64,64,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,entailment,They are holding a sign for John's Pizza.
65,65,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,contradiction,The woman is not swimming.
66,66,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,neutral,The man and woman are not necessarily eating together.
67,67,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,entailment,The woman and man are walking with a sign.
68,68,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,neutral,The woman is not necessarily waiting for a friend.
69,69,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,contradiction,The man is not sitting down. He is walking.
70,70,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,entailment,The woman and man are outdoors because the background is a street.
71,71,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,contradiction,The woman is not ordering pizza.
72,72,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,entailment,"The people are walking together, so they are related."
73,73,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,contradiction,"The two adults are walking, not running. The red shirted person is not chasing them."
74,74,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,entailment,"The premise states that there are two adults, one female and one male."
75,75,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,neutral,The two people are walking away from the eatery. The two people are not necessarily eating steak.
76,76,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,contradiction,The two adults are not swimming in water.
77,77,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,entailment,The two adults are walking across a street.
78,78,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,contradiction,The two people are not riding bicycles. They are walking.
79,79,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,entailment,The two people are walking away from a restaurant.
80,80,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,neutral,The person in the foreground is not necessarily a convicted prisoner.
81,81,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,neutral,The two adults are not necessarily friends.
82,82,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,contradiction,The people in the picture are not boarding a train.
83,83,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,entailment,The two adults are walking across the street.
84,84,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,entailment,The two adults are walking across a road.
85,85,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,contradiction,The woman in white is a woman.
86,86,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,neutral,The red shirted person is not necessarily chasing the two adults.
87,87,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping., ,"The woman is not wearing a wedding ring. The man is not wearing a wedding ring. The woman is not sleeping. The man is not sleeping.
Answer"
88,88,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,entailment,A woman is a female.
89,89,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other., ,"The woman is wearing all white, which is a symbol of marriage. The man is holding a briefcase, which is a symbol of a job."
90,90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,contradiction,The woman is eating a banana.
91,91,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",neutral,The man is not necessarily trailing behind the woman.
92,92,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,contradiction,"The woman is eating a banana, not playing baseball. The man is holding a briefcase, not a baseball."
93,93,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,neutral,The man and woman are not necessarily coworkers.
94,94,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",contradiction,"The woman is eating a banana, not ice cream. The man is following the woman, not the other woman."
95,95,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,neutral,The man could be going to school.
96,96,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,entailment,A woman is a person.
97,97,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,entailment,"The woman is eating a banana, so she is hungry."
98,98,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.,neutral,The woman could be an actress and the man could be her assistant.
99,99,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,neutral,The man is not necessarily following the woman.
100,100,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress,neutral,"The woman is eating a banana, which is a phallic symbol."
101,101,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for lunch,contradiction,"The woman is walking, not sitting."
102,102,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe,contradiction,"the woman is eating a banana, not drinking coffee."
103,103,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,entailment,The woman is eating a banana.
104,104,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,entailment,"the woman is walking across the street, which is outside."
105,105,A skier slides along a metal rail.,A skier is near the rail looking down.,neutral,The skier is not necessarily looking down.
106,106,A skier slides along a metal rail.,A skier is near the rail.,neutral,The skier is not necessarily near the rail.
107,107,A skier slides along a metal rail.,A skier is away from the rail.,contradiction,"The skier is sliding along the rail, not away from it."
108,108,A person on skis on a rail at night.,The woman eats a car,contradiction,The person on skis is not a woman.
109,109,A person on skis on a rail at night.,The person skiis,entailment,"The person is on skis, so he must be skiing."
110,110,A person on skis on a rail at night.,They are fantastic skiiers,entailment,"The person is on a rail, which is a difficult thing to do."
111,111,A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.,entailment,The skier was on the edge of the ramp.
112,112,A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.,contradiction,"The skier is on the edge of the ramp, not sliding down the race course."
113,113,A skier in electric green on the edge of a ramp made of metal bars.,The jogger ran through the streets.,neutral,The skier is not a jogger.
114,114,A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.,contradiction,A skier is not a snowboarder.
115,115,A yellow uniformed skier is performing a trick across a railed object.,A skier is competing in a competition.,neutral,"The skier is wearing a uniform, which is usually worn in competitions."
116,116,A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.,entailment,Skiing is a winter sport.
117,117,A blond man is drinking from a public fountain.,The man is drinking water.,entailment,The man is drinking from a public fountain.
118,118,A blond man is drinking from a public fountain.,The man is very thirsty.,neutral,The man could be drinking from the fountain for fun.
119,119,A blond man is drinking from a public fountain.,The man is drinking coffee.,contradiction,"The man is drinking from a public fountain, not a coffee cup."
120,120,Wet brown dog swims towards camera.,The dog is sleeping in his bed.,contradiction,"The dog is swimming, not sleeping."
121,121,Wet brown dog swims towards camera.,A dog is playing fetch in a pond.,neutral,"The dog is swimming towards the camera, not towards a ball."
122,122,Wet brown dog swims towards camera.,A dog is in the water.,entailment,A dog is a dog.
123,123,Closeup image of a dog swimming.,A cat reluctantly takes a bath.,contradiction,A dog is not a cat. A dog swimming is not a cat taking a bath.
124,124,Closeup image of a dog swimming.,An underwater camera takes a photo of a puppy.,neutral,The camera is not necessarily underwater.
125,125,Closeup image of a dog swimming.,A dog swims in a body of water.,entailment,The dog is swimming in a body of water.
126,126,The furry brown dog is swimming in the ocean.,A dog is chasing a fish.,neutral,"The dog is swimming in the ocean, so it is possible that it is chasing a fish."
127,127,The furry brown dog is swimming in the ocean.,A dog is swimming.,entailment,A dog is a furry brown dog.
128,128,The furry brown dog is swimming in the ocean.,A dog is running around the yard.,contradiction,"The dog in the first sentence is swimming in the ocean, not running around the yard."
129,129,A big brown dog swims towards the camera.,A dog is chasing a stick.,contradiction,"The dog is swimming towards the camera, not chasing a stick."
130,130,A big brown dog swims towards the camera.,A photographer is taking pictures of a dog.,neutral,The photographer is not necessarily taking pictures of the dog.
131,131,A big brown dog swims towards the camera.,A dog swims towards the camera.,entailment,A big brown dog is a dog.
132,132,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.,entailment,The man wearing black with a gray hat is the farmer.
133,133,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.,entailment,The man with the gray hat and pitchfork is the same man as the man wearing black.
134,134,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman in a blue dress is hitching a horse to a cart.,contradiction,The man is not a woman. The man is not wearing a blue dress. The man is not hitching a horse to a cart.
135,135,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,entailment,A Clydesdale is a horse. A hay road is a country road.
136,136,"A man is leading a Clydesdale up a hay road, within a Old Country.",A woman in a gray business suit is drinking tea.,contradiction,The man leading the Clydesdale is not a woman in a gray business suit.
137,137,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his horse up a country road.,entailment,A Clydesdale is a horse. A straw hat is a type of hat. Overalls are a type of clothing.
138,138,A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.,contradiction,"The man is not fertilizering his garden, he is fertilizing his garden."
139,139,A farmer fertilizing his garden with manure with a horse and wagon.,The man is on the city street with his horse and wagon.,neutral,The man is not necessarily on a city street.
140,140,A farmer fertilizing his garden with manure with a horse and wagon.,The man is in an open field with a horse and wagon.,entailment,The man is in an open field with a horse and wagon.
141,141,A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.,entailment,"The horse is pulling a cart, which is hauling goods."
142,142,A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.,entailment,A horse is an animal.
143,143,A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race.,contradiction,"The horse is pulling a cart, not racing."
144,144,A small group of church-goers watch a choir practice.,A group watches a practice.,entailment,A small group is a group. A church-goer is a person.
145,145,A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good.,entailment,The small group of church-goers could be the pastor and elders.
146,146,A dog drops a red disc on a beach.,a dog catch the ball on a beach,neutral,The dog is not necessarily catching the ball.
147,147,A dog drops a red disc on a beach.,a dog drops a disc with a boy,neutral,The disc is not necessarily red.
148,148,A dog drops a red disc on a beach.,a dog drops a red disc,entailment,The dog is dropping a red disc.
149,149,A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.,neutral,"The man and woman could be married, but they could also be siblings, friends, or strangers."
150,150,A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.,entailment,The street is at the top of a hill.
151,151,A man and a woman are walking on a street at the top of a hill.,Two men play catch on a hill.,contradiction,The man and woman are not two men.
152,152,An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar.,contradiction,"The elderly man is drinking orange juice, not apple juice. The elderly man is at a cafe, not a bar."
153,153,An elderly man is drinking orange juice at a cafe.,An older gentleman is enjoying his orange juice at a new cafe.,entailment,An elderly man is an older gentleman.
154,154,An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.,entailment,An old man is an elderly man. A beverage is a drink.
155,155,A couple holding hands walks down a street.,Two men hold hands while walking down the street.,neutral,The couple could be a man and a woman.
156,156,A couple holding hands walks down a street.,There are people sitting on the side of the road.,neutral,The couple holding hands is not necessarily walking down the street.
157,157,A couple holding hands walks down a street.,People are holding hands and walking.,entailment,A couple is a type of people.
158,158,A couple walk through a white brick town.,People are walking outdoors.,entailment,A couple is a group of people.
159,159,A couple walk through a white brick town.,A man and woman walk in a brown brick city.,entailment,A couple is a man and a woman. A white brick town is a brown brick city.
160,160,A couple walk through a white brick town.,A man and woman walk through a big city.,entailment,A couple is a man and a woman. A white brick town is a big city.
161,161,Children going home from school.,The children are at the library.,contradiction,"The children are going home from school, not the library."
162,162,Children going home from school.,The school children head home.,entailment,Children going home from school are school children.
163,163,Children going home from school.,The children are walking in the afternooon.,entailment,"The children are going home from school, so it must be afternoon."
164,164,People listening to a choir in a Catholic church.,People are listening to a metal band.,contradiction,"The people are listening to a choir, not a metal band."
165,165,People listening to a choir in a Catholic church.,Choir singing in mass.,entailment,The choir is singing in mass.
166,166,People listening to a choir in a Catholic church.,People are in mass for a first communion,entailment,"People are in mass, and the people are in a Catholic church."
167,167,Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.,neutral,The bicyclist is not necessarily the same bicyclist in the premise.
168,168,Bicyclists waiting at an intersection.,The bicyclists are outside.,entailment,The bicyclists are waiting at an intersection. Intersections are outside.
169,169,Bicyclists waiting at an intersection.,Bicyclists waiting for a car to pass.,entailment,"The bicyclists are waiting at an intersection, so they are waiting for a car to pass."
170,170,Bicyclists waiting at an intersection.,A person on a bike is waiting while the light is green.,neutral,The light is not necessarily green.
171,171,Bicyclists waiting at an intersection.,The bicycles are on a road.,entailment,The bicycles are on a road because they are waiting at an intersection.
172,172,Bicyclists waiting at an intersection.,A person on a bike is near a street.,entailment,A bicyclist is a person on a bike. An intersection is near a street.
173,173,Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,entailment,Bikers are bicyclists.
174,174,Bicyclists waiting at an intersection.,The bicyclists ride through the mall on their bikes.,contradiction,"The bicyclists are waiting at an intersection, not riding through the mall."
175,175,Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,entailment,Bicyclists waiting at an intersection are waiting their turn to cross.
176,176,Bicyclists waiting at an intersection.,Bicyclists riding along a freeway.,neutral,Bicyclists waiting at an intersection are not necessarily riding along a freeway.
177,177,Bicyclists waiting at an intersection.,The bicyclists are dead.,contradiction,The bicyclists are not dead.
178,178,Bicyclists waiting at an intersection.,The bicyclists are riding to the book store.,contradiction,"The bicyclists are waiting at an intersection, not riding to the book store."
179,179,Bicyclists waiting at an intersection.,The bicyclists are in a race.,contradiction,"The bicyclists are waiting at an intersection, so they are not in a race."
180,180,Bicyclists waiting at an intersection.,The bicyclists are at home.,contradiction,The bicyclists are not at home.
181,181,Bicyclists waiting at an intersection.,A group of bicyclists remain on the sidewalk at the intersection.,contradiction,"The bicyclists are waiting at the intersection, not remaining on the sidewalk."
182,182,People waiting at a light on bikes.,A bunch of friends are on a boat,neutral,The people waiting at a light on bikes are not necessarily friends.
183,183,People waiting at a light on bikes.,People with bikes.,entailment,People waiting at a light on bikes are people with bikes.
184,184,People waiting at a light on bikes.,There are people on bikes at a light,entailment,People waiting at a light on bikes are people on bikes at a light.
185,185,People waiting at a light on bikes.,The people are inside waiting.,contradiction,"The people are not inside, they are outside."
186,186,People waiting at a light on bikes.,There are some people outside.,entailment,People waiting at a light on bikes are outside.
187,187,People waiting at a light on bikes.,People are on their bikes.,entailment,People waiting at a light on bikes are people on their bikes.
188,188,People waiting at a light on bikes.,The people are riding their bikes to the gym.,contradiction,"The people are waiting at a light, so they are not riding their bikes."
189,189,People waiting at a light on bikes.,People biking through the city.,neutral,People waiting at a light on bikes are not necessarily biking through the city.
190,190,People waiting at a light on bikes.,The people are on bikes.,entailment,The people are on bikes.
191,191,People waiting at a light on bikes.,There is traffic next to the bikes.,entailment,"The bikes are waiting at a light, so there must be traffic."
192,192,People waiting at a light on bikes.,The people are running a red light.,contradiction,"The people are waiting at a light, so they are not running a red light."
193,193,People waiting at a light on bikes.,People in a car race.,neutral,People on bikes are not necessarily in a car race.
194,194,People waiting at a light on bikes.,Men and women outside on a street corner.,entailment,The people waiting at a light on bikes are men and women.
195,195,People waiting at a light on bikes.,A ladybug has landed on a beautiful pink rose.,neutral,The people waiting at a light on bikes are not related to the ladybug landing on a beautiful pink rose.
196,196,People waiting at a light on bikes.,"Men and women on their motorcycles, wearing helmets and protective jackets.",neutral,People waiting at a light on bikes are not necessarily men and women on their motorcycles.
197,197,People on bicycles waiting at an intersection.,The people are on skateboards.,contradiction,People on bicycles are not people on skateboards.
198,198,People on bicycles waiting at an intersection.,People are riding their bicycles.,neutral,People on bicycles are not necessarily riding their bicycles.
199,199,People on bicycles waiting at an intersection.,There is a bike race happening right now.,neutral,People on bicycles waiting at an intersection is not enough information to determine if there is a bike race happening.
200,200,People on bicycles waiting at an intersection.,People on bicycles enjoy a conversation waiting for traffic.,entailment,People on bicycles are people. People enjoy conversations.
201,201,People on bicycles waiting at an intersection.,The people are trying to get to the convenience store across the street.,contradiction,"The people are waiting at an intersection, so they are not moving."
202,202,People on bicycles waiting at an intersection.,People wait on traffic.,entailment,People on bicycles are people.
203,203,People on bicycles waiting at an intersection.,Some people on bikes are stopped at a junction.,entailment,People on bicycles are people on bikes.
204,204,People on bicycles waiting at an intersection.,People are waiting on foot.,neutral,People on bicycles are not necessarily waiting on foot.
205,205,People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,entailment,People on bicycles are bicyclists.
206,206,People on bicycles waiting at an intersection.,The people are sleeping.,neutral,People on bicycles are not necessarily sleeping.
207,207,People on bicycles waiting at an intersection.,The people are waiting for the movie to begin.,contradiction,"The people are waiting at an intersection, not at a movie theater."
208,208,People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,entailment,The people on bicycles are waiting at an intersection.
209,209,People on bicycles waiting at an intersection.,People are on mountain bikes.,entailment,People on bicycles are people on mountain bikes.
210,210,People on bicycles waiting at an intersection.,There are people on bicycles.,entailment,People on bicycles are people.
211,211,People on bicycles waiting at an intersection.,People on bicycles speed through an intersection.,contradiction,"If people on bicycles are waiting at an intersection, they are not speeding through it."
212,212,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is empty.,contradiction,The cart is not empty because it is filled to the top.
