Unnamed: 0,premise,hypothesis,prompt,rationale,split,correct_index,LLM_answer,judge_source,judge_score,candidate_label,gold_label,label_match,word_count,overlap_score
10,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,,The man is not a boy. The man is not flipping a burger.,,,contradiction,paper,0.55,contradiction,contradiction,True,13,0.0
11,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,,An older man is not necessarily an elderly man.,,,neutral,paper,0.55,neutral,neutral,True,9,0.0
12,Two blond women are hugging one another.,Some women are hugging on vacation.,"Premise: Two blond women are hugging one another., Hypothesis: Some women are hugging on vacation.. What is the correct answer to the premise 'Two blond women are hugging one another.' and hypothesis Some women are hugging on vacation. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","3. The correct answer is **neutral**. The premise and the hypothesis are not related to each other. The premise does not imply or contradict the hypothesis. Some women hugging on vacation could be the same two blond women or different women, but it is not relevant to the fact that two blond women are hugging.","3. the correct answer is **neutral**. the premise and the hypothesis are not related to each other. the premise does not imply or contradict the hypothesis. some women hugging on vacation could be the same two blond women or different women, but it is not relevant to the fact that two blond women are hugging.

",{'neutral': 27},neutral,neutral,5.751765,neutral,neutral,True,55,0.235294
13,Two blond women are hugging one another.,The women are sleeping.,"Premise: Two blond women are hugging one another., Hypothesis: The women are sleeping.. What is the correct answer to the premise 'Two blond women are hugging one another.' and hypothesis The women are sleeping. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","4. The correct answer is **contradiction**. The premise and the hypothesis are mutually exclusive. The premise states that two blond women are hugging one another, which means they are awake and active. The hypothesis states that the women are sleeping, which means they are not awake or active. Therefore, the hypothesis is false if the premise is true.","4. the correct answer is **contradiction**. the premise and the hypothesis are mutually exclusive. the premise states that two blond women are hugging one another, which means they are awake and active. the hypothesis states that the women are sleeping, which means they are not awake or active. therefore, the hypothesis is false if the premise is true.

",{'contradiction': 27},contradiction,neutral,5.80129,contradiction,contradiction,True,58,0.290323
14,Two blond women are hugging one another.,There are women showing affection.,"Premise: Two blond women are hugging one another., Hypothesis: There are women showing affection.. What is the correct answer to the premise 'Two blond women are hugging one another.' and hypothesis There are women showing affection. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","5. The correct answer is **entailment**. The premise implies the hypothesis. Two blond women hugging one another is an example of women showing affection. Therefore, the hypothesis is true if the premise is true.","5. the correct answer is **entailment**. the premise implies the hypothesis. two blond women hugging one another is an example of women showing affection. therefore, the hypothesis is true if the premise is true.

",{'entailment': 27},entailment,neutral,5.987273,entailment,entailment,True,34,0.363636
15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,"Premise: A few people in a restaurant setting, one of them is drinking orange juice., Hypothesis: The people are eating omelettes.. What is the correct answer to the premise 'A few people in a restaurant setting, one of them is drinking orange juice.' and hypothesis The people are eating omelettes. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","6. The correct answer is **neutral**. The premise and the hypothesis are not related to each other. The premise does not imply or contradict the hypothesis. The people eating omelettes could be the same people in the restaurant setting or different people, but it is not relevant to the fact that one of them is drinking orange juice.","6. the correct answer is **neutral**. the premise and the hypothesis are not related to each other. the premise does not imply or contradict the hypothesis. the people eating omelettes could be the same people in the restaurant setting or different people, but it is not relevant to the fact that one of them is drinking orange juice.

",{'neutral': 27},neutral,neutral,5.886154,neutral,neutral,True,58,0.384615
16,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,"Premise: A few people in a restaurant setting, one of them is drinking orange juice., Hypothesis: The people are sitting at desks in school.. What is the correct answer to the premise 'A few people in a restaurant setting, one of them is drinking orange juice.' and hypothesis The people are sitting at desks in school. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","7. The correct answer is **contradiction**. The premise and the hypothesis are mutually exclusive. The premise states that a few people are in a restaurant setting, which means they are not in a school setting. The hypothesis states that the people are sitting at desks in school, which means they are not in a restaurant setting. Therefore, the hypothesis is false if the premise is true.","7. the correct answer is **contradiction**. the premise and the hypothesis are mutually exclusive. the premise states that a few people are in a restaurant setting, which means they are not in a school setting. the hypothesis states that the people are sitting at desks in school, which means they are not in a restaurant setting. therefore, the hypothesis is false if the premise is true.

",{'contradiction': 27},contradiction,neutral,5.917419,contradiction,contradiction,True,66,0.419355
17,"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,"Premise: A few people in a restaurant setting, one of them is drinking orange juice., Hypothesis: The diners are at a restaurant.. What is the correct answer to the premise 'A few people in a restaurant setting, one of them is drinking orange juice.' and hypothesis The diners are at a restaurant. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","8. The correct answer is **entailment**. The premise implies the hypothesis. A few people in a restaurant setting are also diners at a restaurant. Therefore, the hypothesis is true if the premise is true.","8. the correct answer is **entailment**. the premise implies the hypothesis. a few people in a restaurant setting are also diners at a restaurant. therefore, the hypothesis is true if the premise is true.

",{'entailment': 27},entailment,neutral,6.131429,entailment,entailment,True,34,0.52381
18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,"Premise: An older man is drinking orange juice at a restaurant., Hypothesis: A man is drinking juice.. What is the correct answer to the premise 'An older man is drinking orange juice at a restaurant.' and hypothesis A man is drinking juice. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","9. The correct answer is **entailment**. The premise implies the hypothesis. An older man is a type of man, and orange juice is a type of juice. Therefore, the hypothesis is true if the premise is true.","9. the correct answer is **entailment**. the premise implies the hypothesis. an older man is a type of man, and orange juice is a type of juice. therefore, the hypothesis is true if the premise is true.

",{'entailment': 27},entailment,neutral,5.975,entailment,entailment,True,37,0.35
19,An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,,The older man is not the two women.,,,neutral,paper,0.55,neutral,neutral,True,8,0.0
20,An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,"Premise: An older man is drinking orange juice at a restaurant., Hypothesis: A man in a restaurant is waiting for his meal to arrive.. Given the premise 'An older man is drinking orange juice at a restaurant.' and hypothesis A man in a restaurant is waiting for his meal to arrive., which among the choices ""entailment"", ""neutral"", ""contradiction"", is the correct answer? Explain your reasoning using conditional statements.
","1. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the man is waiting for his meal to arrive, but it is not necessarily true. A conditional statement that captures this is: **If** the man is waiting for his meal to arrive, **then** he is drinking orange juice at a restaurant, **but not vice versa**.","1. the correct answer is **neutral**. the premise does not entail or contradict the hypothesis, because it is possible that the man is waiting for his meal to arrive, but it is not necessarily true. a conditional statement that captures this is: **if** the man is waiting for his meal to arrive, **then** he is drinking orange juice at a restaurant, **but not vice versa**.

",{'neutral': 27},neutral,if_else,5.787317,neutral,neutral,True,65,0.341463
21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"Premise: A man with blond-hair, and a brown shirt drinking out of a public water fountain., Hypothesis: A blond man getting a drink of water from a fountain in the park.. What is the correct answer to the premise 'A man with blond-hair, and a brown shirt drinking out of a public water fountain.' and hypothesis A blond man getting a drink of water from a fountain in the park. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
",2. The correct answer is **entailment**. The premise and the hypothesis are logically related. The blond man getting a drink of water from a fountain in the park is a more specific description of the man with blond-hair and a brown shirt drinking out of a public water fountain. The hypothesis follows from the premise.,"2. the correct answer is **entailment**. the premise and the hypothesis are logically related. the blond man getting a drink of water from a fountain in the park is a more specific description of the man with blond-hair and a brown shirt drinking out of a public water fountain. the hypothesis follows from the premise.

",{'entailment': 27},entailment,neutral,5.965455,entailment,entailment,True,56,0.606061
22,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,"Premise: A man with blond-hair, and a brown shirt drinking out of a public water fountain., Hypothesis: A blond man wearing a brown shirt is reading a book on a bench in the park. What is the correct answer to the premise 'A man with blond-hair, and a brown shirt drinking out of a public water fountain.' and hypothesis A blond man wearing a brown shirt is reading a book on a bench in the park with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","3. The correct answer is **contradiction**. The premise and the hypothesis are logically related, but they are incompatible. The blond man wearing a brown shirt cannot be both drinking out of a public water fountain and reading a book on a bench in the park at the same time. The hypothesis contradicts the premise.","3. the correct answer is **contradiction**. the premise and the hypothesis are logically related, but they are incompatible. the blond man wearing a brown shirt cannot be both drinking out of a public water fountain and reading a book on a bench in the park at the same time. the hypothesis contradicts the premise.

","{'contradiction': 27, 'contradicts': 291}",contradiction,neutral,6.024615,contradiction,contradiction,True,54,0.538462
23,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,"Premise: A man with blond-hair, and a brown shirt drinking out of a public water fountain., Hypothesis: A blond man drinking water from a fountain.. What is the correct answer to the premise 'A man with blond-hair, and a brown shirt drinking out of a public water fountain.' and hypothesis A blond man drinking water from a fountain. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
",4. The correct answer is **entailment**. The premise and the hypothesis are logically related. The blond man drinking water from a fountain is a more general description of the man with blond-hair and a brown shirt drinking out of a public water fountain. The hypothesis follows from the premise.,"4. the correct answer is **entailment**. the premise and the hypothesis are logically related. the blond man drinking water from a fountain is a more general description of the man with blond-hair and a brown shirt drinking out of a public water fountain. the hypothesis follows from the premise.

",{'entailment': 27},entailment,neutral,5.885517,entailment,entailment,True,50,0.517241
24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,"Premise: Two women who just had lunch hugging and saying goodbye., Hypothesis: The friends scowl at each other over a full dinner table.. What is the correct answer to the premise 'Two women who just had lunch hugging and saying goodbye.' and hypothesis The friends scowl at each other over a full dinner table. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","5. The correct answer is **contradiction**. The premise and the hypothesis are logically related, but they are incompatible. The two women who just had lunch hugging and saying goodbye cannot be the same as the friends scowling at each other over a full dinner table. The hypothesis contradicts the premise.","5. the correct answer is **contradiction**. the premise and the hypothesis are logically related, but they are incompatible. the two women who just had lunch hugging and saying goodbye cannot be the same as the friends scowling at each other over a full dinner table. the hypothesis contradicts the premise.

","{'contradiction': 27, 'contradicts': 283}",contradiction,neutral,6.013684,contradiction,contradiction,True,50,0.526316
25,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,"Premise: Two women who just had lunch hugging and saying goodbye., Hypothesis: There are two woman in this picture.. What is the correct answer to the premise 'Two women who just had lunch hugging and saying goodbye.' and hypothesis There are two woman in this picture. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
",6. The correct answer is **entailment**. The premise and the hypothesis are logically related. There are two women in this picture is a more general description of the two women who just had lunch hugging and saying goodbye. The hypothesis follows from the premise.,"6. the correct answer is **entailment**. the premise and the hypothesis are logically related. there are two women in this picture is a more general description of the two women who just had lunch hugging and saying goodbye. the hypothesis follows from the premise.

",{'entailment': 27},entailment,neutral,5.855484,entailment,entailment,True,44,0.483871
26,Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.","Premise: Two women who just had lunch hugging and saying goodbye., Hypothesis: The friends have just met for the first time in 20 years, and have had a great time catching up.. What is the correct answer to the premise 'Two women who just had lunch hugging and saying goodbye.' and hypothesis The friends have just met for the first time in 20 years, and have had a great time catching up. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","7. The correct answer is **neutral**. The premise and the hypothesis are not logically related. The two women who just had lunch hugging and saying goodbye could be the friends who have just met for the first time in 20 years, or they could be regular friends, or they could be strangers. The hypothesis does not follow from the premise, nor does it contradict it.","7. the correct answer is **neutral**. the premise and the hypothesis are not logically related. the two women who just had lunch hugging and saying goodbye could be the friends who have just met for the first time in 20 years, or they could be regular friends, or they could be strangers. the hypothesis does not follow from the premise, nor does it contradict it.

",{'neutral': 27},neutral,neutral,5.837073,neutral,neutral,True,65,0.463415
27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",,"The two women are hugging, and they are holding food carryout containers.",,,entailment,paper,0.55,entailment,entailment,True,12,0.0
28,"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,"Premise: Two women, holding food carryout containers, hug., Hypothesis: Two groups of rival gang members flipped each other off.. What is the correct answer to the premise 'Two women, holding food carryout containers, hug.' and hypothesis Two groups of rival gang members flipped each other off. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","9. The correct answer is **contradiction**. The premise and the hypothesis are logically related, but they are incompatible. The two women, holding food carryout containers, hug cannot be the same as the two groups of rival gang members flipping each other off. The hypothesis contradicts the premise.","9. the correct answer is **contradiction**. the premise and the hypothesis are logically related, but they are incompatible. the two women, holding food carryout containers, hug cannot be the same as the two groups of rival gang members flipping each other off. the hypothesis contradicts the premise.

","{'contradiction': 27, 'contradicts': 277}",contradiction,neutral,5.925714,contradiction,contradiction,True,47,0.428571
29,"Two women, holding food carryout containers, hug.",Two women hug each other.,"Premise: Two women, holding food carryout containers, hug., Hypothesis: Two women hug each other.. What is the correct answer to the premise 'Two women, holding food carryout containers, hug.' and hypothesis Two women hug each other. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","10. The correct answer is **entailment**. The premise and the hypothesis are logically related. The two women hug each other is a more general description of the two women, holding food carryout containers, hug. The hypothesis follows from the premise.","10. the correct answer is **entailment**. the premise and the hypothesis are logically related. the two women hug each other is a more general description of the two women, holding food carryout containers, hug. the hypothesis follows from the premise.",{'entailment': 28},entailment,neutral,5.72,entailment,entailment,True,40,0.333333
30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,"Premise: A Little League team tries to catch a runner sliding into a base in an afternoon game., Hypothesis: A team is trying to score the games winning out.. What is the correct answer to the premise 'A Little League team tries to catch a runner sliding into a base in an afternoon game.' and hypothesis A team is trying to score the games winning out. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","1. The correct answer is **neutral**. The hypothesis is neither implied nor contradicted by the premise. The premise does not specify which team is trying to catch the runner, or whether the game is close or not. The hypothesis could be true or false depending on the situation.","1. the correct answer is **neutral**. the hypothesis is neither implied nor contradicted by the premise. the premise does not specify which team is trying to catch the runner, or whether the game is close or not. the hypothesis could be true or false depending on the situation.

","{'neutral': 27, 'contradicted': 76}",neutral,neutral,5.645,neutral,neutral,True,48,0.25
31,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,"Premise: A Little League team tries to catch a runner sliding into a base in an afternoon game., Hypothesis: A team is trying to tag a runner out.. What is the correct answer to the premise 'A Little League team tries to catch a runner sliding into a base in an afternoon game.' and hypothesis A team is trying to tag a runner out. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","2. The correct answer is **entailment**. The hypothesis is logically implied by the premise. If a team is trying to catch a runner sliding into a base, then they are also trying to tag the runner out. The hypothesis is a more specific way of describing the premise.","2. the correct answer is **entailment**. the hypothesis is logically implied by the premise. if a team is trying to catch a runner sliding into a base, then they are also trying to tag the runner out. the hypothesis is a more specific way of describing the premise.

",{'entailment': 27},entailment,neutral,5.768387,entailment,entailment,True,48,0.387097
32,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,,"The team is playing baseball, but it is not specified where.",,,neutral,paper,0.55,neutral,neutral,True,11,0.0
33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,"Premise: The school is having a special event in order to show the american culture on how other cultures are dealt with in parties., Hypothesis: A school hosts a basketball game.. For the premise 'The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.' and hypothesis A school hosts a basketball game., among the choices ""entailment"", ""neutral"", ""contradiction"", which is the most likely answer? Highlight what sets your choice apart from the others.
","4. The most likely answer is **neutral**. This is because the hypothesis does not necessarily follow from the premise, nor does it contradict it. It is possible that the special event is a basketball game, but it is also possible that it is something else. Therefore, the hypothesis is neither entailed nor contradicted by the premise."," is **neutral**. this is because the hypothesis does not necessarily follow from the premise, nor does it contradict it. it is possible that the special event is a basketball game, but it is also possible that it is something else. therefore, the hypothesis is neither entailed nor contradicted by the premise.

","{'neutral': 6, 'entailed': 269, 'contradicted': 282}",neutral,contrastive,5.765294,neutral,neutral,True,56,0.205882
34,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,"Premise: The school is having a special event in order to show the american culture on how other cultures are dealt with in parties., Hypothesis: A high school is hosting an event.. Based on what is historically known, what is the most likely answer to the premise 'The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.' and hypothesis A high school is hosting an event. with options ""entailment"", ""neutral"", ""contradiction""? Provide historical context in your rationale.
","5. The answer is **entailment**. The premise states that the school is having a special event to show the American culture on how other cultures are dealt with in parties. The hypothesis states that a high school is hosting an event. The hypothesis is true given the premise, since the premise implies that the school is a high school and that it is hosting an event. Therefore, the relation between the premise and the hypothesis is entailment. Historically, high school is a level of education that typically covers grades 9 to 12 in the United States and prepares students for college or vocational training. High schools often host events such as dances, sports, clubs, and fundraisers.","5. the answer is **entailment**. the premise states that the school is having a special event to show the american culture on how other cultures are dealt with in parties. the hypothesis states that a high school is hosting an event. the hypothesis is true given the premise, since the premise implies that the school is a high school and that it is hosting an event. therefore, the relation between the premise and the hypothesis is entailment. historically, high school is a level of education that typically covers grades 9 to 12 in the united states and prepares students for college or vocational training. high schools often host events such as dances, sports, clubs, and fundraisers.

",{'entailment': 19},entailment,historical,5.258571,entailment,entailment,True,116,0.365079
35,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,"Premise: The school is having a special event in order to show the american culture on how other cultures are dealt with in parties., Hypothesis: A school is hosting an event.. What is the correct answer to the premise 'The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.' and hypothesis A school is hosting an event. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","6. The correct answer is **entailment**. The hypothesis is logically implied by the premise. If the school is having a special event, then the school is hosting an event. The hypothesis is a more general way of describing the premise.","6. the correct answer is **entailment**. the hypothesis is logically implied by the premise. if the school is having a special event, then the school is hosting an event. the hypothesis is a more general way of describing the premise.

",{'entailment': 27},entailment,neutral,5.7575,entailment,entailment,True,40,0.375
36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,"Premise: High fashion ladies wait outside a tram beside a crowd of people in the city., Hypothesis: The women do not care what clothes they wear.. What is the correct answer to the premise 'High fashion ladies wait outside a tram beside a crowd of people in the city.' and hypothesis The women do not care what clothes they wear. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","7. The correct answer is **contradiction**. The hypothesis is logically incompatible with the premise. If the ladies are high fashion, then they do care what clothes they wear. The hypothesis is a false statement that contradicts the premise.","7. the correct answer is **contradiction**. the hypothesis is logically incompatible with the premise. if the ladies are high fashion, then they do care what clothes they wear. the hypothesis is a false statement that contradicts the premise.

","{'contradiction': 27, 'contradicts': 218}",contradiction,neutral,5.786667,contradiction,contradiction,True,38,0.407407
37,High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,"Premise: High fashion ladies wait outside a tram beside a crowd of people in the city., Hypothesis: Women are waiting by a tram.. What is the correct answer to the premise 'High fashion ladies wait outside a tram beside a crowd of people in the city.' and hypothesis Women are waiting by a tram. with the options ""entailment"", ""neutral"", ""contradiction""? Provide a straightforward explanation. 
","8. The correct answer is **entailment**. The hypothesis is logically implied by the premise. If the ladies are waiting outside a tram, then they are women waiting by a tram. The hypothesis is a more general way of describing the premise.","8. the correct answer is **entailment**. the hypothesis is logically implied by the premise. if the ladies are waiting outside a tram, then they are women waiting by a tram. the hypothesis is a more general way of describing the premise.

",{'entailment': 27},entailment,neutral,5.78,entailment,entailment,True,41,0.4
