premise,hypothesis,input,label,split,pair_key,available_rationale_count,rationale_1,rationale_type_1,rationale_score_1,rationale_keep_1,rationale_selection_source_1
"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,"A few people in a restaurant setting, one of them is drinking orange juice.</s>The diners are at a restaurant.",entailment,train,"a few people in a restaurant setting, one of them is drinking orange juice.</s>the diners are at a restaurant.",7,"8. The correct answer is **entailment**. The hypothesis is entailed by the premise. A conditional statement that explains the reasoning is: If a few people are in a restaurant setting, one of them is drinking orange juice, then it implies that the diners are at a restaurant.",condition,5.0,True,heuristic
An older man is drinking orange juice at a restaurant.,A man is drinking juice.,An older man is drinking orange juice at a restaurant.</s>A man is drinking juice.,entailment,valid,an older man is drinking orange juice at a restaurant.</s>a man is drinking juice.,7,"9. The correct answer is **entailment**. The hypothesis is entailed by the premise. A conditional statement that explains the reasoning is: If an older man is drinking orange juice at a restaurant, then it implies that a man is drinking juice.",condition,5.0,True,heuristic
An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,An older man is drinking orange juice at a restaurant.</s>Two women are at a restaurant drinking wine.,contradiction,test,an older man is drinking orange juice at a restaurant.</s>two women are at a restaurant drinking wine.,7,"10. The correct answer is **contradiction**. The hypothesis is contradicted by the premise. A conditional statement that explains the reasoning is: If an older man is drinking orange juice at a restaurant, then it implies that there are not two women at a restaurant drinking wine.",condition,5.0,True,heuristic
An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,An older man is drinking orange juice at a restaurant.</s>A man in a restaurant is waiting for his meal to arrive.,neutral,train,an older man is drinking orange juice at a restaurant.</s>a man in a restaurant is waiting for his meal to arrive.,7,"1. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the man is waiting for his meal to arrive, but it is not necessarily true. A conditional statement that captures this is: **If** the man is waiting for his meal to arrive, **then** he is drinking orange juice at a restaurant, **but not vice versa**.",condition,5.0,True,heuristic
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man getting a drink of water from a fountain in the park.",neutral,train,"a man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>a blond man getting a drink of water from a fountain in the park.",7,"2. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the fountain is in the park, but it is not necessarily true. A conditional statement that captures this is: **If** the fountain is in the park, **then** the blond man is getting a drink of water from a fountain in the park, **but not vice versa**.",condition,5.0,True,heuristic
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man wearing a brown shirt is reading a book on a bench in the park",contradiction,train,"a man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>a blond man wearing a brown shirt is reading a book on a bench in the park",7,"3. The correct answer is **contradiction**. The premise contradicts the hypothesis, because the man cannot be doing two different activities at the same time. A conditional statement that captures this is: **If** the man is drinking out of a public water fountain, **then** he is **not** reading a book on a bench in the park, **and vice versa**.",condition,5.0,True,heuristic
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man drinking water from a fountain.",entailment,train,"a man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>a blond man drinking water from a fountain.",7,"4. The correct answer is **entailment**. The premise entails the hypothesis, because the hypothesis is a more general statement that follows from the premise. A conditional statement that captures this is: **If** the man is drinking out of a public water fountain, **then** he is a blond man drinking water from a fountain, **and vice versa**.",condition,5.0,True,heuristic
Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,Two women who just had lunch hugging and saying goodbye.</s>The friends scowl at each other over a full dinner table.,contradiction,train,two women who just had lunch hugging and saying goodbye.</s>the friends scowl at each other over a full dinner table.,7,"5. The correct answer is **contradiction**. The premise contradicts the hypothesis, because the women cannot be hugging and saying goodbye and scowling at each other over a full dinner table at the same time. A conditional statement that captures this is: **If** the women are hugging and saying goodbye, **then** they are **not** scowling at each other over a full dinner table, **and vice versa**.",condition,5.0,True,heuristic
Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,Two women who just had lunch hugging and saying goodbye.</s>There are two woman in this picture.,entailment,test,two women who just had lunch hugging and saying goodbye.</s>there are two woman in this picture.,7,"6. The correct answer is **entailment**. The premise entails the hypothesis, because the hypothesis is a more general statement that follows from the premise. A conditional statement that captures this is: **If** the women are hugging and saying goodbye, **then** there are two women in this picture, **and vice versa**.",condition,5.0,True,heuristic
Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.","Two women who just had lunch hugging and saying goodbye.</s>The friends have just met for the first time in 20 years, and have had a great time catching up.",neutral,valid,"two women who just had lunch hugging and saying goodbye.</s>the friends have just met for the first time in 20 years, and have had a great time catching up.",7,"7. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the friends have just met for the first time in 20 years, but it is not necessarily true. A conditional statement that captures this is: **If** the friends have just met for the first time in 20 years, **then** they are hugging and saying goodbye, **but not vice versa**.",condition,5.0,True,heuristic
"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.","Two women, holding food carryout containers, hug.</s>The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",neutral,train,"two women, holding food carryout containers, hug.</s>the two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",7,"8. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the women are sisters and the diner is crowded, but it is not necessarily true. A conditional statement that captures this is: **If** the women are sisters and the diner is crowded, **then** they are holding food carryout containers and hugging, **but not vice versa**.",condition,5.0,True,heuristic
"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,"Two women, holding food carryout containers, hug.</s>Two groups of rival gang members flipped each other off.",contradiction,train,"two women, holding food carryout containers, hug.</s>two groups of rival gang members flipped each other off.",7,"9. The correct answer is **contradiction**. The premise contradicts the hypothesis, because the women cannot be hugging and flipping each other off at the same time. A conditional statement that captures this is: **If** the women are hugging, **then** they are **not** flipping each other off, **and vice versa**.",condition,5.0,True,heuristic
"Two women, holding food carryout containers, hug.",Two women hug each other.,"Two women, holding food carryout containers, hug.</s>Two women hug each other.",entailment,train,"two women, holding food carryout containers, hug.</s>two women hug each other.",7,"10. The correct answer is **entailment**. The premise entails the hypothesis, because the hypothesis is a more general statement that follows from the premise. A conditional statement that captures this is: **If** the women are holding food carryout containers and hugging, **then** they are hugging each other, **and vice versa**. I hope this helps you understand the concept of natural language inference. If you have any more questions, feel free to ask me. 😊",condition,5.0,True,heuristic
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is trying to score the games winning out.,neutral,train,a little league team tries to catch a runner sliding into a base in an afternoon game.</s>a team is trying to score the games winning out.,7,"1. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. The premise does not specify which team is trying to catch the runner, or whether the game is close or not. Therefore, the hypothesis is not necessarily true or false based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **may or may not** be true.",condition,5.0,True,heuristic
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is trying to tag a runner out.,entailment,train,a little league team tries to catch a runner sliding into a base in an afternoon game.</s>a team is trying to tag a runner out.,7,"2. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise implies that a team is trying to tag a runner out, since that is the goal of catching a runner sliding into a base. Therefore, the hypothesis is necessarily true based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **must** be true.",condition,5.0,True,heuristic
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is playing baseball on Saturn.,contradiction,train,a little league team tries to catch a runner sliding into a base in an afternoon game.</s>a team is playing baseball on saturn.,7,"3. The correct answer is **contradiction**. The hypothesis is contradicted by the premise. The premise implies that a team is playing baseball on Earth, since it mentions an afternoon game and a base. Therefore, the hypothesis is necessarily false based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **cannot** be true.",condition,5.0,True,heuristic
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A high school is hosting an event.,neutral,train,the school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>a high school is hosting an event.,7,"5. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. The premise does not specify the level of the school, or whether it is the same school as the one hosting the special event. Therefore, the hypothesis is not necessarily true or false based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **may or may not** be true.",condition,5.0,True,heuristic
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A school is hosting an event.,entailment,train,the school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>a school is hosting an event.,7,"6. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise implies that a school is hosting an event, since it mentions a special event in order to show the american culture. Therefore, the hypothesis is necessarily true based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **must** be true.",condition,5.0,True,heuristic
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>The women do not care what clothes they wear.,contradiction,train,high fashion ladies wait outside a tram beside a crowd of people in the city.</s>the women do not care what clothes they wear.,7,"7. The correct answer is **contradiction**. The hypothesis is contradicted by the premise. The premise implies that the women care what clothes they wear, since it mentions high fashion ladies. Therefore, the hypothesis is necessarily false based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **cannot** be true.",condition,5.0,True,heuristic
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>Women are waiting by a tram.,entailment,train,high fashion ladies wait outside a tram beside a crowd of people in the city.</s>women are waiting by a tram.,7,"8. The correct answer is **entailment**. The hypothesis is entailed by the premise. The premise implies that women are waiting by a tram, since it mentions high fashion ladies wait outside a tram. Therefore, the hypothesis is necessarily true based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **must** be true.",condition,5.0,True,heuristic
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>The women enjoy having a good fashion sense.,neutral,test,high fashion ladies wait outside a tram beside a crowd of people in the city.</s>the women enjoy having a good fashion sense.,7,"9. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. The premise does not specify the attitude or preference of the women regarding their fashion sense. Therefore, the hypothesis is not necessarily true or false based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **may or may not** be true.",condition,5.0,True,heuristic
"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.","A man, woman, and child enjoying themselves on a beach.</s>A child with mom and dad, on summer vacation at the beach.",neutral,train,"a man, woman, and child enjoying themselves on a beach.</s>a child with mom and dad, on summer vacation at the beach.",7,"10. The correct answer is **neutral**. The hypothesis is neither entailed nor contradicted by the premise. The premise does not specify the relationship or the season of the man, woman, and child on the beach. Therefore, the hypothesis is not necessarily true or false based on the premise. A possible conditional statement is: If the premise is true, then the hypothesis **may or may not** be true.",condition,5.0,True,heuristic
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,"A man, woman, and child enjoying themselves on a beach.</s>A family of three is at the beach.",entailment,test,"a man, woman, and child enjoying themselves on a beach.</s>a family of three is at the beach.",7,"1. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. We can use the following conditional statement to explain the reasoning: If a man, woman, and child are enjoying themselves on a beach, then a family of three is at the beach.",condition,5.0,True,heuristic
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,"A man, woman, and child enjoying themselves on a beach.</s>A family of three is at the mall shopping.",contradiction,train,"a man, woman, and child enjoying themselves on a beach.</s>a family of three is at the mall shopping.",7,"2. The correct answer is **contradiction**. This means that the hypothesis is false if the premise is true. We can use the following conditional statement to explain the reasoning: If a man, woman, and child are enjoying themselves on a beach, then a family of three is not at the mall shopping.",condition,5.0,True,heuristic
People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,People waiting to get on a train or just getting off.</s>The people waiting on the train are sitting.,neutral,train,people waiting to get on a train or just getting off.</s>the people waiting on the train are sitting.,7,"3. The correct answer is **neutral**. This means that the hypothesis is neither true nor false based on the premise. We can use the following conditional statement to explain the reasoning: If people are waiting to get on a train or just getting off, then it is possible that some of them are sitting and some of them are not.",condition,5.0,True,heuristic
People waiting to get on a train or just getting off.,There are people just getting on a train,People waiting to get on a train or just getting off.</s>There are people just getting on a train,entailment,train,people waiting to get on a train or just getting off.</s>there are people just getting on a train,7,"4. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. We can use the following conditional statement to explain the reasoning: If people are waiting to get on a train or just getting off, then there are people just getting on a train.",condition,5.0,True,heuristic
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,A couple playing with a little boy on the beach.</s>A couple are playing with a young child outside.,entailment,train,a couple playing with a little boy on the beach.</s>a couple are playing with a young child outside.,7,"6. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. We can use the following conditional statement to explain the reasoning: If a couple is playing with a little boy on the beach, then a couple is playing with a young child outside.",condition,5.0,True,heuristic
A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,A couple playing with a little boy on the beach.</s>A couple are playing frisbee with a young child at the beach.,neutral,train,a couple playing with a little boy on the beach.</s>a couple are playing frisbee with a young child at the beach.,7,"7. The correct answer is **neutral**. This means that the hypothesis is neither true nor false based on the premise. We can use the following conditional statement to explain the reasoning: If a couple is playing with a little boy on the beach, then it is possible that they are playing frisbee with him or not.",condition,5.0,True,heuristic
A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,A couple playing with a little boy on the beach.</s>A couple watch a little girl play by herself on the beach.,contradiction,train,a couple playing with a little boy on the beach.</s>a couple watch a little girl play by herself on the beach.,7,"8. The correct answer is **contradiction**. This means that the hypothesis is false if the premise is true. We can use the following conditional statement to explain the reasoning: If a couple is playing with a little boy on the beach, then they are not watching a little girl play by herself on the beach.",condition,5.0,True,heuristic
A couple play in the tide with their young son.,The family is sitting down for dinner.,A couple play in the tide with their young son.</s>The family is sitting down for dinner.,contradiction,train,a couple play in the tide with their young son.</s>the family is sitting down for dinner.,7,"9. The correct answer is **contradiction**. This means that the hypothesis is false if the premise is true. We can use the following conditional statement to explain the reasoning: If a couple is playing in the tide with their young son, then they are not sitting down for dinner.",condition,5.0,True,heuristic
A couple play in the tide with their young son.,The family is outside.,A couple play in the tide with their young son.</s>The family is outside.,entailment,train,a couple play in the tide with their young son.</s>the family is outside.,7,"10. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. We can use the following conditional statement to explain the reasoning: If a couple is playing in the tide with their young son, then the family is outside.",condition,5.0,True,heuristic
A couple play in the tide with their young son.,The family is on vacation.,A couple play in the tide with their young son.</s>The family is on vacation.,neutral,train,a couple play in the tide with their young son.</s>the family is on vacation.,7,"1. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the family is on vacation or not. A conditional statement that explains this is: If the family is on vacation, then they may play in the tide with their young son, but playing in the tide with their young son does not imply that they are on vacation.",condition,5.0,True,heuristic
A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,A man and a woman cross the street in front of a pizza and gyro restaurant.</s>The people are standing still on the curb.,contradiction,train,a man and a woman cross the street in front of a pizza and gyro restaurant.</s>the people are standing still on the curb.,7,"2. The correct answer is **contradiction**. The premise contradicts the hypothesis, because crossing the street and standing still on the curb are mutually exclusive actions. A conditional statement that explains this is: If a man and a woman cross the street, then they are not standing still on the curb, and vice versa.",condition,5.0,True,heuristic
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.","A man and a woman cross the street in front of a pizza and gyro restaurant.</s>Near a couple of restaurants, two people walk across the street.",entailment,train,"a man and a woman cross the street in front of a pizza and gyro restaurant.</s>near a couple of restaurants, two people walk across the street.",7,"3. The correct answer is **entailment**. The premise entails the hypothesis, because the hypothesis is a more general description of the premise. A conditional statement that explains this is: If a man and a woman cross the street in front of a pizza and gyro restaurant, then near a couple of restaurants, two people walk across the street.",condition,5.0,True,heuristic
A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,A man and a woman cross the street in front of a pizza and gyro restaurant.</s>The couple are walking across the street together.,neutral,train,a man and a woman cross the street in front of a pizza and gyro restaurant.</s>the couple are walking across the street together.,7,"4. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is unclear whether the man and the woman are a couple or not. A conditional statement that explains this is: If the man and the woman are a couple, then they may cross the street together, but crossing the street together does not imply that they are a couple.",condition,5.0,True,heuristic
A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is nake.,contradiction,train,a woman in a green jacket and hood over her head looking towards a valley.</s>the woman is nake.,7,"5. The correct answer is **contradiction**. The premise contradicts the hypothesis, because wearing a green jacket and hood over her head and being nake are mutually exclusive states. A conditional statement that explains this is: If a woman is wearing a green jacket and hood over her head, then she is not nake, and vice versa.",condition,5.0,True,heuristic
A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is cold.,neutral,train,a woman in a green jacket and hood over her head looking towards a valley.</s>the woman is cold.,7,"6. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is possible that the woman is cold or not. A conditional statement that explains this is: If the woman is cold, then she may wear a green jacket and hood over her head, but wearing a green jacket and hood over her head does not imply that she is cold.",condition,5.0,True,heuristic
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is wearing green.,entailment,train,a woman in a green jacket and hood over her head looking towards a valley.</s>the woman is wearing green.,7,"7. The correct answer is **entailment**. The premise entails the hypothesis, because the hypothesis is a more specific description of the premise. A conditional statement that explains this is: If a woman is wearing a green jacket and hood over her head, then the woman is wearing green.",condition,5.0,True,heuristic
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The man with the sign is caucasian.,neutral,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>the man with the sign is caucasian.,7,"8. The correct answer is **neutral**. The premise does not entail or contradict the hypothesis, because it is unclear whether the man with the sign is caucasian or not. A conditional statement that explains this is: If the man with the sign is caucasian, then he may walk with a sign for John's Pizza and Gyro in the background, but walking with a sign for John's Pizza and Gyro in the background does not imply that he is caucasian.",condition,5.0,True,heuristic
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>They are protesting outside the capital.,contradiction,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>they are protesting outside the capital.,7,"9. The correct answer is **contradiction**. The premise contradicts the hypothesis, because protesting outside the capital and walking with a sign for John's Pizza and Gyro in the background are mutually exclusive scenarios. A conditional statement that explains this is: If they are protesting outside the capital, then they are not walking with a sign for John's Pizza and Gyro in the background, and vice versa.",condition,5.0,True,heuristic
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A woman in white.,entailment,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>a woman in white.,7,"10. The correct answer is **entailment**. The premise entails the hypothesis, because the hypothesis is a more general description of the premise. A conditional statement that explains this is: If there is a woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background, then there is a woman in white.",condition,5.0,True,heuristic
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A man is advertising for a restaurant.,entailment,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>a man is advertising for a restaurant.,7,"1. The correct answer is **entailment**. This means that the hypothesis is true if the premise is true. A possible conditional statement is: If a man is walking with a sign for John's Pizza and Gyro in the background, then he is advertising for a restaurant.",condition,5.0,True,heuristic
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman is wearing black.,contradiction,test,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>the woman is wearing black.,7,"2. The correct answer is **contradiction**. This means that the hypothesis is false if the premise is true. A possible conditional statement is: If a woman is wearing white in the foreground, then she is not wearing black.",condition,5.0,True,heuristic
