,premise,hypothesis,label,llm_label,rationale,input
46,"Two boys at play at a fun center, there are two women in the background laughing.",women in the background are laughing,entailment,entailment,"The women are in the background, so they are not the main focus of the picture.","Two boys at play at a fun center, there are two women in the background laughing.</s>women in the background are laughing"
47,"Two boys at play at a fun center, there are two women in the background laughing.",women in the background are not laughing,contradiction,contradiction,The women in the background are laughing.,"Two boys at play at a fun center, there are two women in the background laughing.</s>women in the background are not laughing"
48,"Two boys at play at a fun center, there are two women in the background laughing.",women in the background are happily laughing,neutral,neutral,"The women are laughing, but it is not clear if they are happy or not.","Two boys at play at a fun center, there are two women in the background laughing.</s>women in the background are happily laughing"
49,A toddler drinking from a cup in a toy car.,The toddler is driving a full-sized vehicle while drinking,contradiction,contradiction,The toddler is not driving a full-sized vehicle.,A toddler drinking from a cup in a toy car.</s>The toddler is driving a full-sized vehicle while drinking
50,A toddler drinking from a cup in a toy car.,The toddler is being pushed by their parents as they drink out of a cup,neutral,neutral,The toddler is not necessarily being pushed by their parents.,A toddler drinking from a cup in a toy car.</s>The toddler is being pushed by their parents as they drink out of a cup
51,A toddler drinking from a cup in a toy car.,A toddler is drinking from a cup in a toy car,entailment,entailment,The toddler is drinking from a cup in a toy car.,A toddler drinking from a cup in a toy car.</s>A toddler is drinking from a cup in a toy car
52,A man wears an interesting blue wig in public,A person is wearing a fake hairpiece.,entailment,entailment,A wig is a fake hairpiece.,A man wears an interesting blue wig in public</s>A person is wearing a fake hairpiece.
53,A man wears an interesting blue wig in public,A man is wearing a wig so he can spy on his wife whom he suspects of cheating on him.,neutral,neutral,"The man is wearing a wig in public, but the reason for wearing the wig is not stated.",A man wears an interesting blue wig in public</s>A man is wearing a wig so he can spy on his wife whom he suspects of cheating on him.
54,A man wears an interesting blue wig in public,A man is getting his hair cut at the local barber.,contradiction,contradiction,"The man is wearing a wig, so he is not getting his hair cut.",A man wears an interesting blue wig in public</s>A man is getting his hair cut at the local barber.
55,A girl is wearing a blue wig under a brown hooded jacket.,A girl attempts to hide her blue wig under a brown hooded jacket.,neutral,entailment,The girl is wearing a blue wig under a brown hooded jacket.,A girl is wearing a blue wig under a brown hooded jacket.</s>A girl attempts to hide her blue wig under a brown hooded jacket.
56,A girl is wearing a blue wig under a brown hooded jacket.,A girl's blue wig is visible under her brown-hooded jacket.,entailment,entailment,The blue wig is visible under the brown hooded jacket.,A girl is wearing a blue wig under a brown hooded jacket.</s>A girl's blue wig is visible under her brown-hooded jacket.
57,A girl is wearing a blue wig under a brown hooded jacket.,"An alien, attempting to conceal it's inhuman hair color, scurries to cover under a jacket.",contradiction,neutral,"The girl is wearing a wig, so it's possible that she's an alien.","A girl is wearing a blue wig under a brown hooded jacket.</s>An alien, attempting to conceal it's inhuman hair color, scurries to cover under a jacket."
58,"One person in a crowd of people, wearing a blue wig",It is hard to tell what color the person's real hair is under that blue wig.,entailment,"entailment

Pre","The person is wearing a blue wig, so it is hard to tell what color the person's real hair is.","One person in a crowd of people, wearing a blue wig</s>It is hard to tell what color the person's real hair is under that blue wig."
59,"One person in a crowd of people, wearing a blue wig",Every single person in the all-female crowd has bleached blond hair.,contradiction,contradiction,The person with the blue wig is not necessarily a female.,"One person in a crowd of people, wearing a blue wig</s>Every single person in the all-female crowd has bleached blond hair."
60,"One person in a crowd of people, wearing a blue wig",The person in the middle of the crowd was hired to be a clown and entertain for the afternoon.,neutral,entailment,The person in the middle of the crowd is wearing a blue wig.,"One person in a crowd of people, wearing a blue wig</s>The person in the middle of the crowd was hired to be a clown and entertain for the afternoon."
61,Man with brown coat and sunglasses wears a blue wig and ball cap.,A tall human with a wig,neutral,neutral,The man is not necessarily tall.,Man with brown coat and sunglasses wears a blue wig and ball cap.</s>A tall human with a wig
62,Man with brown coat and sunglasses wears a blue wig and ball cap.,A human with a wig,entailment,entailment,A man is a human.,Man with brown coat and sunglasses wears a blue wig and ball cap.</s>A human with a wig
63,Man with brown coat and sunglasses wears a blue wig and ball cap.,Nobody has a wig,contradiction,contradiction,The man with the brown coat and sunglasses is wearing a wig.,Man with brown coat and sunglasses wears a blue wig and ball cap.</s>Nobody has a wig
64,The pilot looking out of a British Airways airplane while two men are standing outside.,The pilot is in a plane,entailment,entailment,The pilot is in a plane because he is looking out of a British Airways airplane.,The pilot looking out of a British Airways airplane while two men are standing outside.</s>The pilot is in a plane
65,The pilot looking out of a British Airways airplane while two men are standing outside.,The pilot is waiting to take off,neutral,entailment,"The pilot is looking out of the airplane, which means he is not flying yet.",The pilot looking out of a British Airways airplane while two men are standing outside.</s>The pilot is waiting to take off
66,The pilot looking out of a British Airways airplane while two men are standing outside.,The plane is over the ocean,contradiction,entailment,The plane is over the ocean because the pilot is looking out of the plane.,The pilot looking out of a British Airways airplane while two men are standing outside.</s>The plane is over the ocean
67,A man with a motorcycle helmet lounges in the sun next to a body of water.,the pigs eat cheese,contradiction,neutral,The man with a motorcycle helmet is not a pig.,A man with a motorcycle helmet lounges in the sun next to a body of water.</s>the pigs eat cheese
68,A man with a motorcycle helmet lounges in the sun next to a body of water.,a guy with a helmet is in the sun,entailment,entailment,A guy is a man. A motorcycle helmet is a helmet.,A man with a motorcycle helmet lounges in the sun next to a body of water.</s>a guy with a helmet is in the sun
69,A man with a motorcycle helmet lounges in the sun next to a body of water.,a guy with a helmet is in the sun on his birthday,neutral,neutral,"The man could be in the sun on any day, not just his birthday.",A man with a motorcycle helmet lounges in the sun next to a body of water.</s>a guy with a helmet is in the sun on his birthday
70,A man rests on the terraced steps leading down to the water.,A man sunbathes on steps near the water.,neutral,neutral,"The man is resting, not necessarily sunbathing.",A man rests on the terraced steps leading down to the water.</s>A man sunbathes on steps near the water.
71,A man rests on the terraced steps leading down to the water.,A man bicycles to the water.,contradiction,contradiction,"The man is resting on the steps, not bicycling.",A man rests on the terraced steps leading down to the water.</s>A man bicycles to the water.
72,A man rests on the terraced steps leading down to the water.,A man rests on steps near the water.,entailment,entailment,The terraced steps are steps near the water.,A man rests on the terraced steps leading down to the water.</s>A man rests on steps near the water.
73,A man with a motorcycle helmet rests by the waterfront.,The man is sitting in a boat wearing a baseball cap.,contradiction,contradiction,"The man is not wearing a baseball cap, he is wearing a motorcycle helmet.",A man with a motorcycle helmet rests by the waterfront.</s>The man is sitting in a boat wearing a baseball cap.
74,A man with a motorcycle helmet rests by the waterfront.,A man is wearing a helmet.,entailment,entailment,A motorcycle helmet is a type of helmet.,A man with a motorcycle helmet rests by the waterfront.</s>A man is wearing a helmet.
75,A man with a motorcycle helmet rests by the waterfront.,The man is traveling and decided to take a break.,neutral,neutral,The man could be resting by the waterfront because he lives there.,A man with a motorcycle helmet rests by the waterfront.</s>The man is traveling and decided to take a break.
76,A man sleeps on the beach after removing his helmet.,A man sleeps by his bike.,neutral,contradiction,"The man is sleeping on the beach, not by his bike.",A man sleeps on the beach after removing his helmet.</s>A man sleeps by his bike.
77,A man sleeps on the beach after removing his helmet.,A man sleeps outside.,entailment,entailment,The beach is outside.,A man sleeps on the beach after removing his helmet.</s>A man sleeps outside.
78,A man sleeps on the beach after removing his helmet.,A man sleeps after riding his skateboard.,contradiction,neutral,The man could have been riding a bike or a scooter.,A man sleeps on the beach after removing his helmet.</s>A man sleeps after riding his skateboard.
79,A man is laying in the sand.,A man is laying on the ground,entailment,entailment,Sand is a type of ground.,A man is laying in the sand.</s>A man is laying on the ground
80,A man is laying in the sand.,A man is laying on the beach,neutral,entailment,"The man is laying in the sand, which is on the beach.",A man is laying in the sand.</s>A man is laying on the beach
81,A man is laying in the sand.,A man is jumping in the snow,contradiction,contradiction,"The man is laying in the sand, not jumping in the snow.",A man is laying in the sand.</s>A man is jumping in the snow
82,A musical event in the park.,The park is outside,entailment,entailment,A park is always outside.,A musical event in the park.</s>The park is outside
83,A musical event in the park.,there is music in the park,entailment,entailment,A musical event is an event that has music.,A musical event in the park.</s>there is music in the park
84,A musical event in the park.,The music event is at the firehouse.,contradiction,contradiction,"The music event is in the park, not at the firehouse.",A musical event in the park.</s>The music event is at the firehouse.
85,A person dressed as Batman poses for a picture.,a person is about to take a shower,contradiction,contradiction,The person is not dressed as Batman.,A person dressed as Batman poses for a picture.</s>a person is about to take a shower
86,A person dressed as Batman poses for a picture.,a person is in costume,entailment,entailment,Batman is a costume.,A person dressed as Batman poses for a picture.</s>a person is in costume
87,A person dressed as Batman poses for a picture.,a person is on set of a movie,neutral,neutral,"The person dressed as Batman could be on set of a movie, but it could also be a person dressed as Batman for a party.",A person dressed as Batman poses for a picture.</s>a person is on set of a movie
88,A dog jumping at the beach.,A puppy trying to catch a stick on the beach.,neutral,neutral,A dog jumping at the beach is not necessarily a puppy.,A dog jumping at the beach.</s>A puppy trying to catch a stick on the beach.
89,A dog jumping at the beach.,An animal on sand.,entailment,entailment,A dog is an animal.,A dog jumping at the beach.</s>An animal on sand.
90,A dog jumping at the beach.,People chasing a tiger.,contradiction,contradiction,A dog is not a tiger.,A dog jumping at the beach.</s>People chasing a tiger.
91,Dog on a rock next to water.,A dog is next to the water.,entailment,entailment,"The dog is on a rock, which is next to the water.",Dog on a rock next to water.</s>A dog is next to the water.
92,Dog on a rock next to water.,The dog is jumping in the water.,neutral,contradiction,The dog is not jumping in the water.,Dog on a rock next to water.</s>The dog is jumping in the water.
93,Dog on a rock next to water.,A dog is getting a treat.,contradiction,neutral,The dog is not necessarily getting a treat.,Dog on a rock next to water.</s>A dog is getting a treat.
94,A muddy dog runs next to water.,the boy liked cowboys,neutral,neutral,the boy liked cowboys is not related to the muddy dog running next to water.,A muddy dog runs next to water.</s>the boy liked cowboys
95,A muddy dog runs next to water.,a young boy runs,entailment,neutral,The boy is not necessarily young.,A muddy dog runs next to water.</s>a young boy runs
96,A muddy dog runs next to water.,the child was 18 years old,contradiction,contradiction,the child was 18 years old,A muddy dog runs next to water.</s>the child was 18 years old
97,A furry white dog playing in the sand.,A dog is in some sand.,entailment,entailment,A furry white dog is a dog.,A furry white dog playing in the sand.</s>A dog is in some sand.
98,A furry white dog playing in the sand.,A dog is standing on grass.,contradiction,neutral,The dog is not necessarily standing on grass.,A furry white dog playing in the sand.</s>A dog is standing on grass.
99,A furry white dog playing in the sand.,A small dog is in some sand.,neutral,entailment,A furry white dog is a small dog.,A furry white dog playing in the sand.</s>A small dog is in some sand.
100,There is an oriental man climbing up a mountain.,There is a British man climbing down a mountain.,contradiction,neutral,The oriental man is not necessarily British.,There is an oriental man climbing up a mountain.</s>There is a British man climbing down a mountain.
101,There is an oriental man climbing up a mountain.,There is a local oriental man guiding tourists up a mountain.,neutral,neutral,The man climbing up the mountain is not necessarily a local.,There is an oriental man climbing up a mountain.</s>There is a local oriental man guiding tourists up a mountain.
102,A rock climber grasps a ledge with his chalk covered hand.,A climber scaling an incline.,entailment,entailment,A rock climber is a climber. A ledge is an incline.,A rock climber grasps a ledge with his chalk covered hand.</s>A climber scaling an incline.
103,A rock climber grasps a ledge with his chalk covered hand.,A climber climbing an artificial wall.,neutral,neutral,"The climber is climbing a wall, but it is not necessarily an artificial wall.",A rock climber grasps a ledge with his chalk covered hand.</s>A climber climbing an artificial wall.
104,A rock climber grasps a ledge with his chalk covered hand.,A man sitting inside.,contradiction,contradiction,The man is not sitting inside.,A rock climber grasps a ledge with his chalk covered hand.</s>A man sitting inside.
105,The girl is swimming with only her head above the water.,A girl is snorkeling at the bottom of the ocean.,contradiction,contradiction,"The girl is swimming, not snorkeling.",The girl is swimming with only her head above the water.</s>A girl is snorkeling at the bottom of the ocean.
106,The girl is swimming with only her head above the water.,The girl is getting tired from swimming and only her head is above the water.,neutral,neutral,The girl could be swimming with only her head above the water for a different reason.,The girl is swimming with only her head above the water.</s>The girl is getting tired from swimming and only her head is above the water.
107,The girl is swimming with only her head above the water.,The girl is swimming in the water.,entailment,entailment,The girl is swimming in the water because she is swimming with only her head above the water.,The girl is swimming with only her head above the water.</s>The girl is swimming in the water.
108,A closeup of a shirtless man rock climbing.,The man is standing at the top of the mountain.,contradiction,contradiction,The man is not at the top of the mountain.,A closeup of a shirtless man rock climbing.</s>The man is standing at the top of the mountain.
109,A closeup of a shirtless man rock climbing.,The man without a shirt is rock climbing.,entailment,entailment,The man is shirtless and he is rock climbing.,A closeup of a shirtless man rock climbing.</s>The man without a shirt is rock climbing.
110,A closeup of a shirtless man rock climbing.,A guy is climbing up a cliff.,neutral,entailment,A shirtless man is a guy. Rock climbing is climbing up a cliff.,A closeup of a shirtless man rock climbing.</s>A guy is climbing up a cliff.
111,A red-haired man dancing.,The man is dancing for a crowd.,neutral,neutral,"The man is dancing, but it is not specified that he is dancing for a crowd.",A red-haired man dancing.</s>The man is dancing for a crowd.
112,A red-haired man dancing.,The man is singing.,contradiction,neutral,"The man is dancing, but he is not necessarily singing.",A red-haired man dancing.</s>The man is singing.
113,A red-haired man dancing.,The man is dancing.,entailment,entailment,The man is dancing.,A red-haired man dancing.</s>The man is dancing.
114,This girl is having so much fun on the swing!,THe girl is sleeping.,contradiction,contradiction,"If you're sleeping, you cannot be having fun on the swing.",This girl is having so much fun on the swing!</s>THe girl is sleeping.
115,This girl is having so much fun on the swing!,The girl is having fun,entailment,entailment,"The girl is having fun on the swing, so she is having fun.",This girl is having so much fun on the swing!</s>The girl is having fun
116,This girl is having so much fun on the swing!,THe girl is swinging,neutral,entailment,"The girl is having fun on the swing, so she must be swinging.",This girl is having so much fun on the swing!</s>THe girl is swinging
117,An aging rocker performs on stage in a sleeveless shirt and striped pants.,Man watching his idol on stage,contradiction,neutral,The man is not necessarily watching his idol.,An aging rocker performs on stage in a sleeveless shirt and striped pants.</s>Man watching his idol on stage
118,An aging rocker performs on stage in a sleeveless shirt and striped pants.,Rocker performs as a tribute,neutral,neutral,The rocker could be performing for any reason.,An aging rocker performs on stage in a sleeveless shirt and striped pants.</s>Rocker performs as a tribute
119,An aging rocker performs on stage in a sleeveless shirt and striped pants.,Rocker performing on stage,entailment,entailment,The aging rocker is a rocker.,An aging rocker performs on stage in a sleeveless shirt and striped pants.</s>Rocker performing on stage
120,A man in a pirate costume playing an instrument in a band.,"There is a group of people, maybe a band, with one person dressed as a pirate",neutral,neutral,"The man is dressed as a pirate, but he is not necessarily in a band.","A man in a pirate costume playing an instrument in a band.</s>There is a group of people, maybe a band, with one person dressed as a pirate"
121,A man in a pirate costume playing an instrument in a band.,There is a man dressed in pirate costume playing an instrument.,entailment,entailment,The man is dressed in a pirate costume and is playing an instrument.,A man in a pirate costume playing an instrument in a band.</s>There is a man dressed in pirate costume playing an instrument.
122,A man in a pirate costume playing an instrument in a band.,No pirates here,contradiction,contradiction,The man in the pirate costume is a pirate.,A man in a pirate costume playing an instrument in a band.</s>No pirates here
123,A man with a scarf on performs with his band on stage.,There are no instruments,contradiction,contradiction,"The man is performing with his band, so there must be instruments.",A man with a scarf on performs with his band on stage.</s>There are no instruments
124,A man with a scarf on performs with his band on stage.,The band is famous,neutral,neutral,"The band could be famous, but it is not necessarily famous.",A man with a scarf on performs with his band on stage.</s>The band is famous
125,A man with a scarf on performs with his band on stage.,A man is wearing a scard,entailment,entailment,The man is wearing a scarf.,A man with a scarf on performs with his band on stage.</s>A man is wearing a scard
126,People in pirate outfits are playing in a band.,The band wore themed costumes for their gig at the Halloween party.,neutral,neutral,The band could have worn themed costumes for any other occasion.,People in pirate outfits are playing in a band.</s>The band wore themed costumes for their gig at the Halloween party.
127,People in pirate outfits are playing in a band.,Some people are playing musical instruments.,entailment,entailment,People in pirate outfits are people. People playing in a band are people.,People in pirate outfits are playing in a band.</s>Some people are playing musical instruments.
128,People in pirate outfits are playing in a band.,"The band is dressed in tuxedos, having drinks at the bar.",contradiction,contradiction,"The band is dressed in tuxedos, having drinks at the bar.","People in pirate outfits are playing in a band.</s>The band is dressed in tuxedos, having drinks at the bar."
129,A white dog is running across a grassy field.,A dog is running around a field.,entailment,entailment,A white dog is a dog. A grassy field is a field.,A white dog is running across a grassy field.</s>A dog is running around a field.
130,A white dog is running across a grassy field.,A black dog is walking home.,contradiction, ,"The dog in the first sentence is white, not black. The dog in the first sentence is running, not walking. The dog in the first sentence is in",A white dog is running across a grassy field.</s>A black dog is walking home.
131,A white dog is running across a grassy field.,A dog is running around a field while his owner chases him.,neutral,neutral,The dog could be running around the field without his owner chasing him.,A white dog is running across a grassy field.</s>A dog is running around a field while his owner chases him.
132,The boy is sliding down a metal slide.,A boy is sliding.,entailment,entailment,The boy is sliding down a metal slide.,The boy is sliding down a metal slide.</s>A boy is sliding.
133,The boy is sliding down a metal slide.,A boy is sliding down a slide at the park.,neutral,neutral,The slide is not necessarily at the park.,The boy is sliding down a metal slide.</s>A boy is sliding down a slide at the park.
134,The boy is sliding down a metal slide.,A girl is playing on the see saw.,contradiction,neutral,The boy is not the girl.,The boy is sliding down a metal slide.</s>A girl is playing on the see saw.
135,A girl whose head is sticking out of the water at her mouth.,A girl is swimming in the water.,neutral,neutral,"The girl is in the water, but she is not necessarily swimming.",A girl whose head is sticking out of the water at her mouth.</s>A girl is swimming in the water.
136,A girl whose head is sticking out of the water at her mouth.,The girl walks on the water.,contradiction,contradiction,The girl is not walking on the water.,A girl whose head is sticking out of the water at her mouth.</s>The girl walks on the water.
137,A girl whose head is sticking out of the water at her mouth.,There is a girl in the water.,entailment,entailment,The girl is in the water.,A girl whose head is sticking out of the water at her mouth.</s>There is a girl in the water.
138,A man in a wheelchair and a blond woman play badminton with three youths.,The man and woman are teaching the children the game of badminton.,neutral,entailment,The man and woman are playing badminton with the children.,A man in a wheelchair and a blond woman play badminton with three youths.</s>The man and woman are teaching the children the game of badminton.
139,A man in a wheelchair and a blond woman play badminton with three youths.,The couple and children are running in a marathon.,contradiction,contradiction,The man in the wheelchair cannot run in a marathon.,A man in a wheelchair and a blond woman play badminton with three youths.</s>The couple and children are running in a marathon.
140,A man in a wheelchair and a blond woman play badminton with three youths.,A couple plays with the children.,entailment,neutral,The man and the woman are not necessarily a couple.,A man in a wheelchair and a blond woman play badminton with three youths.</s>A couple plays with the children.
141,A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.,The people are eating dinner.,contradiction,contradiction,"The people are playing a sport, not eating dinner.",A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.</s>The people are eating dinner.
142,A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.,The people are playing basketball.,neutral,neutral,The netted sport is not necessarily basketball.,A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.</s>The people are playing basketball.
143,A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.,The people are playing a game.,entailment,entailment,The people are playing a game.,A person in a wheelchair plays a netted sport with three players in green shirts while being coached by an older woman off to his left.</s>The people are playing a game.
144,People playing in a gym with a net.,A gym class plays with a net during school.,neutral,neutral,"The people playing in the gym could be playing basketball, volleyball, or badminton.",People playing in a gym with a net.</s>A gym class plays with a net during school.
145,People playing in a gym with a net.,People playing in a gym.,entailment,entailment,The net is not necessary to play in a gym.,People playing in a gym with a net.</s>People playing in a gym.
146,People playing in a gym with a net.,A doctor examining a patient.,contradiction,neutral,The people playing in a gym with a net are not necessarily a doctor examining a patient.,People playing in a gym with a net.</s>A doctor examining a patient.
147,People playing badminton in a gymnasium.,People are in the gym.,neutral,entailment,People playing badminton are people. A gymnasium is a gym.,People playing badminton in a gymnasium.</s>People are in the gym.
148,People playing badminton in a gymnasium.,People are outside playing.,contradiction,neutral,People playing badminton in a gymnasium are not necessarily outside.,People playing badminton in a gymnasium.</s>People are outside playing.
149,People playing badminton in a gymnasium.,People playing badminton in the gym.,entailment,entailment,A gymnasium is a gym.,People playing badminton in a gymnasium.</s>People playing badminton in the gym.
