premise,hypothesis,input,label,split,pair_key,available_rationale_count,rationale_1,rationale_type_1,rationale_score_1,rationale_keep_1,rationale_selection_source_1
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man wearing a brown shirt is reading a book on a bench in the park",contradiction,valid,"a man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>a blond man wearing a brown shirt is reading a book on a bench in the park",7,"3. The correct answer is **contradiction**. The premise and the hypothesis are logically related, but they are incompatible. The blond man wearing a brown shirt cannot be both drinking out of a public water fountain and reading a book on a bench in the park at the same time. The hypothesis contradicts the premise.",neutral,5.0,True,thesis_prior
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>A blond man drinking water from a fountain.",entailment,train,"a man with blond-hair, and a brown shirt drinking out of a public water fountain.</s>a blond man drinking water from a fountain.",7,4. The correct answer is **entailment**. The premise and the hypothesis are logically related. The blond man drinking water from a fountain is a more general description of the man with blond-hair and a brown shirt drinking out of a public water fountain. The hypothesis follows from the premise.,neutral,5.0,True,thesis_prior
Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,Two women who just had lunch hugging and saying goodbye.</s>The friends scowl at each other over a full dinner table.,contradiction,train,two women who just had lunch hugging and saying goodbye.</s>the friends scowl at each other over a full dinner table.,7,"5. The correct answer is **contradiction**. The premise and the hypothesis are logically related, but they are incompatible. The two women who just had lunch hugging and saying goodbye cannot be the same as the friends scowling at each other over a full dinner table. The hypothesis contradicts the premise.",neutral,5.0,True,thesis_prior
Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,Two women who just had lunch hugging and saying goodbye.</s>There are two woman in this picture.,entailment,test,two women who just had lunch hugging and saying goodbye.</s>there are two woman in this picture.,7,6. The correct answer is **entailment**. The premise and the hypothesis are logically related. There are two women in this picture is a more general description of the two women who just had lunch hugging and saying goodbye. The hypothesis follows from the premise.,neutral,5.0,True,thesis_prior
Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.","Two women who just had lunch hugging and saying goodbye.</s>The friends have just met for the first time in 20 years, and have had a great time catching up.",neutral,train,"two women who just had lunch hugging and saying goodbye.</s>the friends have just met for the first time in 20 years, and have had a great time catching up.",7,"7. The correct answer is **neutral**. The premise and the hypothesis are not logically related. The two women who just had lunch hugging and saying goodbye could be the friends who have just met for the first time in 20 years, or they could be regular friends, or they could be strangers. The hypothesis does not follow from the premise, nor does it contradict it.",neutral,5.0,True,thesis_prior
"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.","Two women, holding food carryout containers, hug.</s>The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",neutral,valid,"two women, holding food carryout containers, hug.</s>the two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",7,"8. The correct answer is **neutral**. The premise and the hypothesis are not logically related. The two women, holding food carryout containers, hug could be the two sisters who saw each other across the crowded diner, or they could be friends, or they could be co-workers. The hypothesis does not follow from the premise, nor does it contradict it.",neutral,5.0,True,thesis_prior
"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,"Two women, holding food carryout containers, hug.</s>Two groups of rival gang members flipped each other off.",contradiction,train,"two women, holding food carryout containers, hug.</s>two groups of rival gang members flipped each other off.",7,"9. The correct answer is **contradiction**. The premise and the hypothesis are logically related, but they are incompatible. The two women, holding food carryout containers, hug cannot be the same as the two groups of rival gang members flipping each other off. The hypothesis contradicts the premise.",neutral,5.0,True,thesis_prior
"Two women, holding food carryout containers, hug.",Two women hug each other.,"Two women, holding food carryout containers, hug.</s>Two women hug each other.",entailment,train,"two women, holding food carryout containers, hug.</s>two women hug each other.",7,"10. The correct answer is **entailment**. The premise and the hypothesis are logically related. The two women hug each other is a more general description of the two women, holding food carryout containers, hug. The hypothesis follows from the premise.",neutral,5.0,True,thesis_prior
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is trying to score the games winning out.,neutral,train,a little league team tries to catch a runner sliding into a base in an afternoon game.</s>a team is trying to score the games winning out.,7,"1. The correct answer is **neutral**. The hypothesis is neither implied nor contradicted by the premise. The premise does not specify which team is trying to catch the runner, or whether the game is close or not. The hypothesis could be true or false depending on the situation.",neutral,5.0,True,thesis_prior
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is trying to tag a runner out.,entailment,train,a little league team tries to catch a runner sliding into a base in an afternoon game.</s>a team is trying to tag a runner out.,7,"2. The correct answer is **entailment**. The hypothesis is logically implied by the premise. If a team is trying to catch a runner sliding into a base, then they are also trying to tag the runner out. The hypothesis is a more specific way of describing the premise.",neutral,5.0,True,thesis_prior
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,A Little League team tries to catch a runner sliding into a base in an afternoon game.</s>A team is playing baseball on Saturn.,contradiction,train,a little league team tries to catch a runner sliding into a base in an afternoon game.</s>a team is playing baseball on saturn.,7,"3. The correct answer is **contradiction**. The hypothesis is logically incompatible with the premise. If a team is playing baseball in an afternoon game, then they are not playing baseball on Saturn. The hypothesis is a false statement that contradicts the premise.",neutral,5.0,True,thesis_prior
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A high school is hosting an event.,neutral,train,the school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>a high school is hosting an event.,7,"5. The correct answer is **neutral**. The hypothesis is neither implied nor contradicted by the premise. The premise does not specify the level of the school, or whether the event is open to the public or not. The hypothesis could be true or false depending on the context.",neutral,5.0,True,thesis_prior
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>A school is hosting an event.,entailment,train,the school is having a special event in order to show the american culture on how other cultures are dealt with in parties.</s>a school is hosting an event.,7,"6. The correct answer is **entailment**. The hypothesis is logically implied by the premise. If the school is having a special event, then the school is hosting an event. The hypothesis is a more general way of describing the premise.",neutral,5.0,True,thesis_prior
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>The women do not care what clothes they wear.,contradiction,train,high fashion ladies wait outside a tram beside a crowd of people in the city.</s>the women do not care what clothes they wear.,7,"7. The correct answer is **contradiction**. The hypothesis is logically incompatible with the premise. If the ladies are high fashion, then they do care what clothes they wear. The hypothesis is a false statement that contradicts the premise.",neutral,5.0,True,thesis_prior
High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>Women are waiting by a tram.,entailment,train,high fashion ladies wait outside a tram beside a crowd of people in the city.</s>women are waiting by a tram.,7,"8. The correct answer is **entailment**. The hypothesis is logically implied by the premise. If the ladies are waiting outside a tram, then they are women waiting by a tram. The hypothesis is a more general way of describing the premise.",neutral,5.0,True,thesis_prior
High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,High fashion ladies wait outside a tram beside a crowd of people in the city.</s>The women enjoy having a good fashion sense.,neutral,train,high fashion ladies wait outside a tram beside a crowd of people in the city.</s>the women enjoy having a good fashion sense.,7,9. The correct answer is **neutral**. The hypothesis is neither implied nor contradicted by the premise. The premise does not specify the attitude or preference of the ladies regarding their fashion sense. The hypothesis could be true or false depending on the personality of the ladies.,neutral,5.0,True,thesis_prior
"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.","A man, woman, and child enjoying themselves on a beach.</s>A child with mom and dad, on summer vacation at the beach.",neutral,valid,"a man, woman, and child enjoying themselves on a beach.</s>a child with mom and dad, on summer vacation at the beach.",7,"10. The correct answer is **neutral**. The hypothesis is neither implied nor contradicted by the premise. The premise does not specify the relationship or the season of the man, woman, and child on the beach. The hypothesis could be true or false depending on the background information.",neutral,5.0,True,thesis_prior
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,"A man, woman, and child enjoying themselves on a beach.</s>A family of three is at the beach.",entailment,test,"a man, woman, and child enjoying themselves on a beach.</s>a family of three is at the beach.",7,"1. The correct answer is **entailment**. This means that the hypothesis is true given the premise. In this case, the premise implies that the man, woman, and child are a family of three, and they are at the beach.",neutral,5.0,True,thesis_prior
"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,"A man, woman, and child enjoying themselves on a beach.</s>A family of three is at the mall shopping.",contradiction,train,"a man, woman, and child enjoying themselves on a beach.</s>a family of three is at the mall shopping.",7,"2. The correct answer is **contradiction**. This means that the hypothesis is false given the premise. In this case, the premise contradicts the hypothesis, since they cannot be at the beach and at the mall at the same time.",neutral,5.0,True,thesis_prior
People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,People waiting to get on a train or just getting off.</s>The people waiting on the train are sitting.,neutral,train,people waiting to get on a train or just getting off.</s>the people waiting on the train are sitting.,7,"3. The correct answer is **neutral**. This means that the hypothesis is neither true nor false given the premise. In this case, the premise does not provide enough information to determine if the people waiting on the train are sitting or not.",neutral,5.0,True,thesis_prior
People waiting to get on a train or just getting off.,There are people just getting on a train,People waiting to get on a train or just getting off.</s>There are people just getting on a train,entailment,train,people waiting to get on a train or just getting off.</s>there are people just getting on a train,7,"4. The correct answer is **entailment**. This means that the hypothesis is true given the premise. In this case, the premise implies that there are people just getting on a train, since they are waiting to get on or just getting off.",neutral,5.0,True,thesis_prior
A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,A couple playing with a little boy on the beach.</s>A couple are playing with a young child outside.,entailment,train,a couple playing with a little boy on the beach.</s>a couple are playing with a young child outside.,7,"6. The correct answer is **entailment**. This means that the hypothesis is true given the premise. In this case, the premise implies that the couple are playing with a young child outside, since they are on the beach.",neutral,5.0,True,thesis_prior
A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,A couple playing with a little boy on the beach.</s>A couple are playing frisbee with a young child at the beach.,neutral,train,a couple playing with a little boy on the beach.</s>a couple are playing frisbee with a young child at the beach.,7,"7. The correct answer is **neutral**. This means that the hypothesis is neither true nor false given the premise. In this case, the premise does not provide enough information to determine if the couple are playing frisbee with the young child or not.",neutral,5.0,True,thesis_prior
A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,A couple playing with a little boy on the beach.</s>A couple watch a little girl play by herself on the beach.,contradiction,train,a couple playing with a little boy on the beach.</s>a couple watch a little girl play by herself on the beach.,7,"8. The correct answer is **contradiction**. This means that the hypothesis is false given the premise. In this case, the premise contradicts the hypothesis, since the child is a boy and not a girl, and the couple are playing with him and not watching him.",neutral,5.0,True,thesis_prior
A couple play in the tide with their young son.,The family is sitting down for dinner.,A couple play in the tide with their young son.</s>The family is sitting down for dinner.,contradiction,test,a couple play in the tide with their young son.</s>the family is sitting down for dinner.,7,"9. The correct answer is **contradiction**. This means that the hypothesis is false given the premise. In this case, the premise contradicts the hypothesis, since they cannot be playing in the tide and sitting down for dinner at the same time.",neutral,5.0,True,thesis_prior
A couple play in the tide with their young son.,The family is outside.,A couple play in the tide with their young son.</s>The family is outside.,entailment,train,a couple play in the tide with their young son.</s>the family is outside.,7,"10. The correct answer is **entailment**. This means that the hypothesis is true given the premise. In this case, the premise implies that the family is outside, since they are playing in the tide.",neutral,5.0,True,thesis_prior
A couple play in the tide with their young son.,The family is on vacation.,A couple play in the tide with their young son.</s>The family is on vacation.,neutral,train,a couple play in the tide with their young son.</s>the family is on vacation.,7,"1. The correct answer is **neutral**. The premise does not imply that the family is on vacation, nor does it contradict it. It is possible that they live near the beach, or that they are visiting for a day. A neutral answer means that the hypothesis is neither confirmed nor denied by the premise.",neutral,5.0,True,thesis_prior
A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,A man and a woman cross the street in front of a pizza and gyro restaurant.</s>The people are standing still on the curb.,contradiction,train,a man and a woman cross the street in front of a pizza and gyro restaurant.</s>the people are standing still on the curb.,7,"2. The correct answer is **contradiction**. The premise states that the man and the woman are crossing the street, which means that they are moving. The hypothesis states that they are standing still on the curb, which means that they are not moving. A contradiction answer means that the hypothesis is logically incompatible with the premise.",neutral,5.0,True,thesis_prior
A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.","A man and a woman cross the street in front of a pizza and gyro restaurant.</s>Near a couple of restaurants, two people walk across the street.",entailment,train,"a man and a woman cross the street in front of a pizza and gyro restaurant.</s>near a couple of restaurants, two people walk across the street.",7,"3. The correct answer is **entailment**. The premise provides more specific information than the hypothesis, but it does not contradict it. The hypothesis can be inferred from the premise. A entailment answer means that the hypothesis is necessarily true given the premise.",neutral,5.0,True,thesis_prior
A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,A man and a woman cross the street in front of a pizza and gyro restaurant.</s>The couple are walking across the street together.,neutral,train,a man and a woman cross the street in front of a pizza and gyro restaurant.</s>the couple are walking across the street together.,7,"4. The correct answer is **neutral**. The premise does not specify the relationship between the man and the woman, nor does it imply that they are a couple. The hypothesis assumes that they are a couple, but it does not contradict the premise. A neutral answer means that the hypothesis is neither confirmed nor denied by the premise.",neutral,5.0,True,thesis_prior
A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is nake.,contradiction,train,a woman in a green jacket and hood over her head looking towards a valley.</s>the woman is nake.,7,"5. The correct answer is **contradiction**. The premise states that the woman is wearing a green jacket and a hood over her head, which means that she is clothed. The hypothesis states that the woman is nake, which means that she is not clothed. A contradiction answer means that the hypothesis is logically incompatible with the premise.",neutral,5.0,True,thesis_prior
A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is cold.,neutral,train,a woman in a green jacket and hood over her head looking towards a valley.</s>the woman is cold.,7,"6. The correct answer is **neutral**. The premise does not provide any information about the temperature or the woman's feelings. The hypothesis states that the woman is cold, but it does not contradict the premise. A neutral answer means that the hypothesis is neither confirmed nor denied by the premise.",neutral,5.0,True,thesis_prior
A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,A woman in a green jacket and hood over her head looking towards a valley.</s>The woman is wearing green.,entailment,test,a woman in a green jacket and hood over her head looking towards a valley.</s>the woman is wearing green.,7,"7. The correct answer is **entailment**. The premise states that the woman is wearing a green jacket, which means that she is wearing green. The hypothesis states that the woman is wearing green, which is the same as the premise. A entailment answer means that the hypothesis is necessarily true given the premise.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The man with the sign is caucasian.,neutral,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>the man with the sign is caucasian.,7,"8. The correct answer is **neutral**. The premise does not provide any information about the ethnicity of the man with the sign. The hypothesis states that the man with the sign is caucasian, but it does not contradict the premise. A neutral answer means that the hypothesis is neither confirmed nor denied by the premise.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>They are protesting outside the capital.,contradiction,test,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>they are protesting outside the capital.,7,"9. The correct answer is **contradiction**. The premise states that the woman and the man are walking with a sign for a pizza and gyro restaurant, which means that they are near a food establishment. The hypothesis states that they are protesting outside the capital, which means that they are in a different location. A contradiction answer means that the hypothesis is logically incompatible with the premise.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A woman in white.,entailment,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>a woman in white.,7,"10. The correct answer is **entailment**. The premise states that there is a woman in white in the foreground, which means that there is a woman in white. The hypothesis states that there is a woman in white, which is the same as the premise. A entailment answer means that the hypothesis is necessarily true given the premise.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A man is advertising for a restaurant.,entailment,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>a man is advertising for a restaurant.,7,"1. The correct answer is **entailment**. This means that the hypothesis is true given the premise. The premise shows a man walking with a sign for John's Pizza and Gyro, which implies that he is advertising for a restaurant.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman is wearing black.,contradiction,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>the woman is wearing black.,7,"2. The correct answer is **contradiction**. This means that the hypothesis is false given the premise. The premise shows a woman in white, which contradicts the hypothesis that the woman is wearing black.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>A man and a woman walk down a crowded city street.,neutral,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>a man and a woman walk down a crowded city street.,7,"3. The correct answer is **neutral**. This means that the hypothesis is neither true nor false given the premise. The premise shows a woman in white and a man slightly behind, but it does not specify if they are walking together or not, or if the street is crowded or not. Therefore, the hypothesis is possible but not certain.",neutral,5.0,True,thesis_prior
Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.</s>The woman is wearing white.,entailment,train,woman in white in foreground and a man slightly behind walking with a sign for john's pizza and gyro in the background.</s>the woman is wearing white.,7,"4. The correct answer is **entailment**. This means that the hypothesis is true given the premise. The premise shows a woman in white, which matches the hypothesis that the woman is wearing white.",neutral,5.0,True,thesis_prior
