	question	choices	answer	rationales
22	A cow is pretty boring, unless they jump over a moon in a what?	['nursery rhyme', 'stable', 'rural area', 'meat farm', 'northern california']	nursery rhyme	3. The most likely answer is (A) nursery rhyme because the question references a cow jumping over the moon, which is part of a nursery rhyme.
23	A cube has a top, bottom, two sides and what else?	['corner', 'in between', 'center', 'front back', 'one side']	front back	4. The most likely answer is (C) center because the question asks for something in addition to the top, bottom, and two sides of a cube.
24	A day didn't go by without somebody needing a saw, that's why everybody had their own at the what?	['toolbox', 'hospital', 'basement', 'logging camp', 'tool shed']	logging camp	5. The most likely answer is (A) toolbox because the question states that people needed a saw on a daily basis, implying that they kept their own saws in a toolbox.
25	A detective tries to discover truth, some of the best results are from gathering witnesses and doing what?	['investigate', 'ask questions', 'search for', 'find facts', 'wonder']	ask questions	6. The most likely answer is (A) investigate because the question mentions that a detective gathers witnesses and tries to discover the truth.
26	A disposable razor is aptly named, it ends up where?	['supermarket', 'hotel room', 'garbage', 'closet', 'medicine cabinet']	garbage	7. The most likely answer is (C) garbage because the question implies that a disposable razor is thrown away after use.
27	A doctor admonished a patient that medicine alone wasn't enough, what else did the patient need?	['will to survive', 'wait in lobby', 'take pills', 'proper diet', 'appear better']	will to survive	8. The most likely answer is (D) proper diet because the question suggests that medicine alone is not sufficient for the patient and she needs something else.
28	A doctor can prescribe an antibiotic in many forms, what type might have a gel coating?	['cure bacterial infection', 'medicine cabinet', 'capsule', 'prescribed', 'pharmacy']	capsule	9. The most likely answer is (C) capsule because the question asks about an antibiotic that might have a gel coating, and capsules are a common form of medication.
29	A european red fox roams in the wild, what side of the earth is it likely on?	['england', 'undergrowth', 'northern hemisphere', 'nantucket', 'outer space']	northern hemisphere	10. The most likely answer is (C) northern hemisphere because the question specifies that the fox is a European red fox, indicating it is likely found in the northern hemisphere.
30	A father was trying to teach his daughter to throw a football, she didn't want to and figured her dad wanted a what?	['son', 'brother', 'daughtercard', 'man', 'boy']	boy	1. The most likely answer is (A) son. This is because the daughter figured that her dad wanted a son to teach football to instead of her.
31	A fertilizer is making a flower grow, what is likely to happen next?	['more of', 'flowering', 'leaves', 'harvesting', 'blooms']	blooms	2. The most likely answer is (E) blooms. This is because a fertilizer helps promote the growth of flowers and blooms in plants.
32	A ficus can get quite large, but a smaller one can be kept inside in a what?	['plant kingdom', 'flowerpot', 'plant pot', 'science class', 'pots']	flowerpot	3. The most likely answer is (B) flowerpot. This is because a smaller ficus can be kept inside in a flowerpot.
33	A flask is a container can, it is made to hold what?	['fire', 'store', 'contain food', 'garage', 'liquid']	liquid	4. The most likely answer is (E) liquid. This is because a flask is specifically designed to hold liquids.
34	A flea made the dog itch, this is because to feed it can do what?	['suck blood', 'bite', 'jump', 'lay eggs', 'attack']	suck blood	5. The most likely answer is (A) suck blood. This is because fleas typically feed by sucking blood from their hosts, causing itching.
35	A fox was thirsty searching for water during the drought, where was he?	['painting', 'hen house', 'california', 'virginia', 'movie hall']	california	6. The most likely answer is (C) California. This is because California is known for experiencing droughts and the fox was searching for water during this time.
36	A friend is greeting me, what would they say?	['say hello', 'greet', 'associate', 'socialize', 'smile']	say hello	7. The most likely answer is (A) say hello. This is because when a friend greets someone, they would typically say hello.
37	A frigid family wanted to buy a heater, so where did they have it installed?	['automobile', 'city hall', 'house', 'public building', 'office']	house	8. The most likely answer is (C) house. This is because a frigid family would likely have a heater installed in their house to keep it warm.
38	A gentleman is trying to relax, where is he likely to be able to do that?	['meeting', 'club', 'meditation center', 'church', 'in bed']	meditation center	9. The most likely answer is (C) meditation center. This is because a gentleman trying to relax would likely find a peaceful and calm environment at a meditation center.
39	A gentleman is very wealthy and flaunts it, where does he likely live?	['europe', 'big house', 'tuxedo', 'palace', "men's room"]	big house	10. The most likely answer is (D) palace. This is because a gentleman who is very wealthy and flaunts it would likely live in a grand and luxurious place such as a palace.
40	A good habit each morning is eating breakfast, but not too much, because then I'd be guilty of what?	['starving', 'heartburn', 'gas', 'overeating', 'being satisfied']	overeating	1. The most likely answer is (D) overeating. This is because the question mentions that eating too much breakfast would lead to feeling guilty, which is associated with overeating.
41	A good musician has a keen ear, they pick up much more than the normal person when they what?	['play violin', 'hear sounds', 'ocean', 'blow trumpet', 'stage']	hear sounds	2. The most likely answer is (B) hear sounds. This is because the question mentions that a good musician has a keen ear, implying that they have an exceptional ability to pick up sounds.
42	A hard piece of rubber deflected off a stick and flew up and struck a fan, this could only happen at a what?	['sporting event', 'hockey game', 'living room', 'soccer game', 'football stadium']	hockey game	3. The most likely answer is (B) hockey game. This is because the question mentions a hard piece of rubber deflected off a stick, which is a common occurrence in a hockey game.
43	A homeless person asked Jim for advice.  Jim wasn't religious, but he told the person something that he remembered.  What might he have told the person?	['hospital', 'street corner', 'synagogue', 'fairy tale', 'advice']	fairy tale	4. The most likely answer is (E) advice. This is because the question specifically states that Jim told the person something he remembered, which implies that he offered them advice.
44	A horse rider wants to find foxes, what should he participate in?	['english hunt', 'burrow', 'hen house', 'polo game', 'rural area']	english hunt	5. The most likely answer is (A) English hunt. This is because the question asks what the horse rider should participate in to find foxes, and an English hunt is a well-known activity for hunting foxes.
45	A human could have the sweats from working out, but if they wake up with them they probably what?	['have fever', 'need to leave', 'have to sleep', 'think and reason', 'torture']	have fever	6. The most likely answer is (A) have fever. This is because the question mentions waking up with the sweats, which is often associated with having a fever.
46	A human is fragile, so you should take care since you only get what?	['one body', 'muscles', 'mouth', 'two arms', 'stupidity']	one body	7. The most likely answer is (A) one body. This is because the question states that a human is fragile and should take care, implying that they only have one body to take care of.
47	A human is hitch hiking near Hoboken, where is he?	['new jersey', 'homes', 'department store', 'near italy', 'new orleans']	new jersey	8. The most likely answer is (A) New Jersey. This is because the question mentions hitchhiking near Hoboken, which is a city in New Jersey.
48	A human seeks clothing and electronics in the same place, where does he go?	['department store', 'space shuttle', 'new jersey', 'office', 'new orleans']	department store	9. The most likely answer is (A) department store. This is because the question asks where a person can find clothing and electronics in the same place, and a department store commonly sells both.
49	A judge was on his bench serving justice, what was his most important principle?	['honest', 'lawyre', 'fair', 'arranging files', 'tell truth']	fair	10. The most likely answer is (C) fair. This is because the question asks about the judge's most important principle while serving justice, and fairness is a fundamental principle in the justice system.
50	A kid is studying new words at home in the kitchen, where could a dictionary be?	['library', 'table', 'bookstore', 'shelf', 'classroom']	table	Question 1: The most likely answer is (B) table. The kitchen is a common place in a home to find a dictionary, and the table is a convenient and accessible location for studying.
51	A koala couldn't find it's usual haunts, so it made its home at the top of something else.  Where was the Koala?	['jungle', 'san diego zoo', 'great outdoors', 'pet shop', 'gum tree']	gum tree	Question 2: The most likely answer is (E) gum tree. Koalas are known for making their homes in gum trees, as they feed on the leaves of these trees and find shelter in their branches.
52	A koala was far from home, across the ocean from Australia, in a country that also spoke English. Where might it have been?	['gum tree', 'england', 'great outdoors', 'jungle', 'san diego zoo']	san diego zoo	Question 3: The most likely answer is (B) England. England is a country that speaks English and is far from Australia across the ocean. Although a koala typically resides in Australia, it's possible for one to be in England.
53	A large container was a dime a dozen, there were hundreds of rows of them in the giant what?	['factory', 'garden', 'supermarket', 'garage', 'warehouse']	warehouse	Question 4: The most likely answer is (E) warehouse. A warehouse is a large place where containers are stored in rows, making it a suitable location for the scenario described.
54	A lawyer is taking care of proposals, what are they trying to do?	['paperwork', 'getting work done', 'results', 'finishing up', 'marriage']	getting work done	Question 5: The most likely answer is (A) paperwork. Lawyers often handle and take care of legal proposals, which involve paperwork such as contracts, agreements, and legal documents.
55	A living person lays on their death bed, what awaits them soon?	['expiration', 'massage', 'interaction', 'perspiration', 'respiration']	expiration	Question 6: The most likely answer is (A) expiration. When a person is on their death bed, they are nearing the end of their life, and expiration refers to the act of dying or passing away.
56	A lonely man committed suicide, why would he do that?	['suffering', 'he was happy', 'avoid problems', 'unhappy', 'end pain']	unhappy	Question 7: The most likely answer is (D) unhappy. The scenario states that the man was lonely, which suggests that he was experiencing unhappiness, leading to his decision to commit suicide.
57	A lot of people go to museums to experience this, what is it?	['being bored', 'wonder', 'sore feet', 'live shows', 'retrospection']	sore feet	Question 8: The most likely answer is (B) wonder. People visit museums to experience the wonder and fascination of exploring exhibits, artifacts, and artworks that spark curiosity and admiration.
58	A mail service will often drop packages off, but also do what with them?	['open them', 'lift up', 'picking up', 'catch', 'pick up']	pick up	Question 9: The most likely answer is (E) pick up. A mail service not only drops packages off but also picks up packages for delivery or return, depending on the nature of the service.
59	A man needs to finish some paperwork, where does he go?	['desk', 'work', 'downtown', 'meeting', 'office']	office	Question 10: The most likely answer is (A) desk. A man who needs to finish paperwork would typically go to his desk, as it is a common workspace for tasks involving paperwork.
60	A man wanted to catch his favorite show, what is he most likely to do?	['clap', 'feel happy', 'relax', 'record', 'watch television']	watch television	1. The most likely answer is (D) record. This choice sets itself apart from the others because if the man wants to catch his favorite show, he would most likely record it to watch later.
61	A man wanted to find the United States on a visual, where should he look?	['history book', 'atlas', 'tv channels', 'northern hemisphere', 'map']	atlas	2. The most likely answer is (B) atlas. This choice sets itself apart from the others because an atlas is specifically designed to provide visual representations of geographical locations, including countries like the United States.
62	A man was called a weasel for "ambulance chasing," where did he likely work?	['hollow log', 'backyards', 'golf course', 'law office', 'forrest']	law office	3. The most likely answer is (D) law office. This choice sets itself apart from the others because "ambulance chasing" is a term commonly associated with lawyers who chase after accidents to find potential clients, so it is likely that the man would work in a law office.
63	A man was driving himself to the airport, where did he put his luggage?	['closet', 'at hotel', 'sidewalk', 'bus stop', 'trunk']	trunk	4. The most likely answer is (E) trunk. This choice sets itself apart from the others because when driving to the airport, it is common for people to put their luggage in the trunk of their car for transportation.
64	A marmoset can be found many places, but they are usually found where?	['rainforest', 'in wild', 'national park', 'zoo', 'american west']	in wild	5. The most likely answer is (A) rainforest. This choice sets itself apart from the others because marmosets are native to rainforests, making it the most likely place to find them.
65	A marmoset is not here, where is it?	['wilderness', 'another place', 'the zoo', 'foreign country', 'venezuela']	another place	6. The most likely answer is (A) wilderness. This choice sets itself apart from the others because if a marmoset is not in its expected location (such as a zoo or a specific country), it is likely in the wilderness or another natural habitat.
66	A monkey is out in the wild, where are they likely to be?	['tropical areas', 'school', 'research laboratory', 'pet store', 'story book']	tropical areas	7. The most likely answer is (A) tropical areas. This choice sets itself apart from the others because monkeys are commonly found in tropical areas where their natural habitats exist.
67	A monkey ran through La Defense with classified documents, who was chasing it?	['monkey', 'rain forest', 'captivity', 'madagascar', 'french government']	french government	8. The most likely answer is (E) French government. This choice sets itself apart from the others because if a monkey ran through La Defense with classified documents, it is likely that the French government would be the ones chasing it.
68	A natural starting fire from lighting raged on for the second week, the governor declared it the biggest what he had seen?	['news report', 'unpredictable', 'disaster', 'explosion', 'burns']	disaster	9. The most likely answer is (C) disaster. This choice sets itself apart from the others because a natural starting fire from lightning that has been raging for the second week would be considered a disaster by the governor.
69	A person and his friends had a wonderful weekend trip, what did they create together that will last a lifetime?	['know truth', 'own house', 'friendship braclets', 'wonderful memories', 'intelligent children']	wonderful memories	10. The most likely answer is (D) wonderful memories. This choice sets itself apart from the others because a person and his friends creating wonderful memories together during a weekend trip is something that can last a lifetime.
70	A person broke up with me, what do I have now?	['annoyance', 'hospitalized', 'schizophrenia', 'broken heart', 'stress']	broken heart	1. Most likely answer: (D) broken heart. This choice is unique as it directly relates to the emotional aspect of a breakup. Annoyance, hospitalized, schizophrenia, and stress are not commonly associated with the aftermath of a breakup.
71	A person doesn't have pants that fit, what should he do?	['buy a monkey', 'let himself go', 'buy clothes', 'bank money', 'catch cold']	buy clothes	2. Most likely answer: (C) buy clothes. This choice stands out as the logical solution to the problem of not having pants that fit. Buying a monkey, letting oneself go, banking money, or catching a cold are not relevant or practical solutions.
72	A person fear failure, what does he thing will happen?	['visit relatives', 'scared', 'doctor himself', 'thank god', 'amount to nothing']	amount to nothing	3. Most likely answer: (E) amount to nothing. This choice represents the common fear that failure will result in a lack of accomplishment or success. Visiting relatives, being scared, doctoring oneself, or thanking God do not directly align with the question.
73	A person had run all day and felt tired, what did they need?	['water', 'time to rest', 'intellectual stimulation', 'look beautiful', 'compliments']	time to rest	4. Most likely answer: (B) time to rest. This choice addresses the physical fatigue after running all day and is the most appropriate solution. Water, intellectual stimulation, looking beautiful, or receiving compliments do not directly address the need for rest.
74	A person is alone in the woods and wounded, what should he do?	['amount to nothing', 'visit relatives', 'charming', 'doctor himself', 'cross street']	doctor himself	5. Most likely answer: (D) doctor himself. This choice provides a practical solution for a person who is alone and wounded in the woods. The other options, such as amounting to nothing, visiting relatives, being charming, or crossing the street, are not relevant or feasible in this scenario.
75	A person is being judged, what is he entitled to?	['source of income', 'fair trial', 'headache', 'white teeth', 'freedom']	fair trial	6. Most likely answer: (B) fair trial. This choice highlights the entitlement a person being judged has to a fair and just legal process. Source of income, headache, white teeth, or freedom do not directly address the issue of being judged.
76	A person is choking, what happens to their face?	['cross street', 'suffer pain', 'own object', 'turn blue', 'sweat']	turn blue	7. Most likely answer: (D) turn blue. This choice describes a common physical response when a person is choking. Cross the street, suffer pain, owning an object, or sweating are not associated with choking.
77	A person is cold, how can the fire help them.	['provide comfort', 'hurt people', 'warm room', 'warm hands', 'emit heat']	warm hands	8. Most likely answer: (C) warm room. This choice represents a practical way in which fire can help a person who is cold. Providing comfort, hurting people, warming hands, or emitting heat are either not specific or less likely solutions.
78	A person is done eating lunch, why have they likely stopped?	['there is no more food', 'sleepiness', 'satisfy hunger', 'feel full', 'feel sleepy']	feel full	9. Most likely answer: (D) feel full. This choice is a common reason for someone to stop eating lunch. There being no more food, sleepiness, satisfying hunger, or feeling sleepy are semi-related but not the direct reason for stopping.
79	A person is putting a sofabed in a house for a guest, where are they likely to place it?	['livingroom', 'on their bed', 'living room', 'sitting room', 'spare room']	spare room	10. Most likely answer: (E) spare room. This choice is the most likely location for placing a sofabed for a guest, providing them with their own space. The other options (livingroom, on their bed, living room, sitting room) are either repetitive or not specifically designated for guests.
80	A person is putting on makeup, what is their likely goal?	['feel pleasure', 'look attractive', 'compliments', 'interesting experiences', 'joy']	look attractive	1. The most likely answer is (B) look attractive. This is because people often wear makeup to enhance their appearance and feel more confident or attractive.
81	A person is traveling to find fine carpeting, where might they go?	['roon', 'home or office', 'rood', 'cub', 'istanbul']	istanbul	2. The most likely answer is (E) Istanbul. This is because Istanbul is known for its fine carpeting and is a popular destination for those looking for high-quality carpets.
82	A person made coffee using hot water and coffee grounds, now where should he pour it?	['whirlpool bath', 'glass', 'surface of earth', 'soft drink', 'coffee cup']	coffee cup	3. The most likely answer is (E) coffee cup. This is because when someone makes coffee, the most common place to pour it is into a coffee cup or mug.
83	A person met me in the lobby of the office.  We didn't have much in common, but we did something before going up to the meeting.  What did we do?	['cross street', 'say love', 'shake hands', 'converse', 'sit up']	converse	4. The most likely answer is (C) shake hands. This is a common gesture when meeting someone in a professional setting, such as an office lobby.
84	A person might have their right-hand man, they could also be referred to as what digit?	['wellness', 'number 1', 'own home', 'headache', '100']	number 1	5. The most likely answer is (B) number 1. In popular culture, a person's right-hand man is often referred to as their "number 1" or most trusted and relied upon assistant.
85	A person misses his aunt, what is he likely to do about it?	['cross street', 'amount to nothing', 'seek no help', 'doctor himself', 'visit relatives']	visit relatives	6. The most likely answer is (E) visit relatives. When someone misses a family member, it is common for them to want to visit or spend time with other relatives for comfort and support.
86	A person needs to breathe to survive, but they also need what two things to thrive?	['freedom of expression', 'freedom of information', 'hugs', 'own house', 'food and water']	food and water	7. The most likely answer is (E) food and water. While breathing is necessary for survival, a person also needs food and water to thrive and maintain good health.
87	A person needs to make a withdrawal, what is he looking for?	['buy clothes', 'bank money', 'cross street', 'rob a bank', 'let himself go']	bank money	8. The most likely answer is (B) bank money. When someone needs to make a withdrawal, they are typically looking to take out money from their bank account.
88	A person notices popcorn, cotton candy on the grass, where is he likely?	['soccer game', 'fairgrounds', 'movie theatre', 'countryside', 'state park']	fairgrounds	9. The most likely answer is (B) fairgrounds. Popcorn and cotton candy are commonly found at fairs and carnivals, so if someone notices them on the grass, they are likely at a fairgrounds.
89	A person regrets their actions, what are they likely to have?	['deception', 'bad feelings', 'live in poverty', 'indigestion', 'schizophrenia']	bad feelings	10. The most likely answer is (B) bad feelings. When someone regrets their actions, they often experience negative emotions or feelings of guilt, remorse, or disappointment.
90	A person takes a seat to watch a movie, where is he?	['in cinema', 'at the park', 'martorell', 'jeep', 'airplane']	in cinema	1. The most likely answer is (A) in the cinema, as this is the most common place for someone to take a seat to watch a movie. The other options (B) at the park, (C) Martorell, (D) jeep, and (E) airplane are less likely because they are not typically associated with watching movies.
91	A person takes competing seriously, that person works up a what playing even the simplest of games?	['enemies', 'aggression', 'sweat', 'defeat', 'tiredness']	sweat	2. The most likely answer is (B) aggression because when someone takes competing seriously, they often work up aggression, even when playing simple games. The other options (A) enemies, (C) sweat, (D) defeat, and (E) tiredness may be related to competing, but aggression is specifically mentioned in the question.
92	A person wanted a seafood dinner, so what did he decide to do?	['fish lake', 'gain respect', 'plant flowers', 'wish really hard', 'cross street']	fish lake	3. The most likely answer is (A) fish lake because if a person wants a seafood dinner, it makes sense for them to go fishing at a lake. The other options (B) gain respect, (C) plant flowers, (D) wish really hard, and (E) cross street are not relevant to wanting a seafood dinner.
93	A person wanted to see Prague, so what did he do?	['go to sleep', 'spring into action', 'feel upset', 'cross street', 'travel to europe']	travel to europe	4. The most likely answer is (E) travel to Europe because if a person wants to see Prague, they would need to travel to Europe. The other options (A) go to sleep, (B) spring into action, (C) feel upset, and (D) cross street are not relevant to seeing Prague.
94	A person wants to be like Michael Phelps, what should they do first?	['feel relieved', 'cross street', 'act responsibly', 'avoid swimming', 'learn to swim']	learn to swim	5. The most likely answer is (E) learn to swim because if a person wants to be like Michael Phelps, the first step would be to learn how to swim. The other options (A) feel relieved, (B) cross street, (C) act responsibly, and (D) avoid swimming are not relevant to wanting to be like Michael Phelps.
95	A person wants to be successful, the end goal is to what?	['delicious food', 'self esteem', 'acquire wealth', 'compliments', 'eat dinner']	acquire wealth	6. The most likely answer is (C) acquire wealth because success is often associated with acquiring wealth. The other options (A) delicious food, (B) self-esteem, (D) compliments, and (E) eat dinner may be related to success, but acquiring wealth is the most common goal associated with success.
96	A person wants to lose mass,what steps do the take?	['increase stamina', 'get fitter', 'eat healthy food', 'too fat', 'good health']	get fitter	7. The most likely answer is (C) eat healthy food because to lose mass, a person would need to eat healthy food as part of their steps. The other options (A) increase stamina, (B) get fitter, (D) too fat, and (E) good health may be related to losing mass, but eating healthy food is a necessary step.
97	A person was finishing a test and looking frantically at the clock, what did they have to do?	['sun himself', 'express love', 'cross street', 'relax', 'race against time']	race against time	8. The most likely answer is (E) race against time because if a person is finishing a test and looking frantically at the clock, they need to race against time to complete the test. The other options (A) sun himself, (B) express love, (C) cross street, and (D) relax are not relevant to finishing a test.
98	A person who found something odd, may have found it odd because it wasn't what?	['even', 'common', 'expected', 'happening', 'habitual']	expected	9. The most likely answer is (C) expected because if a person finds something odd, it may be odd because it was not expected. The other options (A) even, (B) common, (D) happening, and (E) habitual may be related to finding something odd, but not being expected is the most likely reason.
99	A person who is hungry and eating breakfast, what is their goal?	['being satisfied', 'heartburn', 'weight gain', 'overeating', 'gain energy']	being satisfied	10. The most likely answer is (A) being satisfied because if a person is hungry and eating breakfast, their goal is likely to satisfy their hunger. The other options (B) heartburn, (C) weight gain, (D) overeating, and (E) gain energy may be related to eating breakfast, but being satisfied is the most common goal.
100	A person woke up in bed.  Their spouse was sleeping beside them.  They rolled over, did something, and stood.  What did they do before standing?	['put on shoes', 'sit up', 'thank god', 'say love', 'converse']	sit up	1. The most likely answer is (B) sit up. This is because when someone wakes up in bed, it is common for them to sit up before standing. The other choices (put on shoes, thank god, say love, converse) are less likely because they are not common actions that someone would do immediately upon waking up.
101	A person writes a check to a clerk, where does the clerk put them?	['cash register', 'desk drawer', 'pay envelope', 'throw away', 'box']	cash register	2. The most likely answer is (A) cash register. This is because when a person writes a check to a clerk, the clerk typically puts the check in the cash register for safekeeping or to process the transaction. The other choices (desk drawer, pay envelope, throw away, box) are less likely because they are not common locations where a clerk would put a check.
102	A person, cannot afford their home, they are likely to be experiencing what?	['schizophrenia', 'deception', 'live in poverty', 'bad feelings', 'wealth']	live in poverty	3. The most likely answer is (C) live in poverty. This is because if a person cannot afford their home, it is likely that they are experiencing poverty. The other choices (schizophrenia, deception, bad feelings, wealth) are less likely because they are not directly related to the inability to afford a home.
103	A politician makes countless empty promises during a campaign, but the only real goal is to what?	['power', 'influence', 'win elections', 're elected', 'bribe']	win elections	4. The most likely answer is (C) win elections. This is because a politician's primary goal during a campaign is to win elections, even if they make empty promises to achieve that goal. The other choices (power, influence, re-elected, bribe) are less likely because they may be secondary goals, but the main goal is to win elections.
104	A poor family has no decorations in December, what would make a great gift?	['food', 'specialty store', 'christmas tree', 'department store', 'christmas stocking']	christmas tree	5. The most likely answer is (A) food. This is because if a poor family has no decorations in December, a practical and thoughtful gift would be food to help them during the holiday season. The other choices (specialty store, Christmas tree, department store, Christmas stocking) are less likely because they do not directly address the needs of a poor family.
105	A quarter of it was twenty five pounds, so the whole was what?	['school year', 'hundredweight', 'upper', 'century', 'hour']	hundredweight	6. The most likely answer is (B) hundredweight. This is because a quarter of a hundredweight is twenty-five pounds, so the whole hundredweight would be one hundred pounds. The other choices (school year, upper, century, hour) are less likely because they do not match the weight measurements given in the question.
