question,premise,hypothesis,label,llm_label,rationale,input
A black dog jumps into a pool that has many yellow balls in it.</s>The dog is a purebred Golden Retriever.,A black dog jumps into a pool that has many yellow balls in it.,The dog is a purebred Golden Retriever.,contradiction,contradiction,"The dog is black, not golden.",A black dog jumps into a pool that has many yellow balls in it.</s>The dog is a purebred Golden Retriever.
A little boy with rain boots takes a walk in the park.</s>The little boy is walking in the park as it's about to rain.,A little boy with rain boots takes a walk in the park.,The little boy is walking in the park as it's about to rain.,neutral,entailment,"The little boy is wearing rain boots, so it's about to rain.",A little boy with rain boots takes a walk in the park.</s>The little boy is walking in the park as it's about to rain.
"A little girl, with blond-hair and a red shirt on, is playing in a big box.</s>A girl playing in a box","A little girl, with blond-hair and a red shirt on, is playing in a big box.",A girl playing in a box,entailment,entailment,The girl is playing in a box.,"A little girl, with blond-hair and a red shirt on, is playing in a big box.</s>A girl playing in a box"
A man and boy is looking for something on the ground.</s>A man and boy looking for pennies on the ground.,A man and boy is looking for something on the ground.,A man and boy looking for pennies on the ground.,neutral,entailment,The man and boy are looking for something on the ground. Pennies are something.,A man and boy is looking for something on the ground.</s>A man and boy looking for pennies on the ground.
A Woman working a food stand with lots of desserts.</s>The woman is serving food.,A Woman working a food stand with lots of desserts.,The woman is serving food.,entailment,entailment,"The woman is working a food stand, so she is serving food.",A Woman working a food stand with lots of desserts.</s>The woman is serving food.
A blond woman is in her kitchen holding a knife and graham crackers as she is making pie with cranberries and cherries.</s>The woman is making a pie with blueberries and walnuts.,A blond woman is in her kitchen holding a knife and graham crackers as she is making pie with cranberries and cherries.,The woman is making a pie with blueberries and walnuts.,contradiction,contradiction,"The woman is making a pie with cranberries and cherries, not blueberries and walnuts.",A blond woman is in her kitchen holding a knife and graham crackers as she is making pie with cranberries and cherries.</s>The woman is making a pie with blueberries and walnuts.
"The little girl tackles a man and makes the universal sign for ""Touchdown!""</s>A man and a girl are eating dinner in a restaurant.","The little girl tackles a man and makes the universal sign for ""Touchdown!""",A man and a girl are eating dinner in a restaurant.,contradiction,contradiction,The man and girl are not eating dinner in a restaurant.,"The little girl tackles a man and makes the universal sign for ""Touchdown!""</s>A man and a girl are eating dinner in a restaurant."
A man in yellow and green shorts jumping in a living room.</s>A man in yellow and green shorts jumping to the moon.,A man in yellow and green shorts jumping in a living room.,A man in yellow and green shorts jumping to the moon.,contradiction,contradiction,"The man is jumping in a living room, not to the moon.",A man in yellow and green shorts jumping in a living room.</s>A man in yellow and green shorts jumping to the moon.
Four ladies and one man practicing music in a living room.</s>A musician sing into a microphone.,Four ladies and one man practicing music in a living room.,A musician sing into a microphone.,contradiction,neutral,The man is not necessarily a musician.,Four ladies and one man practicing music in a living room.</s>A musician sing into a microphone.
Two children holding up peace signs and smiling.</s>A couple of children are smiling and holding up peace signs.,Two children holding up peace signs and smiling.,A couple of children are smiling and holding up peace signs.,entailment,entailment,A couple of children is a way to paraphrase two children.,Two children holding up peace signs and smiling.</s>A couple of children are smiling and holding up peace signs.
Musicians playing to a crowd of people on the street.</s>The street has no people.,Musicians playing to a crowd of people on the street.,The street has no people.,contradiction,contradiction,"If there are no people on the street, then there cannot be a crowd of people on the street.",Musicians playing to a crowd of people on the street.</s>The street has no people.
A man is standing on a dock with nothing on but a towel around his waist.</s>A man is outside standing while the boat he is waiting for arrives.,A man is standing on a dock with nothing on but a towel around his waist.,A man is outside standing while the boat he is waiting for arrives.,neutral,entailment,"The man is standing on a dock, which is a place where boats arrive.",A man is standing on a dock with nothing on but a towel around his waist.</s>A man is outside standing while the boat he is waiting for arrives.
A young man reaches for green apples to put in a box.</s>a young guy puts apples in a box for later,A young man reaches for green apples to put in a box.,a young guy puts apples in a box for later,neutral,neutral,"The apples are green, but the hypothesis does not mention the color of the apples.",A young man reaches for green apples to put in a box.</s>a young guy puts apples in a box for later
"An old chinese man is looking at a computer monitor with his hands on his cheeks.</s>A chinese man is no a computer looking at images and is shocked, so he puts his hands on his cheeks.",An old chinese man is looking at a computer monitor with his hands on his cheeks.,"A chinese man is no a computer looking at images and is shocked, so he puts his hands on his cheeks.",neutral,neutral,The man is not necessarily shocked.,"An old chinese man is looking at a computer monitor with his hands on his cheeks.</s>A chinese man is no a computer looking at images and is shocked, so he puts his hands on his cheeks."
A woman walking down the street on the sidewalk.</s>The woman is swimming with sharks.,A woman walking down the street on the sidewalk.,The woman is swimming with sharks.,contradiction,contradiction,The woman is walking down the street on the sidewalk.,A woman walking down the street on the sidewalk.</s>The woman is swimming with sharks.
Young women with a green beanie bending down to pick up a basket from a four legged desk.</s>A young woman is taking a basket of food to her grandmother.,Young women with a green beanie bending down to pick up a basket from a four legged desk.,A young woman is taking a basket of food to her grandmother.,neutral,neutral,The young woman is not necessarily taking the basket to her grandmother.,Young women with a green beanie bending down to pick up a basket from a four legged desk.</s>A young woman is taking a basket of food to her grandmother.
Two men relaxing in a bakery</s>There are two men enjoying a pastry.,Two men relaxing in a bakery,There are two men enjoying a pastry.,neutral,entailment,"The men are relaxing in a bakery, so they are probably enjoying a pastry.",Two men relaxing in a bakery</s>There are two men enjoying a pastry.
"Men and women view cows, guns and symbols in pieces in a art gallery.</s>people are in a gallary","Men and women view cows, guns and symbols in pieces in a art gallery.",people are in a gallary,entailment,entailment,The people are in a gallery because they are viewing art.,"Men and women view cows, guns and symbols in pieces in a art gallery.</s>people are in a gallary"
This young girl is enjoying the innocence of childhood and warm weather.</s>The girl is outside.,This young girl is enjoying the innocence of childhood and warm weather.,The girl is outside.,entailment,entailment,The girl is outside because she is enjoying the warm weather.,This young girl is enjoying the innocence of childhood and warm weather.</s>The girl is outside.
two teams of players playing basketball on a court outside.</s>A man shark fishing on a boat,two teams of players playing basketball on a court outside.,A man shark fishing on a boat,contradiction,neutral,The two sentences are not related.,two teams of players playing basketball on a court outside.</s>A man shark fishing on a boat
Three dogs playing in the snow while one dog wears a jacket.</s>There are dogs sitting in the snow,Three dogs playing in the snow while one dog wears a jacket.,There are dogs sitting in the snow,contradiction,contradiction,"The dogs are playing in the snow, not sitting.",Three dogs playing in the snow while one dog wears a jacket.</s>There are dogs sitting in the snow
A yellow dog shaking off from a jump into a stream.</s>A dog is cold from the water.,A yellow dog shaking off from a jump into a stream.,A dog is cold from the water.,neutral,entailment,The dog is shaking off from a jump into a stream.,A yellow dog shaking off from a jump into a stream.</s>A dog is cold from the water.
A street performer dressed as an angel doing a balancing act.</s>The street performer is wearing a costume.,A street performer dressed as an angel doing a balancing act.,The street performer is wearing a costume.,entailment,entailment,"The street performer is dressed as an angel, so he is wearing a costume.",A street performer dressed as an angel doing a balancing act.</s>The street performer is wearing a costume.
A volleyball player in an orange shirt jumps into the air to hit the ball.</s>The man is spiking the ball.,A volleyball player in an orange shirt jumps into the air to hit the ball.,The man is spiking the ball.,neutral,entailment,The man is jumping into the air to hit the ball. Spiking is a way to hit the ball.,A volleyball player in an orange shirt jumps into the air to hit the ball.</s>The man is spiking the ball.
Tattooed female hipster with over-sized belt smiles while another woman stands in background.</s>A female is wearing jeans.,Tattooed female hipster with over-sized belt smiles while another woman stands in background.,A female is wearing jeans.,neutral,entailment,The woman in the picture is wearing jeans.,Tattooed female hipster with over-sized belt smiles while another woman stands in background.</s>A female is wearing jeans.
The hiker pokes out of her tent to find that snow is everywhere.</s>A hiker looks out of her tent to see snow.,The hiker pokes out of her tent to find that snow is everywhere.,A hiker looks out of her tent to see snow.,entailment,entailment,The hiker is looking out of her tent to see snow.,The hiker pokes out of her tent to find that snow is everywhere.</s>A hiker looks out of her tent to see snow.
An older man reads a newspaper in front of a store.</s>A man is standing outside.,An older man reads a newspaper in front of a store.,A man is standing outside.,entailment,entailment,The man is standing outside because he is in front of a store.,An older man reads a newspaper in front of a store.</s>A man is standing outside.
A child stands outside with a crowd of adults in white.</s>The siblings are playing with their classmates in the classroom.,A child stands outside with a crowd of adults in white.,The siblings are playing with their classmates in the classroom.,contradiction,contradiction,"The child is outside, not in a classroom. The adults are not the child's siblings.",A child stands outside with a crowd of adults in white.</s>The siblings are playing with their classmates in the classroom.
A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.</s>A couple are skateboarding around town together.,A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.,A couple are skateboarding around town together.,contradiction,contradiction,"The couple are not skateboarding, they are standing.",A woman and man with bikes stand by a man with a guitar in front of a large building with a balcony.</s>A couple are skateboarding around town together.
Grandmother holding on to her adorable granddaughter in a flower print brown footy.</s>The grandma and granddaughter are at a park.,Grandmother holding on to her adorable granddaughter in a flower print brown footy.,The grandma and granddaughter are at a park.,neutral,neutral,The grandma and granddaughter are not necessarily at a park.,Grandmother holding on to her adorable granddaughter in a flower print brown footy.</s>The grandma and granddaughter are at a park.
A construction worker checking out the building site.</s>A construction worker is checking out the site.,A construction worker checking out the building site.,A construction worker is checking out the site.,entailment,entailment,A construction worker is a worker.,A construction worker checking out the building site.</s>A construction worker is checking out the site.
Asian children eating together.</s>Children are outside playing,Asian children eating together.,Children are outside playing,contradiction,contradiction,The children are not outside playing.,Asian children eating together.</s>Children are outside playing
A group of men wearing cowboy hats are sitting next to a horse.</s>A group of men are at a rodeo.,A group of men wearing cowboy hats are sitting next to a horse.,A group of men are at a rodeo.,neutral,entailment,"The men are wearing cowboy hats, which is a common thing to wear at a rodeo.",A group of men wearing cowboy hats are sitting next to a horse.</s>A group of men are at a rodeo.
The giraffe's brown spots are separated by white lines.</s>The Giraffe has spots,The giraffe's brown spots are separated by white lines.,The Giraffe has spots,entailment,entailment,The giraffe's spots are separated by white lines.,The giraffe's brown spots are separated by white lines.</s>The Giraffe has spots
"A young woman and her friend waiting for the court hearing in the city of Portland, Oregon.</s>There is a woman and her friend waiting for court.","A young woman and her friend waiting for the court hearing in the city of Portland, Oregon.",There is a woman and her friend waiting for court.,entailment,entailment,"The court hearing is in the city of Portland, Oregon.","A young woman and her friend waiting for the court hearing in the city of Portland, Oregon.</s>There is a woman and her friend waiting for court."
A young Indian man sits atop a concrete structure with a saw and is carving it while what appears to be a woman because of her dress and legs is in the background.</s>A man is carving a statue.,A young Indian man sits atop a concrete structure with a saw and is carving it while what appears to be a woman because of her dress and legs is in the background.,A man is carving a statue.,neutral,entailment,The man is carving a statue.,A young Indian man sits atop a concrete structure with a saw and is carving it while what appears to be a woman because of her dress and legs is in the background.</s>A man is carving a statue.
A small group of people listening to a speaker or presentation.</s>The teacher is teaching a group,A small group of people listening to a speaker or presentation.,The teacher is teaching a group,neutral,neutral,The speaker could be a student or a guest speaker.,A small group of people listening to a speaker or presentation.</s>The teacher is teaching a group
"Three people dressed in red, green, and black view a cliff that overlooks a body of water.</s>Three people look over a cliff at a body of water.","Three people dressed in red, green, and black view a cliff that overlooks a body of water.",Three people look over a cliff at a body of water.,entailment,"entailment

Pre","The people are dressed in red, green, and black. They are looking over a cliff at a body of water.","Three people dressed in red, green, and black view a cliff that overlooks a body of water.</s>Three people look over a cliff at a body of water."
These are women members of a musical symphony dressed in black and carrying red flags outside an ornate building.</s>The women are wearing white.,These are women members of a musical symphony dressed in black and carrying red flags outside an ornate building.,The women are wearing white.,contradiction,contradiction,The women are wearing black.,These are women members of a musical symphony dressed in black and carrying red flags outside an ornate building.</s>The women are wearing white.
People enjoy some beverages on a sunny day.</s>There are containers for the beverages.,People enjoy some beverages on a sunny day.,There are containers for the beverages.,entailment,entailment,The beverages are in containers.,People enjoy some beverages on a sunny day.</s>There are containers for the beverages.
A person peaks their head out of a tent set up in a snowy field.</s>The person is the Bermudas on the beach.,A person peaks their head out of a tent set up in a snowy field.,The person is the Bermudas on the beach.,contradiction,contradiction,"The person is in a snowy field, not on the beach.",A person peaks their head out of a tent set up in a snowy field.</s>The person is the Bermudas on the beach.
A young toddler is seen crying.</s>A grown man cries because of divorce.,A young toddler is seen crying.,A grown man cries because of divorce.,contradiction,contradiction,A toddler is not a grown man.,A young toddler is seen crying.</s>A grown man cries because of divorce.
A group of people hanging out and playing a board game.</s>A group of friends are playing a board game,A group of people hanging out and playing a board game.,A group of friends are playing a board game,neutral,neutral,The people in the picture are not necessarily friends.,A group of people hanging out and playing a board game.</s>A group of friends are playing a board game
"One guy wearing a blue shirt and a cowboy hat is painting a picture, as tourists in the background walk.</s>the man is a famous artist","One guy wearing a blue shirt and a cowboy hat is painting a picture, as tourists in the background walk.",the man is a famous artist,neutral,neutral,"The man is painting a picture, but he is not necessarily a famous artist.","One guy wearing a blue shirt and a cowboy hat is painting a picture, as tourists in the background walk.</s>the man is a famous artist"
Two workers work in an industrial bakery.</s>People enjoy a few too many cakes.,Two workers work in an industrial bakery.,People enjoy a few too many cakes.,neutral,neutral,The workers are not necessarily eating the cakes.,Two workers work in an industrial bakery.</s>People enjoy a few too many cakes.
A young businessman walking down the street while a black bird flies in front of him.</s>A businessman is walking down the street.,A young businessman walking down the street while a black bird flies in front of him.,A businessman is walking down the street.,entailment,entailment,A young businessman is a businessman.,A young businessman walking down the street while a black bird flies in front of him.</s>A businessman is walking down the street.
The yellow dog is in the snow with a red ball.</s>A yellow dog is playing in the snow.,The yellow dog is in the snow with a red ball.,A yellow dog is playing in the snow.,entailment,neutral,"The dog is in the snow, but it is not necessarily playing.",The yellow dog is in the snow with a red ball.</s>A yellow dog is playing in the snow.
This is an Indian lady sitting with some sort of food next to her.</s>An Indian lady has a bowl of curry next to her.,This is an Indian lady sitting with some sort of food next to her.,An Indian lady has a bowl of curry next to her.,neutral,neutral,The food next to her is not necessarily curry.,This is an Indian lady sitting with some sort of food next to her.</s>An Indian lady has a bowl of curry next to her.
A man is splitting wood on a snowy day in the driveway to a white house.</s>A man is outside in the snow.,A man is splitting wood on a snowy day in the driveway to a white house.,A man is outside in the snow.,entailment,entailment,The man is splitting wood in the driveway to a white house. The driveway is outside.,A man is splitting wood on a snowy day in the driveway to a white house.</s>A man is outside in the snow.
An older man sitting in front of a car.</s>An older man relaxes in front of a car.,An older man sitting in front of a car.,An older man relaxes in front of a car.,neutral,neutral,"The man is sitting in front of a car, but he is not necessarily relaxing.",An older man sitting in front of a car.</s>An older man relaxes in front of a car.
A lot of people are on the street holding balloons.</s>People are watching the drunk clown make perverted balloon animals.,A lot of people are on the street holding balloons.,People are watching the drunk clown make perverted balloon animals.,neutral,neutral,"The people are holding balloons, not watching the drunk clown make perverted balloon animals.",A lot of people are on the street holding balloons.</s>People are watching the drunk clown make perverted balloon animals.
A middle-aged man in a trench coat sleeps on a bus or train.</s>The man is sleeping while his head propped on a pole in the bus.,A middle-aged man in a trench coat sleeps on a bus or train.,The man is sleeping while his head propped on a pole in the bus.,neutral,entailment,The man is sleeping on a bus or train. The man is sleeping while his head is propped on a pole in the bus.,A middle-aged man in a trench coat sleeps on a bus or train.</s>The man is sleeping while his head propped on a pole in the bus.
People getting ready to attend a big church event.</s>The people are waiting in their cars.,People getting ready to attend a big church event.,The people are waiting in their cars.,contradiction,neutral,The people are getting ready to attend a big church event. They are not necessarily waiting in their cars.,People getting ready to attend a big church event.</s>The people are waiting in their cars.
a black motorcycle is parked in a parking lot while another comes around the hill.</s>Both motorcycles are in the garage.,a black motorcycle is parked in a parking lot while another comes around the hill.,Both motorcycles are in the garage.,contradiction,contradiction,The motorcycles are not in the garage.,a black motorcycle is parked in a parking lot while another comes around the hill.</s>Both motorcycles are in the garage.
A surfer is on a wave.</s>A person surfing.,A surfer is on a wave.,A person surfing.,entailment,entailment,A surfer is a person surfing.,A surfer is on a wave.</s>A person surfing.
A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.</s>This road worker at the intersection loves his job.,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.,This road worker at the intersection loves his job.,neutral, ,The man in the blue hard hat and orange safety vest is a road worker. The road worker is at the intersection. The road worker loves his job.,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag.</s>This road worker at the intersection loves his job.
A group of people wait at the bottom of the stairs that two men in suits are walking down.</s>There are people camping.,A group of people wait at the bottom of the stairs that two men in suits are walking down.,There are people camping.,contradiction,contradiction,"The people are waiting at the bottom of the stairs, not camping.",A group of people wait at the bottom of the stairs that two men in suits are walking down.</s>There are people camping.
A female in a gray coat and with a red purse is sitting on a green park bench reading a newspaper.</s>The woman is standing on the scale.,A female in a gray coat and with a red purse is sitting on a green park bench reading a newspaper.,The woman is standing on the scale.,contradiction,contradiction,"The woman is sitting on a park bench, not standing on a scale.",A female in a gray coat and with a red purse is sitting on a green park bench reading a newspaper.</s>The woman is standing on the scale.
A woman in a white shirt and red jeans is carrying a plastic bag and cellphone while walking along the street by art prints.</s>The woman is out for a walk.,A woman in a white shirt and red jeans is carrying a plastic bag and cellphone while walking along the street by art prints.,The woman is out for a walk.,entailment,entailment,The woman is walking along the street.,A woman in a white shirt and red jeans is carrying a plastic bag and cellphone while walking along the street by art prints.</s>The woman is out for a walk.
A player fell down onto a hard court in women's volleyball.</s>A woman fell while playing volleyball,A player fell down onto a hard court in women's volleyball.,A woman fell while playing volleyball,entailment,neutral,The player could be a man.,A player fell down onto a hard court in women's volleyball.</s>A woman fell while playing volleyball
The sitting girl with the taco is helping some men sell toys.</s>The girl is helping the men sell things.,The sitting girl with the taco is helping some men sell toys.,The girl is helping the men sell things.,entailment,contradiction,"The girl is helping the men sell toys, not things.",The sitting girl with the taco is helping some men sell toys.</s>The girl is helping the men sell things.
A white puppy walks down a dirt path trailing his leash on the ground behind him.</s>A puppy is out for a walk with his owner.,A white puppy walks down a dirt path trailing his leash on the ground behind him.,A puppy is out for a walk with his owner.,neutral,neutral,The puppy is not necessarily with his owner.,A white puppy walks down a dirt path trailing his leash on the ground behind him.</s>A puppy is out for a walk with his owner.
A man in red looks into the stall of a seller at a market.</s>There are people at a market.,A man in red looks into the stall of a seller at a market.,There are people at a market.,entailment,entailment,The man in red is a person. The seller is a person.,A man in red looks into the stall of a seller at a market.</s>There are people at a market.
"People in an outdoor market with colorful plastic containers filled with dried food.</s>The people are inside of a mall, because there is a big sale.",People in an outdoor market with colorful plastic containers filled with dried food.,"The people are inside of a mall, because there is a big sale.",contradiction,contradiction,"The people are in an outdoor market, not a mall.","People in an outdoor market with colorful plastic containers filled with dried food.</s>The people are inside of a mall, because there is a big sale."
A group of motocross racers lined up to start.</s>A group of motocross racers are lined up to race a mile.,A group of motocross racers lined up to start.,A group of motocross racers are lined up to race a mile.,neutral,neutral,"The racers are lined up to start, but not necessarily to race a mile.",A group of motocross racers lined up to start.</s>A group of motocross racers are lined up to race a mile.
A camera women filming an entertainment event.</s>the woman is sixty,A camera women filming an entertainment event.,the woman is sixty,neutral,contradiction,the woman is not sixty,A camera women filming an entertainment event.</s>the woman is sixty
A man in a gray t-shirt juggling 3 white pins in a park.</s>A man practicing juggling 3 white pins.,A man in a gray t-shirt juggling 3 white pins in a park.,A man practicing juggling 3 white pins.,neutral,entailment,The man is juggling 3 white pins.,A man in a gray t-shirt juggling 3 white pins in a park.</s>A man practicing juggling 3 white pins.
A woman wearing a red and white apron is standing next to a wall with the number 333 written on it.</s>A woman is wearing an apron.,A woman wearing a red and white apron is standing next to a wall with the number 333 written on it.,A woman is wearing an apron.,entailment,entailment,The woman is wearing an apron.,A woman wearing a red and white apron is standing next to a wall with the number 333 written on it.</s>A woman is wearing an apron.
A person skateboarding at a skate park.</s>This skateboarder is wearing a helmet as is required at the skate park.,A person skateboarding at a skate park.,This skateboarder is wearing a helmet as is required at the skate park.,neutral,entailment,The person is skateboarding at a skate park.,A person skateboarding at a skate park.</s>This skateboarder is wearing a helmet as is required at the skate park.
Person sitting at a desk in a library.</s>The person is playing outside.,Person sitting at a desk in a library.,The person is playing outside.,contradiction,contradiction,The person is sitting at a desk in a library.,Person sitting at a desk in a library.</s>The person is playing outside.
A woman sings and plays a small guitar and a drummer sits behind her playing maracas.</s>Two goldfish are riding bikes in a giant pile of mashed potatoes.,A woman sings and plays a small guitar and a drummer sits behind her playing maracas.,Two goldfish are riding bikes in a giant pile of mashed potatoes.,contradiction,neutral,The two sentences are unrelated.,A woman sings and plays a small guitar and a drummer sits behind her playing maracas.</s>Two goldfish are riding bikes in a giant pile of mashed potatoes.
A women sitting at a fancy table looking at her food. A man standing next to the table.</s>A woman is seated at a table.,A women sitting at a fancy table looking at her food. A man standing next to the table.,A woman is seated at a table.,entailment,entailment,The woman is seated at a table.,A women sitting at a fancy table looking at her food. A man standing next to the table.</s>A woman is seated at a table.
Two young people riding a subway tram while sleeping.</s>The two young people were really tired on the subway tram,Two young people riding a subway tram while sleeping.,The two young people were really tired on the subway tram,neutral,neutral,The two young people could have been pretending to sleep.,Two young people riding a subway tram while sleeping.</s>The two young people were really tired on the subway tram
A man wearing a yellow vest and a hat with pins on both is looking at something.</s>A man wearing a vest and hat is looking at something.,A man wearing a yellow vest and a hat with pins on both is looking at something.,A man wearing a vest and hat is looking at something.,entailment,entailment,A yellow vest is a vest. A hat with pins is a hat.,A man wearing a yellow vest and a hat with pins on both is looking at something.</s>A man wearing a vest and hat is looking at something.
Person sitting in a chair selling goods outside of a building.</s>A man is selling handmade goods.,Person sitting in a chair selling goods outside of a building.,A man is selling handmade goods.,neutral,neutral,The person sitting in the chair is not necessarily a man.,Person sitting in a chair selling goods outside of a building.</s>A man is selling handmade goods.
"A man, in his garage, throwing knives against the wall.</s>A man is practicing his knife throwing act for a magic show.","A man, in his garage, throwing knives against the wall.",A man is practicing his knife throwing act for a magic show.,neutral,neutral,The man is throwing knives against the wall.,"A man, in his garage, throwing knives against the wall.</s>A man is practicing his knife throwing act for a magic show."
A young man is riding his bike on a ramp that is placed within a fenced area.</s>A BMX rider performs trick jumps to prepare for an event.,A young man is riding his bike on a ramp that is placed within a fenced area.,A BMX rider performs trick jumps to prepare for an event.,neutral,entailment,The young man is riding his bike on a ramp. The ramp is placed within a fenced area.,A young man is riding his bike on a ramp that is placed within a fenced area.</s>A BMX rider performs trick jumps to prepare for an event.
Two kids within a circle stand opposed to each other in fighting stances.</s>Two competitors get ready to wrestle.,Two kids within a circle stand opposed to each other in fighting stances.,Two competitors get ready to wrestle.,neutral,entailment,"The two kids are in a circle, which is a common place for wrestling.",Two kids within a circle stand opposed to each other in fighting stances.</s>Two competitors get ready to wrestle.
two trees in town in front of building</s>There are two trees that are old.,two trees in town in front of building,There are two trees that are old.,neutral,neutral,The trees are not necessarily old.,two trees in town in front of building</s>There are two trees that are old.
A man singing while another man plays the guitar and another man plays the drums.</s>The man is black.,A man singing while another man plays the guitar and another man plays the drums.,The man is black.,neutral,neutral,The man is not necessarily black.,A man singing while another man plays the guitar and another man plays the drums.</s>The man is black.
These people are having a good time.</s>Some people are enjoying themselves.,These people are having a good time.,Some people are enjoying themselves.,entailment,entailment,People are enjoying themselves.,These people are having a good time.</s>Some people are enjoying themselves.
A young woman standing on a window ledge of brick building while child looks on.</s>the women looks over the ledge,A young woman standing on a window ledge of brick building while child looks on.,the women looks over the ledge,entailment,entailment,"the women is standing on the ledge, so she is looking over the ledge.",A young woman standing on a window ledge of brick building while child looks on.</s>the women looks over the ledge
A young blond boy and blond girl are drawing pictures on white paper with a box of Crayola crayons while seated at a table.</s>Funny humans drawing,A young blond boy and blond girl are drawing pictures on white paper with a box of Crayola crayons while seated at a table.,Funny humans drawing,neutral,neutral,The children are not necessarily funny.,A young blond boy and blond girl are drawing pictures on white paper with a box of Crayola crayons while seated at a table.</s>Funny humans drawing
