question,choices
"A cow is pretty boring, unless they jump over a moon in a what?","['nursery rhyme', 'stable', 'rural area', 'meat farm', 'northern california']"
"A cube has a top, bottom, two sides and what else?","['corner', 'in between', 'center', 'front back', 'one side']"
"A day didn't go by without somebody needing a saw, that's why everybody had their own at the what?","['toolbox', 'hospital', 'basement', 'logging camp', 'tool shed']"
"A detective tries to discover truth, some of the best results are from gathering witnesses and doing what?","['investigate', 'ask questions', 'search for', 'find facts', 'wonder']"
"A disposable razor is aptly named, it ends up where?","['supermarket', 'hotel room', 'garbage', 'closet', 'medicine cabinet']"
"A doctor admonished a patient that medicine alone wasn't enough, what else did the patient need?","['will to survive', 'wait in lobby', 'take pills', 'proper diet', 'appear better']"
"A doctor can prescribe an antibiotic in many forms, what type might have a gel coating?","['cure bacterial infection', 'medicine cabinet', 'capsule', 'prescribed', 'pharmacy']"
"A european red fox roams in the wild, what side of the earth is it likely on?","['england', 'undergrowth', 'northern hemisphere', 'nantucket', 'outer space']"
"A father was trying to teach his daughter to throw a football, she didn't want to and figured her dad wanted a what?","['son', 'brother', 'daughtercard', 'man', 'boy']"
"A fertilizer is making a flower grow, what is likely to happen next?","['more of', 'flowering', 'leaves', 'harvesting', 'blooms']"
"A ficus can get quite large, but a smaller one can be kept inside in a what?","['plant kingdom', 'flowerpot', 'plant pot', 'science class', 'pots']"
"A flask is a container can, it is made to hold what?","['fire', 'store', 'contain food', 'garage', 'liquid']"
"A flea made the dog itch, this is because to feed it can do what?","['suck blood', 'bite', 'jump', 'lay eggs', 'attack']"
"A fox was thirsty searching for water during the drought, where was he?","['painting', 'hen house', 'california', 'virginia', 'movie hall']"
"A friend is greeting me, what would they say?","['say hello', 'greet', 'associate', 'socialize', 'smile']"
"A frigid family wanted to buy a heater, so where did they have it installed?","['automobile', 'city hall', 'house', 'public building', 'office']"
"A gentleman is trying to relax, where is he likely to be able to do that?","['meeting', 'club', 'meditation center', 'church', 'in bed']"
"A gentleman is very wealthy and flaunts it, where does he likely live?","['europe', 'big house', 'tuxedo', 'palace', ""men's room""]"
"A good habit each morning is eating breakfast, but not too much, because then I'd be guilty of what?","['starving', 'heartburn', 'gas', 'overeating', 'being satisfied']"
"A good musician has a keen ear, they pick up much more than the normal person when they what?","['play violin', 'hear sounds', 'ocean', 'blow trumpet', 'stage']"
"A hard piece of rubber deflected off a stick and flew up and struck a fan, this could only happen at a what?","['sporting event', 'hockey game', 'living room', 'soccer game', 'football stadium']"
"A homeless person asked Jim for advice.  Jim wasn't religious, but he told the person something that he remembered.  What might he have told the person?","['hospital', 'street corner', 'synagogue', 'fairy tale', 'advice']"
"A horse rider wants to find foxes, what should he participate in?","['english hunt', 'burrow', 'hen house', 'polo game', 'rural area']"
"A human could have the sweats from working out, but if they wake up with them they probably what?","['have fever', 'need to leave', 'have to sleep', 'think and reason', 'torture']"
"A human is fragile, so you should take care since you only get what?","['one body', 'muscles', 'mouth', 'two arms', 'stupidity']"
"A human is hitch hiking near Hoboken, where is he?","['new jersey', 'homes', 'department store', 'near italy', 'new orleans']"
"A human seeks clothing and electronics in the same place, where does he go?","['department store', 'space shuttle', 'new jersey', 'office', 'new orleans']"
"A judge was on his bench serving justice, what was his most important principle?","['honest', 'lawyre', 'fair', 'arranging files', 'tell truth']"
"A kid is studying new words at home in the kitchen, where could a dictionary be?","['library', 'table', 'bookstore', 'shelf', 'classroom']"
"A koala couldn't find it's usual haunts, so it made its home at the top of something else.  Where was the Koala?","['jungle', 'san diego zoo', 'great outdoors', 'pet shop', 'gum tree']"
"A koala was far from home, across the ocean from Australia, in a country that also spoke English. Where might it have been?","['gum tree', 'england', 'great outdoors', 'jungle', 'san diego zoo']"
"A large container was a dime a dozen, there were hundreds of rows of them in the giant what?","['factory', 'garden', 'supermarket', 'garage', 'warehouse']"
"A lawyer is taking care of proposals, what are they trying to do?","['paperwork', 'getting work done', 'results', 'finishing up', 'marriage']"
"A living person lays on their death bed, what awaits them soon?","['expiration', 'massage', 'interaction', 'perspiration', 'respiration']"
"A lonely man committed suicide, why would he do that?","['suffering', 'he was happy', 'avoid problems', 'unhappy', 'end pain']"
"A lot of people go to museums to experience this, what is it?","['being bored', 'wonder', 'sore feet', 'live shows', 'retrospection']"
"A mail service will often drop packages off, but also do what with them?","['open them', 'lift up', 'picking up', 'catch', 'pick up']"
"A man needs to finish some paperwork, where does he go?","['desk', 'work', 'downtown', 'meeting', 'office']"
"A man wanted to catch his favorite show, what is he most likely to do?","['clap', 'feel happy', 'relax', 'record', 'watch television']"
"A man wanted to find the United States on a visual, where should he look?","['history book', 'atlas', 'tv channels', 'northern hemisphere', 'map']"
"A man was called a weasel for ""ambulance chasing,"" where did he likely work?","['hollow log', 'backyards', 'golf course', 'law office', 'forrest']"
"A man was driving himself to the airport, where did he put his luggage?","['closet', 'at hotel', 'sidewalk', 'bus stop', 'trunk']"
"A marmoset can be found many places, but they are usually found where?","['rainforest', 'in wild', 'national park', 'zoo', 'american west']"
"A marmoset is not here, where is it?","['wilderness', 'another place', 'the zoo', 'foreign country', 'venezuela']"
"A monkey is out in the wild, where are they likely to be?","['tropical areas', 'school', 'research laboratory', 'pet store', 'story book']"
"A monkey ran through La Defense with classified documents, who was chasing it?","['monkey', 'rain forest', 'captivity', 'madagascar', 'french government']"
"A natural starting fire from lighting raged on for the second week, the governor declared it the biggest what he had seen?","['news report', 'unpredictable', 'disaster', 'explosion', 'burns']"
"A person and his friends had a wonderful weekend trip, what did they create together that will last a lifetime?","['know truth', 'own house', 'friendship braclets', 'wonderful memories', 'intelligent children']"
"A person broke up with me, what do I have now?","['annoyance', 'hospitalized', 'schizophrenia', 'broken heart', 'stress']"
"A person doesn't have pants that fit, what should he do?","['buy a monkey', 'let himself go', 'buy clothes', 'bank money', 'catch cold']"
"A person fear failure, what does he thing will happen?","['visit relatives', 'scared', 'doctor himself', 'thank god', 'amount to nothing']"
"A person had run all day and felt tired, what did they need?","['water', 'time to rest', 'intellectual stimulation', 'look beautiful', 'compliments']"
"A person is alone in the woods and wounded, what should he do?","['amount to nothing', 'visit relatives', 'charming', 'doctor himself', 'cross street']"
"A person is being judged, what is he entitled to?","['source of income', 'fair trial', 'headache', 'white teeth', 'freedom']"
"A person is choking, what happens to their face?","['cross street', 'suffer pain', 'own object', 'turn blue', 'sweat']"
"A person is cold, how can the fire help them.","['provide comfort', 'hurt people', 'warm room', 'warm hands', 'emit heat']"
"A person is done eating lunch, why have they likely stopped?","['there is no more food', 'sleepiness', 'satisfy hunger', 'feel full', 'feel sleepy']"
"A person is putting a sofabed in a house for a guest, where are they likely to place it?","['livingroom', 'on their bed', 'living room', 'sitting room', 'spare room']"
"A person is putting on makeup, what is their likely goal?","['feel pleasure', 'look attractive', 'compliments', 'interesting experiences', 'joy']"
"A person is traveling to find fine carpeting, where might they go?","['roon', 'home or office', 'rood', 'cub', 'istanbul']"
"A person made coffee using hot water and coffee grounds, now where should he pour it?","['whirlpool bath', 'glass', 'surface of earth', 'soft drink', 'coffee cup']"
"A person met me in the lobby of the office.  We didn't have much in common, but we did something before going up to the meeting.  What did we do?","['cross street', 'say love', 'shake hands', 'converse', 'sit up']"
"A person might have their right-hand man, they could also be referred to as what digit?","['wellness', 'number 1', 'own home', 'headache', '100']"
"A person misses his aunt, what is he likely to do about it?","['cross street', 'amount to nothing', 'seek no help', 'doctor himself', 'visit relatives']"
"A person needs to breathe to survive, but they also need what two things to thrive?","['freedom of expression', 'freedom of information', 'hugs', 'own house', 'food and water']"
"A person needs to make a withdrawal, what is he looking for?","['buy clothes', 'bank money', 'cross street', 'rob a bank', 'let himself go']"
"A person notices popcorn, cotton candy on the grass, where is he likely?","['soccer game', 'fairgrounds', 'movie theatre', 'countryside', 'state park']"
"A person regrets their actions, what are they likely to have?","['deception', 'bad feelings', 'live in poverty', 'indigestion', 'schizophrenia']"
"A person takes a seat to watch a movie, where is he?","['in cinema', 'at the park', 'martorell', 'jeep', 'airplane']"
"A person takes competing seriously, that person works up a what playing even the simplest of games?","['enemies', 'aggression', 'sweat', 'defeat', 'tiredness']"
"A person wanted a seafood dinner, so what did he decide to do?","['fish lake', 'gain respect', 'plant flowers', 'wish really hard', 'cross street']"
"A person wanted to see Prague, so what did he do?","['go to sleep', 'spring into action', 'feel upset', 'cross street', 'travel to europe']"
"A person wants to be like Michael Phelps, what should they do first?","['feel relieved', 'cross street', 'act responsibly', 'avoid swimming', 'learn to swim']"
"A person wants to be successful, the end goal is to what?","['delicious food', 'self esteem', 'acquire wealth', 'compliments', 'eat dinner']"
"A person wants to lose mass,what steps do the take?","['increase stamina', 'get fitter', 'eat healthy food', 'too fat', 'good health']"
"A person was finishing a test and looking frantically at the clock, what did they have to do?","['sun himself', 'express love', 'cross street', 'relax', 'race against time']"
"A person who found something odd, may have found it odd because it wasn't what?","['even', 'common', 'expected', 'happening', 'habitual']"
"A person who is hungry and eating breakfast, what is their goal?","['being satisfied', 'heartburn', 'weight gain', 'overeating', 'gain energy']"
"A person woke up in bed.  Their spouse was sleeping beside them.  They rolled over, did something, and stood.  What did they do before standing?","['put on shoes', 'sit up', 'thank god', 'say love', 'converse']"
"A person writes a check to a clerk, where does the clerk put them?","['cash register', 'desk drawer', 'pay envelope', 'throw away', 'box']"
"A person, cannot afford their home, they are likely to be experiencing what?","['schizophrenia', 'deception', 'live in poverty', 'bad feelings', 'wealth']"
"A politician makes countless empty promises during a campaign, but the only real goal is to what?","['power', 'influence', 'win elections', 're elected', 'bribe']"
"A poor family has no decorations in December, what would make a great gift?","['food', 'specialty store', 'christmas tree', 'department store', 'christmas stocking']"
"A quarter of it was twenty five pounds, so the whole was what?","['school year', 'hundredweight', 'upper', 'century', 'hour']"
"A regular everyday human would just call it a meeting, but people like cardinals might call it a what?","['conclave', 'sanctuary', 'homes', 'mortuary', 'stadium']"
"A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other?","['indifference', 'air conditioning', 'coolness', 'coldness', 'cooling']"
"A rock hit the windshield while he was on the highway, it caused him to nearly crash his what?","['motorboat', 'airplane', 'automobile', 'barrier', 'motor vehicle']"
"A sailor has to do a lot of prep work before the ship can leave, but what is the first step he must take?","['leave dock', 'coming home', 'row boat', 'sail boat', 'board ship']"
"A sedentary lifestyle of always sitting down is nearly as unhealthy as a bad diet, but still people sit on the couch all day and what?","['talk', 'relaxing', 'pee', 'gardening', 'watch tv']"
"A shark is stuck in a lake, where does it need to go provided it isn't a bull shark?","['medium', 'saltwater', 'sea world', 'atlantic ocean', 'seawater']"
"A shark isn't something you have to worry about at the lake in the woods, but there are plenty of dangers in the what?","['great oceans', 'great outdoors', 'tropical waters', 'pacific ocean', 'gulf of mexico']"
"A shark swam in the background aquarium as the card players sat emotionless, what were they playing?","['sea world', 'court room', 'shallow waters', 'poker game', 'card shark']"
"A single person is going to a party of other singles, what do they want to do?","['visit friends', 'race cars', 'meeting people', 'having fun', 'drinking alcohol']"
"A skateboard can have a steep learning curve, but once the basics are mastered you can what?","['relax', 'teenager', 'freedom', 'have fun', 'give up']"
"A skill he has was being able to string bass, what else could he likely do?","['bass guitar', 'music shop', 'marching band', 'write music', 'orchestra']"
"A sloth climbs slow, but it can eventually reach all the way up where?","['forest canopy', 'universe', 'tropical rainforest', 'large trees', 'nature preserve']"
"A small dog envied his friends, who were attached to sleds and pulled people though the thick snowy wilderness.  Where might he live?","[""person's house"", 'basket', 'canada', 'illinois', 'mexico']"
"A small dog is lost in Copenhagen, what is the dogs likely nationality?","['denmark', 'new hampshire', 'backyard', 'danish', 'coffin']"
"A small dog is lost in New England, where would it likely be found?","['own home', 'old england', 'new hampshire', 'coffin', 'denmark']"
"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?","['nature', 'pet shop', 'georgia', 'tropical forest', 'france']"
"A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what?","['village', 'town', 'buy fishing pole', 'jerseys', 'city']"
"A squirrel ran up to it's home, where is the small dog likely to be barking up?","['manhattan apartment', 'wood', ""neighbor's yard"", 'tree', 'basket']"
"A steak house was looking for a quaint place to operate, where did they open?","['new york', 'town', 'library', 'mexico', 'united states']"
"A student puked in the cafeteria, the janitor retrieved his bucket of sawdust from the what?","['utility closet', 'well', 'garden shed', 'pantry', 'cupboard']"
"A student takes an unpaid membership, why on Earth would he do that?","['gain experience', 'taking notes', 'listen carefully', 'study book', 'capitalist exploitation']"
"A student want to recall information from class later, what is he doing?","['gain experience', 'study book', 'paying attention', 'listen carefully', 'taking notes']"
"A student wants to hear what the professor is saying, what does he do?","['gain experience', 'taking notes', 'listen carefully', 'complete test', 'focus']"
"A teacher thought that John wasn't doing  his best. She knew he had potential, so she tried to do what to him?","['tell story', 'lower expectations', 'time test', 'bribe', 'encourage']"
"A traveler from Atlanta wants to meet friends in Hong Kong, so he drives where?","['car', 'bus stop', 'subway', 'skateboard', 'airport']"
"A weasel is cursed by a witch, where is the weasel stuck?","['corn fields', 'great outdoors', 'fairytale', 'imagination', 'chicken coop']"
"A wife asks a husband to stop being married to her, what is he likely to feel even with friends?","['happiness', 'pleasure', 'happy', 'grief', 'isolation']"
"A wild animal got in and destroyed the carpeting, who is likely at fault?","['cub', 'istanbul', 'home or office', 'man', 'bedroom']"
"A woman was running around town doing her errands, what was she gathering?","['help people', 'get dress', 'helpful', 'gain', 'supplies']"
"A woodworker is missing a screw, where should he look for it?","['tool box', 'wall outlet fixture', 'on the ground', 'motorcycle', 'computer']"
"After I urinate and flush the toilet and wash my hands, what should I do next?","['flush toilet', 'dry hands', 'zip pants', 'eat', 'wash hands']"
"After a long night out the drunken man lost consciousness, he showed a sign of sickness right before passing out, what was it?","['dream', 'vomiting', 'panic', 'cancer', 'blurred vision']"
"After a person celebrates an occasion for hours on end, what might the person experience?","['hangovers', 'being happy', 'drinking', 'becoming tired', 'nirvana']"
"After a while playing, what was happening to the children?","['fights', 'competitiveness', 'having fun', 'getting tired', 'learning']"
"After a winning baseball game, what experience would a team member feel?","['sensation', 'celebrating', 'happiness', 'recognition', 'pride']"
"After answering questions from the press for hours, what did the police chief feel?","['irritation', 'sadness', 'polite', 'teaching', 'detective']"
"After becoming inebriated, she laid down on a bench, what happened afterwards?","['death and destruction', 'fall down', 'drunkenness', 'sleeping', 'pass out']"
"After beginning work, what did the man do because he was tired?","['sitting down', 'procrastination', 'getting tired', 'stress', 'relax']"
"After being in a hospital for weeks and breathing fresh air finally, what happened to the released patient?","['cheer', 'relaxation', 'feel better', 'silence', 'coughing']"
"After being in shock, he settle and felt what?","['quiet noisey', 'calm', 'lost', 'surprised', 'expected']"
"After being in space the astronaut was happy to be breathing fresh air, it left him what?","['breathe deeply', 'feeling good', 'feel refreshed', 'living', 'continue']"
"After being shipwrecked, Robinson relied on the huge tree to do what?","['falling down', 'provide shelter', 'bud', 'produce fruit', 'back yard']"
"After being stopping being married to someone who takes everything, what are you likely to experience?","['fights', 'pleasure', 'happiness', 'bankruptcy', 'detachment']"
"After building his fire, the camper tried washing his hands, what was the immediate result?","['dry skin', 'health', 'dry hands', 'skin irritation', 'become wet']"
"After buying products, reading the manual enables what?","['understand details', 'being able to use', 'loss of money', 'economic boom', 'spending money']"
"After chewing food and swallowing it during meals, what needs to happen for you to be able to successfully use the bathroom later?","['good digestion', 'aid digestion', 'eating', 'sore mouth', 'toothache']"
"After coming home from his trip to the west coat, John hung the fox on his wall.  He could do this because the fox was what?","['hen house', 'painting', 'california', 'virginia', 'blowing the house down']"
"After eating a dinner of uncooked chicken, what was felt by the poor man?","['indigestion', 'died', 'illness', 'feel better', 'throwing up']"
"After eating dinner, having plenty to eat, and exercising, what is likely to happen?","['become tired', 'indigestion', 'flatulence', 'become intoxicated', 'become full']"
"After eating very quickly and jumping up and down, what is likely to occur?","['getting warm', 'hiccups', 'vomiting', 'lot of noise', 'exhaustion']"
"After exercising for 3 hours straight, what did the girl experience?","['exhaustion', 'muscle growth', 'tiredness', 'sore muscles', 'pain']"
"After exiting a ring road and headed to a group of homes, where are you going?","['freeway system', 'home', 'town', 'cars', 'european city']"
"After four long years he would no longer be a student, what had he been able to do?","['solve equation', 'begin teaching', 'study book', 'graduate', 'finish college']"
"After getting a divorce, what is your marital status?","['being single', 'stressful', 'emotional distress', 'anguish', 'bad feelings']"
"After getting dressed very formally and getting the stereotypical viewing glasses, they went to the ticket office where?","['movie theaters', 'eye doctor', 'opera house', 'auditorium', 'end of line']"
"After getting drunk and crashing his car, what resulted for him?","['police award', 'erections', 'violence', 'injury', 'illness']"
"After getting drunk people couldn't understand him, it was because of his what?","['lower standards', 'slurred speech', 'death', 'hangover', 'falling down']"
"After getting high his memory seemed shot, he felt practically what?","['dead', 'forgotten', 'brainless', 'forgetting', 'forgetfulness']"
"After hearing it for so long he finally gave in, he began talking to the what?","['sound', 'listening', 'voice', 'another person', 'language']"
"After his mother saw his report card he knew he was going to be doing housework, what could have prevented this?","['sneezing', 'fatigue', 'house clean', 'feeling satisfied', 'getting good grades']"
"After hours of eating, what did he satisfyingly have?","['stomach aches', 'full belly', 'getting full', 'full stomach', 'satisfaction']"
"After jumping up and down on the floor, the child's mother yelled after she was told she was distracting her downstairs neighbors because of making what?","['exercise', 'tantrums', 'lot of noise', 'hiccups', 'getting warm']"
"After killing the animal, what was the animal doing?","['dies', 'dying', 'not living', 'grief', 'suicide']"
"After loading up his plate with all the food, what did he look for to wash it all down?","['falling down', 'cup', 'fork', 'food', 'bowl']"
"After running for 100 miles, he couldn't any more, what is he suffering?","['moving fast', 'accidents', 'injuries', 'shortness of breath', 'losing']"
"After running twenty six miles he felt like he had lost twenty six pounds, this was from all the what?","['exercise', 'sweat', 'pass out', 'collapse', 'drink water']"
"After running twenty six miles, what physical feeling is nearly every person likely to feel?","['excruciating pain', 'bloody legs', 'exhaustion', 'death', 'passing out']"
"After spending a hot summer day running after ball while playing baseball, what might happen to a person's body?","['physical exertion', 'tiredness', 'sweating', 'injury', 'breathing heavily']"
"After stopping being married to a person you no longer love, what emotion may you experience?","['depression', 'grief', 'relief', 'anger', 'wrong']"
"After studying many self-help books, what did he feel in his heart?","['inspiration', 'dreams', 'more intelligence', 'understanding', 'knowing more']"
"After studying science for years, what did the agnostic person begin to lose?","['astronomy', 'arts', 'faith', 'math', 'chemistry']"
"After suffering a bad injury, where will a person get taken?","['hockey game', 'home', 'hospital', 'emergency room', ""doctor's office""]"
"After taking measurements with an armband, the doctor recommended medicine for what purpose?","['guard against disease', 'lower cholesterol', 'cargo', 'lower blood pressure', 'diabetes']"
"After taking my final exams I got my grades back and had  a 4.0 gpa, how did I feel?","['graduation', 'headaches', 'fail again', 'success', 'failure']"
"After the bald eagle was caught, where did it spend the rest of its life?","['cliff', 'captivity', 'colorado', 'texas', 'utah']"
"After the concert he was glad to be away from the crowd, he valued times of what?","['small group', 'solitude', 'alone', 'leisurely', 'solitary']"
"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?","['wrong', 'death of', 'bad', 'negative', 'evil']"
"After the guy is successful in cashing in his check, what does he feel?","['sad', 'quitting', 'extra money', 'great joy', 'leave']"
"After the loss, we really need one of these?","['contemplate', 'win', 'gain', 'money', 'profit']"
"After the lunch break, what did the men resume doing?","['working', 'fix it', 'accelerate', 'putting together', 'breakdance']"
"After the magic show they returned to their hotel, there was lots to see where?","['touristic area', 'different country', 'las vegas', 'resort', 'city']"
"After the sex she had spent the night at his house, he got up early to make and what?","['love another', 'coffee', 'smoke', 'eat breakfast', 'wait for']"
"After the windstorm it needed replacing, he decided to get a heavier tile what?","['roof', 'home', 'fabric', 'floor', 'computer game']"
"After waiting in long lines at the airport he finally got to the ticket checker, he got out his billfold to show his ticket and what?","['wallet', 'mans pocket', 'identification', 'money', 'hip pocket']"
"After work and errands the mother just wanted some peace and quiet, she couldn't wait to just get where?","['sea', 'library', 'driveway', 'top of mountain', 'home']"
"After working overtime and double shifts he was cashing in, that weekend he would celebrate and relax with some unhealthy what?","['get rich', 'binge drinking', 'getting money', 'increase in money', 'drinking coffee']"
"Alcohol wasn't allowed at the meeting, so where did the alcoholic put his flask?","['science lab', 'laboratory', 'coat pocket', 'the meeting room', 'chemistry lab']"
"All his friends said they liked girls who were thick, but he preferred them healthy but what?","['slim', 'brainy', 'ocean', 'slender', 'runny']"
"All people need to move, otherwise what will atrophy?","['feelings', 'shrink', 'free will', 'muscles', 'parents']"
"All that was left to purchase was a bass drum, what would he have as a result?","['rock band', 'marching band', 'drum set', 'orchestra', 'violin']"
"All the adults were sitting quietly in the other room watching TV, they were hoping the baby would what?","['meditate', 'fall asleep', 'join them', 'reading', 'think']"
"All the artist had to do was paint the lips, what would his end result be on the canvas?","['human face', 'motion', 'faces', 'body', 'clown']"
"All the business owners had a monthly committee meeting, it was to introduce new tenants and discuss issues of the what?","['town', 'office building', 'boardroom', 'government', 'city hall']"
"All the children were having fun, the game of tag was a great choice of what?","['effort', 'exercise', 'relaxing', 'playing around', 'activity']"
"All the day traders did well on the floor that day, they celebrated at a steak house where?","['united states', 'town', 'new york', 'mexico', 'beach']"
"All the kooky kids enjoyed each other's company, to them their behavior was perfectly what?","['ordinary', 'straight', 'normal', 'cool', 'mainstream']"
"All the movies always portray gasoline as the commodity, but he was convinced a garden would be the most valuable in a what?","['driveway', 'parking lot', 'desert', 'hop garden', 'wasteland']"
"All the other locations had new high prices, so the old single screen what suddenly saw an uptick in customers?","['art show', 'airport', 'cinema', 'hotel', 'theatre']"
"All the parents gathered in the cafeteria to watch the performance, Mark's were there to watch him play trombone in the what?","['orchestra', 'brass quartet', 'marching band', 'school band', 'school play']"
"All the siblings just kept reproducing with their husbands and wives, this led to a what?","['larger family', 'problems', 'offspring', 'fun', 'birth']"
"All the students had to gather for the announcement, as it wrapped up the students began to what?","['spread', 'park', 'disseminate', 'disperse', 'dispense']"
"All the wild flowers were in bloom, it looked like somebody had painted the entire what?","['table', 'vase', 'surface of earth', 'countryside', 'nursery']"
"Although he didn't reply to the email, what did he do with it since he found it funny?","['ignore', 'delete', 'forward', 'question', 'ask']"
"Although the living room was set up for the party, where did people tend to congregate while the mother worked?","['wireroom', 'kitchen', 'ocean', 'hallway', 'outside']"
"Always wash your hands before eating, you don't want to get germs onto food and inside your what?","['water', 'doctor', 'spread disease', 'mouth', 'ear']"
"Amelia tried to aim for the small isle, but the water of the what was coming on fast?","['ocean', 'sea', 'pool', 'auditorium', 'body of water']"
"American humans just graduated high school, where are many of them bound?","['university', 'park', 'unemployment', 'cafe', 'movies']"
"An astronout in space needed to know what side of the planet the English Channel was on, where did he aim his spacecraft?","['northern hemisphere', 'atlantic ocean', 'go boating', 'england', 'canada']"
"An atheist was asked what happens after dying, what was his response?","['unable to work', 'born again', 'no longer exist', 'would cease to exist', 'body decays']"
"An electronics store had things damaged from the rain, where should these things be stored?","['large city', 'strip mall', 'building', 'shopping mall', 'aquarium']"
"An expressway can suffer from traffic, this traffic gets worse the closer you get to any what?","['michigan', 'map', 'american city', 'rest stops', 'country']"
"Animals can be very primal, sometimes to prove themselves they what?","['fight each other', 'need to eat', 'are territorial', 'feel pain', 'live lives']"
"Animals suffer from some of the same things man does, it isn't uncommon for a pet to what?","['bathe', 'copulate', 'lick on face', 'die of cancer', 'bite']"
"Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?","['irritation', 'correct', 'responding', 'polite', 'sadness']"
"Any place sounded good besides McDonalds, he was hungry enough to go where?","['city', 'location', 'map', 'place', 'almost anywhere']"
"Applying for job after job is part of the grind, but when no calls come back it can lead to what?","['hope', 'stress', 'happiness', 'frustration', 'working hard']"
"Arkansas university plays in the southeastern confernce, the sooners of where play in the big twelve?","['united states', 'seattle', 'arkansas', 'oklahoma', 'colorado']"
"Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?","['fight', 'communication', 'fun', 'understood', 'suffering']"
"As a human in a large northeastern city, where can you see animals?","['zoo', 'workplace', 'sky', 'new york city', 'many places']"
"As a person is dying, what might be a sign that it is happening?","['would cease to exist', 'no longer exist', 'change color', 'born again', 'change of color']"
"As he left he questioned her love, he said if her was true she would what him?","['paint', 'entertain', 'draw', 'wait for', 'please parents']"
"As he was looking sharp, how did his wife speak to him when she saw him in his new clothes?","['inaccurate', 'inelegant', 'loudly', 'complimentary', 'dull']"
"As in part of string theory, what particle makes up hadrons?","['quark', 'guitar', ""bird's nest"", 'kite', 'beads']"
"As one side made advances on the other it seemed it would soon be over, the losers were doomed because not everyone gets to celebrate what?","['understood', 'pleasure', 'happy', 'happiness', 'victory in war']"
"As the child keep growing it's curiosity grew, it wasn't long before it figured out the purpose of the remote control is for to do what?","['play music', 'design software', 'examine thing', 'see exhibits', 'use television']"
"As the company was concerned about profit, what were they looking to cut?","['losses', 'expense', 'losing money', 'lose money', 'eat cake']"
"As the day ended he eyed the door from his desk, work was soon over and he could leave the what?","['conference room', 'theater', 'apartment', 'office', ""neighbor's house""]"
"As the fire raged she frantically looked for a door, what did she want to do?","['theater', 'window', 'opening', 'exit', 'apartment']"
"As the girl didn't care for the bunny, what did it suffer from?","['apathetic', 'neglect', 'indifferent', 'see work', 'disregard']"
