,input,label,llm_label,rationale
33,"At the picnic she was stuck eating hamburger, she was worried because she forgot her chewables to prevent what?
Answer Choices:
(a) eat cake
(b) have fun
(c) food poisoning
(d) heartburn
(e) gain weight",heartburn,food poisoning,"The answer must be something that can be prevented by chewables. Of the above choices, only food poisoning can be prevented by chewables."
34,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?
Answer Choices:
(a) music store
(b) obesity
(c) symphony orchestra
(d) ochestra
(e) violin case",violin case,violin case,"The answer must be something that a first violinist needs to bring to work. Of the above choices, only a violin case is something that a first violinist needs to bring to work."
35,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?
Answer Choices:
(a) swimming pool
(b) rich person's house
(c) country club
(d) fitness center
(e) park",fitness center,country club or,"The answer must be a place with a squash court. Of the above choices, only country clubs and fitness centers have squash courts."
36,"Bill puts meat on the scale, where does Bill work?
Answer Choices:
(a) music store
(b) assay office
(c) tidal wave
(d) butcher shop
(e) bathroom",butcher shop,butcher shop,"The answer must be a place where meat is sold. Of the above choices, only butcher shops sell meat."
37,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?
Answer Choices:
(a) bus station
(b) paradise
(c) train station
(d) park
(e) sea",park,bus station or,"The answer must be a place where strangers with kids might be. Of the above choices, only bus and train stations are places where strangers with kids might be."
38,"Billy hated using other people's toilets. He was only comfortable on his own.  So whenever he needed to poop, he would go back to his what?
Answer Choices:
(a) bathroom
(b) motel room
(c) nearest public restroom
(d) house
(e) apartment",house,house,"The answer must be the place where Billy would go to poop. Of the above choices, only house makes sense."
39,"Billy lived in the capital of his country, then he moved.  Where might he move to?
Answer Choices:
(a) small town
(b) jail
(c) lower case
(d) contain governmental activities
(e) lowercase",small town,small town,"The answer must be a place where Billy might move to. Of the above choices, only small town makes sense."
40,"Billy was an astronaut.  When he looked at the world from space, how did it look?
Answer Choices:
(a) diverse
(b) round
(c) square
(d) orange
(e) complicated",round,round,"The answer must be a description of the world from space. Of the above choices, only round describes the world from space."
41,"Billy was reading the newspaper as he commuted to work, but once he got to his destination he balled it up and put it somewhere. Where did it put it?
Answer Choices:
(a) trash
(b) floor
(c) subway
(d) ground
(e) lawn",trash,trash,"The answer must be a place where trash is put. Of the above choices, only trash makes sense for a place where trash is put."
42,"Bob stands in the grass surrounded by trees and nature, where is Bob?
Answer Choices:
(a) rest area
(b) desert
(c) state park
(d) fairgrounds
(e) soccer game",state park,state park,"The answer must be a place surrounded by trees and nature. Of the above choices, only state park is surrounded by trees and nature."
43,"Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?
Answer Choices:
(a) closed room
(b) sky
(c) dard
(d) his grave
(e) house",closed room,closed room,"The answer must be a place with four walls and a small light source. Of the above choices, only a closed room has four walls and a small light source."
44,"Brad tried to arise from bed but he could not.  Instead, he just continued to do what?
Answer Choices:
(a) go down
(b) fall down
(c) lie down
(d) lie to himself
(e) sit down",lie down,lie down,"The answer must be something that Brad did instead of arising from bed. Of the above choices, only lie down is something that Brad did instead of arising from bed."
45,"By learning about the world, many poor college students gain what?
Answer Choices:
(a) pleasure
(b) greater mobility
(c) desire to travel
(d) global warming
(e) increased security",desire to travel,greater mobility,"The answer must be something that poor college students gain by learning about the world. Of the above choices, only greater mobility is something that poor college students gain by learning about the world."
46,"Christine couldn't be having a baby at her age, she thought to herself. What was Christine?
Answer Choices:
(a) old person
(b) begin to talk
(c) adult
(d) old man
(e) girl",old person,girl,"The answer must be someone who is not old enough to have a baby. Of the above choices, only girl is not old enough to have a baby."
47,"Competing can lead to great highs, and also great lows when suffering what?
Answer Choices:
(a) winning or losing
(b) aggression
(c) gain
(d) defeat
(e) sweat",defeat,winning or losing,"The answer must be something that can happen when competing. Of the above choices, only winning or losing can happen when competing."
48,"Computers have allowed everybody to answer questions they have quickly, but still we seem to be getting duller despite access to this what?
Answer Choices:
(a) economic boom
(b) advance knowledge
(c) produce sound
(d) teach
(e) follow instructions",advance knowledge,advance knowledge,"The answer must be something that computers have allowed everybody to do. Of the above choices, only advance knowledge is something that computers have allowed everybody to do."
49,"Copulating with the wrong partner may be ill advised, many diseases can be transferred that can cause different types of what?
Answer Choices:
(a) intense pleasure
(b) ejaculation
(c) period of rest
(d) enjoyment
(e) skin irritation",skin irritation,skin irritation,"The answer must be something that can be transferred by diseases. Of the above choices, only skin irritation can be transferred by diseases."
50,"Dad wanted to hide the check in his office, where did he put it?
Answer Choices:
(a) cash register
(b) desk drawer
(c) fish tank
(d) bank
(e) pay envelope",desk drawer,desk drawer,"The answer must be a place in the office. Of the above choices, only desk drawer is in the office."
51,"Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?
Answer Choices:
(a) arizona
(b) farm yard
(c) michigan
(d) german field
(e) dairy farm",michigan,Michigan,"The answer must be a place that is cold. Of the above choices, only Michigan is cold."
52,"Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?
Answer Choices:
(a) eat
(b) think
(c) reading
(d) meditate
(e) fall asleep",fall asleep,fall asleep,"The answer must be something that Dan was doing quietly on the couch. Of the above choices, only fall asleep makes sense."
53,"Dance can be elegant and specific, or you can just have fun and what?
Answer Choices:
(a) falling down
(b) trip
(c) fall down
(d) move around
(e) celebrate",move around,move around,"The answer must be something that is the opposite of elegant and specific. Of the above choices, only move around is the opposite of elegant and specific."
54,"Danny found that the carpet did not ,match the drapes, which was disappointing, because this place was expensive.  But it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain.   Where might this place be?
Answer Choices:
(a) brothel
(b) restaurant
(c) building
(d) bowling alley
(e) at hotel",at hotel,at hotel,"The answer must be a place that is expensive and that people book for a week. Of the above choices, only hotels are expensive and people book for a week."
55,"Despite the large crowds, how did the depressed man feel?
Answer Choices:
(a) small group
(b) alone
(c) solitary
(d) solitude
(e) panic",solitary,alone,"The answer should be the feeling of a depressed man in a large crowd. Of the above choices, the closest feeling is alone."
56,"Despite the name a pawn can be quite versatile, all the parts are important in a what?
Answer Choices:
(a) chess game
(b) scheme
(c) chess set
(d) checkers
(e) north carolina",chess game,chess set,"The answer must be something that has parts. Of the above choices, only chess sets have parts."
57,"Dogs are very loyal if they have a good owner, they will always what them?
Answer Choices:
(a) fleas
(b) eat cake
(c) attack
(d) defend
(e) run fast",defend,defend,"The answer must be something that dogs do for their owners. Of the above choices, only defend is something that dogs do for their owners."
58,"Donald is a prominent figure for the federal government, so in what city does he likely spend a lot of time?
Answer Choices:
(a) everything
(b) capitol building
(c) tourist sites
(d) canada
(e) washington d.c",washington d.c,Washington D.C,"The answer must be the city where the federal government is located. Of the above choices, only Washington D.C. is the city where the federal government is located."
59,"During the winter hunt he could hear every motion in the woods, this was because of the what of everything?
Answer Choices:
(a) being still
(b) silence
(c) stationary
(d) stillness
(e) standing still",stillness,silence,"The answer must be something that allows the hunter to hear every motion in the woods. Of the above choices, only silence allows the hunter to hear every motion in the woods."
60,"Eating is part of living, but your body doesn't use it all and the next day you will be doing what?
Answer Choices:
(a) reduced
(b) getting full
(c) becoming full
(d) chewing
(e) defecating",defecating,defecating,"The answer must be something that happens after eating. Of the above choices, only defecating happens after eating."
61,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?
Answer Choices:
(a) profane
(b) halibut
(c) damaged
(d) common
(e) halibut",common,damaged,"The answer must be something that would make people cry. Of the above choices, only damaged makes sense."
62,"Everybody was changing into costumes in the dressing room, it was almost time to take the what stage?
Answer Choices:
(a) theater
(b) train
(c) bathhouse
(d) dwelling
(e) actors and actresses",theater,theater,"The answer must be the place where actors and actresses perform. Of the above choices, only theater is the place where actors and actresses perform."
63,"Exercise is very good for you, for faster recovery you should always do what afterwards?
Answer Choices:
(a) stretch
(b) lower cholesterol
(c) weigh
(d) track
(e) expend energy",stretch,stretch,"The answer must be something that helps with recovery. Of the above choices, only stretching helps with recovery."
64,"Ficus can be planted in a yard to make summer more bearable, what sort of areas do they create?
Answer Choices:
(a) shady places
(b) screened porch
(c) pots
(d) ceramics
(e) clay pot",shady places,shady places,"The answer must be something that makes summer more bearable. Of the above choices, only shady places make summer more bearable."
65,"Flowers make a good center focal point, just one of many arrangements that look good on a what?
Answer Choices:
(a) market
(b) table
(c) countryside
(d) anthology
(e) vase",table,vase,"The answer must be something that flowers can be arranged on. Of the above choices, only vases are used to hold flowers."
66,"For many males hair is a concern as they get older, it begins to what, causing a receding hairline?
Answer Choices:
(a) thin out
(b) grow in ear
(c) fall out
(d) bulge
(e) composted",fall out,fall out,"The answer must be something that causes a receding hairline. Of the above choices, only hair falling out causes a receding hairline."
67,"For some reason she was devoid of regular emotions, buying products was the only way she could feel what?
Answer Choices:
(a) pleasure
(b) owning
(c) debt
(d) spending money
(e) smart",pleasure,pleasure,"The answer must be the feeling of someone who buys products to feel something. Of the above choices, the closest feeling is pleasure."
68,"George checked the rotor of the Apache, which wasn't powered by internal combustion, but by what?
Answer Choices:
(a) jet engine
(b) helicopter
(c) electric motor
(d) rotator
(e) electrical circuit",jet engine,electric motor,"The answer must be something that powers the Apache. Of the above choices, only electric motor powers the Apache."
69,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?
Answer Choices:
(a) michigan
(b) walk
(c) stay still
(d) stink
(e) hands",walk,walk,"The answer must be something that George could do with his two feet. Of the above choices, only walk makes sense."
70,"He came from old money and had a fortune, but he made new money making shrewd trades where?
Answer Choices:
(a) eat cake
(b) cookie
(c) stock market
(d) real estate
(e) treasure chest",stock market,stock market,"The answer must be a place where people make money. Of the above choices, only stock market is a place where people make money."
71,"He had no issue committing perjury, he had a what that he would get away with it?
Answer Choices:
(a) confidence
(b) go to jail
(c) telling lies
(d) lying
(e) manual",confidence,confidence,"The answer must be something that would make him think he would get away with it. Of the above choices, only confidence would make him think he would get away with it."
72,"He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?
Answer Choices:
(a) music store
(b) band
(c) medium
(d) orchestra
(e) piano store",orchestra,band or,"The answer must be a group of people who play instruments. Of the above choices, only band and orchestra are groups of people who play instruments."
73,"He has lactose intolerant, but was eating dinner made of cheese, what followed for him?
Answer Choices:
(a) digestive
(b) feel better
(c) sleepiness
(d) indigestion
(e) illness",indigestion,indigestion,"The answer must be something that happens to someone who is lactose intolerant and eats cheese. Of the above choices, only indigestion is something that happens to someone who is lactose intolerant and eats cheese."
74,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?
Answer Choices:
(a) building
(b) conference
(c) assessment
(d) demonstration
(e) garage",conference,conference,"The answer must be a place where people are called into. Of the above choices, only conference makes sense for people to be called into."
75,"He looked at the field of pumps, all slowing churning oil out of the what?
Answer Choices:
(a) manual
(b) street
(c) restaurant
(d) ground
(e) service station",ground,ground,"The answer must be something that can be pumped. Of the above choices, only ground can be pumped."
76,"He needed more information to fix it, so he consulted the what?
Answer Choices:
(a) chickens
(b) google
(c) newspaper
(d) online
(e) manual",manual,manual,"The answer must be something that can provide information. Of the above choices, only manuals provide information."
77,"He picked up his pace to a run, he wanted to do what?
Answer Choices:
(a) learn to walk
(b) frightened
(c) get away from
(d) exercise
(e) go faster",go faster,go faster,"The answer must be something that is done by running. Of the above choices, only going faster is done by running."
78,"He picked up the perfect pebble, he planned to skip it across the entire small what?
Answer Choices:
(a) manual
(b) lake
(c) aquarium
(d) pond
(e) playground",pond,lake or,"The answer must be a body of water. Of the above choices, only lake and pond are bodies of water."
79,"He used an umbrella while tanning, where was he likely?
Answer Choices:
(a) waves
(b) seattle
(c) suitcase
(d) beach
(e) jacket closet",beach,beach,"The answer must be a place where people use umbrellas. Of the above choices, only the beach is a place where people use umbrellas."
80,"He walked into the room and had a great shock, his friends had what him?
Answer Choices:
(a) expected
(b) wanting
(c) calm
(d) thundershock
(e) surprised",surprised,surprised,"The answer should be the feeling of someone who had a great shock. Of the above choices, the closest feeling is surprised."
81,"He wanted lodging in the actual what, so that he was already where he needed to be?
Answer Choices:
(a) a yurt
(b) resort area
(c) big city
(d) michigan
(e) going on vacation",resort area,resort area,"The answer must be a place where someone would want to stay. Of the above choices, only resort area makes sense."
82,"He wanted to live somewhere were every yard was uniform in size and landscaping, where should he look for a house?
Answer Choices:
(a) city
(b) three feet
(c) subdivision
(d) parking garage
(e) michigan",subdivision,subdivision,"The answer must be a place where every yard is uniform in size and landscaping. Of the above choices, only subdivisions have uniform yards."
83,"He was a sloppy eater, so where did he leave a mess?
Answer Choices:
(a) sailboat
(b) desk
(c) closet
(d) table
(e) apartment",table,table,"The answer must be a place where someone can eat. Of the above choices, only tables are used for eating."
84,"He was afraid he would die from his cold, so he wisely decided to what?
Answer Choices:
(a) ocean
(b) write will
(c) never want
(d) were shot
(e) seek help",seek help,seek help,"The answer must be something that a person who is afraid of dying would do. Of the above choices, only seeking help makes sense."
85,"He was at the gym trying to build muscle, what is it called that he is trying to build muscle on?
Answer Choices:
(a) body of animal
(b) arm
(c) bodybuilder
(d) body of dog
(e) human body",human body,human body,"The answer must be the part of the body that has muscles. Of the above choices, only human body has muscles."
86,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?
Answer Choices:
(a) frustration
(b) waiting
(c) hair
(d) time
(e) patience",time,time,"The answer must be something that people stand in. Of the above choices, only lines are something that people stand in."
87,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?
Answer Choices:
(a) get tired of
(b) small talk
(c) eye contact
(d) friendship
(e) social life",eye contact,eye contact,"The answer must be something that is made when talking to the interviewer. Of the above choices, only eye contact is made when talking to the interviewer."
88,"He was having a hard time expressing himself in a healthy way, the psychologist said he was mentally what?
Answer Choices:
(a) slow
(b) understood
(c) suffering
(d) embarrassment
(e) fun",suffering,suffering,"The answer should be a word that describes someone who is having a hard time expressing himself in a healthy way. Of the above choices, the closest word is suffering."
89,"He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?
Answer Choices:
(a) prosecution
(b) getting hurt
(c) sweat
(d) steam
(e) committing perjury",committing perjury,committing perjury,"The answer must be something that is a crime. Of the above choices, only committing perjury is a crime."
90,"He was trying to procreate with many individuals, this led to a what?
Answer Choices:
(a) moaning
(b) die
(c) kiss
(d) std
(e) sanity",std,std,"The answer must be something that happens when you procreate with many individuals. Of the above choices, only stds happen when you procreate with many individuals."
91,"He was very outgoing, for him making friends was no personal what?
Answer Choices:
(a) scary
(b) having friends
(c) good feeling
(d) conflict
(e) friendship",conflict,friendship,"The answer must be something that is not easy for most people. Of the above choices, only making friends is not easy for most people."
92,"He wasn't the hugging type, even when he meet friend he'd just do what?
Answer Choices:
(a) have sex
(b) smile
(c) hug each other
(d) conversation
(e) handshake",handshake,handshake,"The answer must be something that is not hugging. Of the above choices, only handshake is not hugging."
93,"Her son scraped his knee, she fetched a bottle of peroxide from the what?
Answer Choices:
(a) supermarket
(b) diaper bag
(c) liquor store
(d) hollow log
(e) medicine cabinet",medicine cabinet,medicine cabinet,"The answer must be the place where peroxide is kept. Of the above choices, only medicine cabinet is the place where peroxide is kept."
94,"Her voice lent her to the alto section, what group did she join?
Answer Choices:
(a) symphony
(b) concerto
(c) choir
(d) theater troupe
(e) marching band",choir,choir,"The answer must be a group that has an alto section. Of the above choices, only choirs have an alto section."
95,"His compressor needed a new hose, where did he go?
Answer Choices:
(a) garden shed
(b) hardware store
(c) brothel
(d) garage
(e) greenhouse",hardware store,hardware store,"The answer must be a place where you can buy a hose. Of the above choices, only hardware stores sell hoses."
96,"His house was a mess, he began doing housework to get what?
Answer Choices:
(a) boredom
(b) nice home
(c) michigan
(d) feeling satisfied
(e) house clean",house clean,house clean,"The answer must be something that is achieved by doing housework. Of the above choices, only a clean house is achieved by doing housework."
97,"His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?
Answer Choices:
(a) meet interesting people
(b) lift weights
(c) listen to music
(d) play chess
(e) entertain",listen to music,listen to music,"The answer must be something that a teen would do in bed. Of the above choices, only listening to music is something a teen would do in bed."
98,"His phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?
Answer Choices:
(a) eastern united states
(b) michigan
(c) map
(d) choppers
(e) american city",map,map,"The answer must be something that can be used to navigate. Of the above choices, only maps can be used to navigate."
99,"Hoping for a beautiful day, what did the clouds do that disappointed everyone?
Answer Choices:
(a) homely
(b) overcast
(c) hideous
(d) overrated
(e) misshapen",overcast,overcast,"The answer must be something that clouds can do that would disappoint everyone. Of the above choices, only overcast clouds would disappoint everyone."
100,"I am cold, what should I do to stay warm?
Answer Choices:
(a) stay in bed
(b) light fire
(c) freezer
(d) lay on ice
(e) spit",light fire,light fire,"The answer must be something that will keep you warm. Of the above choices, only light fire will keep you warm."
101,"I am looking for honey right from the source, where should I look?
Answer Choices:
(a) last all night
(b) beehive
(c) farmer's market
(d) jar
(e) honeyful",beehive,beehive,"The answer must be the place where honey is found. Of the above choices, only beehives have honey."
102,"I couldn't find anybody who recalled the event, what were they adroit at doing?
Answer Choices:
(a) question authority
(b) act fool
(c) wash dishes
(d) act innocent
(e) forget",forget,forget,"The answer must be something that people who don't recall an event are good at doing. Of the above choices, only forgetting is something that people who don't recall an event are good at doing."
103,"I listened to lecture intensely, what is my goal?
Answer Choices:
(a) gain confidence
(b) concentrate
(c) get attention
(d) pay attention
(e) stop talking",concentrate,pay attention,"The answer must be something that is done by listening intensely. Of the above choices, only paying attention is done by listening intensely."
104,"I picked from an apple tree outside of Fort Wayne, where am I?
Answer Choices:
(a) woods
(b) illinois
(c) indiana
(d) washington state
(e) tampa",indiana,Indiana,"The answer must be a place where apple trees grow. Of the above choices, only Indiana has apple trees."
105,"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?
Answer Choices:
(a) file cabinet
(b) nightstand
(c) kitchen cabinet
(d) office desk
(e) the floor",office desk,file cabinet,"The answer must be the place where the receptionist should have put the resume. Of the above choices, only file cabinet is the place where resumes are kept."
106,"I took my seat, the curtains drew back and I enjoyed the what?
Answer Choices:
(a) airplane
(b) movie
(c) auditorium
(d) theatre
(e) show",show,movie,"The answer must be something that has curtains and a seat. Of the above choices, only a movie has curtains and a seat."
107,"I want my wine stored in darkness, where should it go?
Answer Choices:
(a) movies
(b) bed
(c) moon
(d) vault
(e) cellar",cellar,cellar,"The answer must be a place that is dark. Of the above choices, only a cellar is dark."
108,"I want to buy a gong, where should I look for one?
Answer Choices:
(a) orchestra
(b) church
(c) chinese temple
(d) chinatown
(e) music store",music store,music store,"The answer must be a place where gongs are sold. Of the above choices, only music stores sell gongs."
109,"I want to see a prepared slide up close, what would I use to help?
Answer Choices:
(a) microscope
(b) abbreviate
(c) glasses
(d) camera
(e) telescope",microscope,microscope,"The answer must be something that helps you see a prepared slide up close. Of the above choices, only a microscope helps you see a prepared slide up close."
110,"I want to use string to keep something from moving, how should I do it?
Answer Choices:
(a) tie around
(b) wind around
(c) weave
(d) stringbed
(e) ball up",tie around,tie around,"The answer must be a way to use string to keep something from moving. Of the above choices, only tie around is a way to use string to keep something from moving."
111,"I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what?
Answer Choices:
(a) care less
(b) play golf
(c) shake hands
(d) believe in god
(e) trip over",play golf,play golf,"The answer must be something that people do with expensive equipment. Of the above choices, only play golf makes sense."
112,"I you believe in god, where will you go when you die?
Answer Choices:
(a) heaven
(b) church
(c) imagination
(d) synagogue
(e) monastery",heaven,heaven,"The answer must be the place where people who believe in god go when they die. Of the above choices, only heaven is the place where people who believe in god go when they die."
113,"I'm having some food at my party, what will I need to serve it?
Answer Choices:
(a) zoo
(b) pan
(c) bowl
(d) kitchen
(e) spoon",spoon,pan,"The answer must be something that can be used to serve food. Of the above choices, only a pan can be used to serve food."
