prompt,gpt_answer
"
Questions: A lot of people go to museums to experience this, what is it? 

Answers: (A) being bored, (B) wonder, (C) sore feet, (D) live shows, (E) retrospection Given the question 'A lot of people go to museums to experience this, what is it?', which among the choices being bored, wonder, sore feet, live shows retrospection, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A man needs to finish some paperwork, where does he go? 

Answers: (A) desk, (B) work, (C) downtown, (D) meeting, (E) office Given the question 'A man needs to finish some paperwork, where does he go?', which among the choices desk, work, downtown, meeting office, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A man wanted to catch his favorite show, what is he most likely to do? 

Answers: (A) clap, (B) feel happy, (C) relax, (D) record, (E) watch television Given the question 'A man wanted to catch his favorite show, what is he most likely to do?', which among the choices clap, feel happy, relax, record watch television, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A marmoset can be found many places, but they are usually found where? 

Answers: (A) rainforest, (B) in wild, (C) national park, (D) zoo, (E) american west Given the question 'A marmoset can be found many places, but they are usually found where?', which among the choices rainforest, in wild, national park, zoo american west, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A marmoset is not here, where is it? 

Answers: (A) wilderness, (B) another place, (C) the zoo, (D) foreign country, (E) venezuela Given the question 'A marmoset is not here, where is it?', which among the choices wilderness, another place, the zoo, foreign country venezuela, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A person is cold, how can the fire help them. 

Answers: (A) provide comfort, (B) hurt people, (C) warm room, (D) warm hands, (E) emit heat Given the question 'A person is cold, how can the fire help them.', which among the choices provide comfort, hurt people, warm room, warm hands emit heat, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A person met me in the lobby of the office.  We didn't have much in common, but we did something before going up to the meeting.  What did we do? 

Answers: (A) cross street, (B) say love, (C) shake hands, (D) converse, (E) sit up Given the question 'A person met me in the lobby of the office.  We didn't have much in common, but we did something before going up to the meeting.  What did we do?', which among the choices cross street, say love, shake hands, converse sit up, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A person takes competing seriously, that person works up a what playing even the simplest of games? 

Answers: (A) enemies, (B) aggression, (C) sweat, (D) defeat, (E) tiredness Given the question 'A person takes competing seriously, that person works up a what playing even the simplest of games?', which among the choices enemies, aggression, sweat, defeat tiredness, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other? 

Answers: (A) indifference, (B) air conditioning, (C) coolness, (D) coldness, (E) cooling Given the question 'A relationship that was once filled with the heat of passion but now has someone showing no emotion towards the other, the person has now demonstrated what towards the other?', which among the choices indifference, air conditioning, coolness, coldness cooling, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A sailor has to do a lot of prep work before the ship can leave, but what is the first step he must take? 

Answers: (A) leave dock, (B) coming home, (C) row boat, (D) sail boat, (E) board ship Given the question 'A sailor has to do a lot of prep work before the ship can leave, but what is the first step he must take?', which among the choices leave dock, coming home, row boat, sail boat board ship, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A small dog is lost in New England, where would it likely be found? 

Answers: (A) own home, (B) old england, (C) new hampshire, (D) coffin, (E) denmark Given the question 'A small dog is lost in New England, where would it likely be found?', which among the choices own home, old england, new hampshire, coffin denmark, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what? 

Answers: (A) village, (B) town, (C) buy fishing pole, (D) jerseys, (E) city Given the question 'A sporting goods store is usually found in shopping squares and malls, but the privately owned shop was just right there in the small what?', which among the choices village, town, buy fishing pole, jerseys city, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A weasel is cursed by a witch, where is the weasel stuck? 

Answers: (A) corn fields, (B) great outdoors, (C) fairytale, (D) imagination, (E) chicken coop Given the question 'A weasel is cursed by a witch, where is the weasel stuck?', which among the choices corn fields, great outdoors, fairytale, imagination chicken coop, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: A wild animal got in and destroyed the carpeting, who is likely at fault? 

Answers: (A) cub, (B) istanbul, (C) home or office, (D) man, (E) bedroom Given the question 'A wild animal got in and destroyed the carpeting, who is likely at fault?', which among the choices cub, istanbul, home or office, man bedroom, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After I urinate and flush the toilet and wash my hands, what should I do next? 

Answers: (A) flush toilet, (B) dry hands, (C) zip pants, (D) eat, (E) wash hands Given the question 'After I urinate and flush the toilet and wash my hands, what should I do next?', which among the choices flush toilet, dry hands, zip pants, eat wash hands, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After a person celebrates an occasion for hours on end, what might the person experience? 

Answers: (A) hangovers, (B) being happy, (C) drinking, (D) becoming tired, (E) nirvana Given the question 'After a person celebrates an occasion for hours on end, what might the person experience?', which among the choices hangovers, being happy, drinking, becoming tired nirvana, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After a winning baseball game, what experience would a team member feel? 

Answers: (A) sensation, (B) celebrating, (C) happiness, (D) recognition, (E) pride Given the question 'After a winning baseball game, what experience would a team member feel?', which among the choices sensation, celebrating, happiness, recognition pride, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After beginning work, what did the man do because he was tired? 

Answers: (A) sitting down, (B) procrastination, (C) getting tired, (D) stress, (E) relax Given the question 'After beginning work, what did the man do because he was tired?', which among the choices sitting down, procrastination, getting tired, stress relax, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After being in space the astronaut was happy to be breathing fresh air, it left him what? 

Answers: (A) breathe deeply, (B) feeling good, (C) feel refreshed, (D) living, (E) continue Given the question 'After being in space the astronaut was happy to be breathing fresh air, it left him what?', which among the choices breathe deeply, feeling good, feel refreshed, living continue, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After being stopping being married to someone who takes everything, what are you likely to experience? 

Answers: (A) fights, (B) pleasure, (C) happiness, (D) bankruptcy, (E) detachment Given the question 'After being stopping being married to someone who takes everything, what are you likely to experience?', which among the choices fights, pleasure, happiness, bankruptcy detachment, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After building his fire, the camper tried washing his hands, what was the immediate result? 

Answers: (A) dry skin, (B) health, (C) dry hands, (D) skin irritation, (E) become wet Given the question 'After building his fire, the camper tried washing his hands, what was the immediate result?', which among the choices dry skin, health, dry hands, skin irritation become wet, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After buying products, reading the manual enables what? 

Answers: (A) understand details, (B) being able to use, (C) loss of money, (D) economic boom, (E) spending money Given the question 'After buying products, reading the manual enables what?', which among the choices understand details, being able to use, loss of money, economic boom spending money, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After eating a dinner of uncooked chicken, what was felt by the poor man? 

Answers: (A) indigestion, (B) died, (C) illness, (D) feel better, (E) throwing up Given the question 'After eating a dinner of uncooked chicken, what was felt by the poor man?', which among the choices indigestion, died, illness, feel better throwing up, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After eating dinner, having plenty to eat, and exercising, what is likely to happen? 

Answers: (A) become tired, (B) indigestion, (C) flatulence, (D) become intoxicated, (E) become full Given the question 'After eating dinner, having plenty to eat, and exercising, what is likely to happen?', which among the choices become tired, indigestion, flatulence, become intoxicated become full, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After exercising for 3 hours straight, what did the girl experience? 

Answers: (A) exhaustion, (B) muscle growth, (C) tiredness, (D) sore muscles, (E) pain Given the question 'After exercising for 3 hours straight, what did the girl experience?', which among the choices exhaustion, muscle growth, tiredness, sore muscles pain, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After exiting a ring road and headed to a group of homes, where are you going? 

Answers: (A) freeway system, (B) home, (C) town, (D) cars, (E) european city Given the question 'After exiting a ring road and headed to a group of homes, where are you going?', which among the choices freeway system, home, town, cars european city, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After four long years he would no longer be a student, what had he been able to do? 

Answers: (A) solve equation, (B) begin teaching, (C) study book, (D) graduate, (E) finish college Given the question 'After four long years he would no longer be a student, what had he been able to do?', which among the choices solve equation, begin teaching, study book, graduate finish college, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After getting high his memory seemed shot, he felt practically what? 

Answers: (A) dead, (B) forgotten, (C) brainless, (D) forgetting, (E) forgetfulness Given the question 'After getting high his memory seemed shot, he felt practically what?', which among the choices dead, forgotten, brainless, forgetting forgetfulness, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After killing the animal, what was the animal doing? 

Answers: (A) dies, (B) dying, (C) not living, (D) grief, (E) suicide Given the question 'After killing the animal, what was the animal doing?', which among the choices dies, dying, not living, grief suicide, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After loading up his plate with all the food, what did he look for to wash it all down? 

Answers: (A) falling down, (B) cup, (C) fork, (D) food, (E) bowl Given the question 'After loading up his plate with all the food, what did he look for to wash it all down?', which among the choices falling down, cup, fork, food bowl, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After running for 100 miles, he couldn't any more, what is he suffering? 

Answers: (A) moving fast, (B) accidents, (C) injuries, (D) shortness of breath, (E) losing Given the question 'After running for 100 miles, he couldn't any more, what is he suffering?', which among the choices moving fast, accidents, injuries, shortness of breath losing, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After suffering a bad injury, where will a person get taken? 

Answers: (A) hockey game, (B) home, (C) hospital, (D) emergency room, (E) doctor's office Given the question 'After suffering a bad injury, where will a person get taken?', which among the choices hockey game, home, hospital, emergency room doctor's office, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what? 

Answers: (A) wrong, (B) death of, (C) bad, (D) negative, (E) evil Given the question 'After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?', which among the choices wrong, death of, bad, negative evil, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After the magic show they returned to their hotel, there was lots to see where? 

Answers: (A) touristic area, (B) different country, (C) las vegas, (D) resort, (E) city Given the question 'After the magic show they returned to their hotel, there was lots to see where?', which among the choices touristic area, different country, las vegas, resort city, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: After the sex she had spent the night at his house, he got up early to make and what? 

Answers: (A) love another, (B) coffee, (C) smoke, (D) eat breakfast, (E) wait for Given the question 'After the sex she had spent the night at his house, he got up early to make and what?', which among the choices love another, coffee, smoke, eat breakfast wait for, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All his friends said they liked girls who were thick, but he preferred them healthy but what? 

Answers: (A) slim, (B) brainy, (C) ocean, (D) slender, (E) runny Given the question 'All his friends said they liked girls who were thick, but he preferred them healthy but what?', which among the choices slim, brainy, ocean, slender runny, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All that was left to purchase was a bass drum, what would he have as a result? 

Answers: (A) rock band, (B) marching band, (C) drum set, (D) orchestra, (E) violin Given the question 'All that was left to purchase was a bass drum, what would he have as a result?', which among the choices rock band, marching band, drum set, orchestra violin, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All the artist had to do was paint the lips, what would his end result be on the canvas? 

Answers: (A) human face, (B) motion, (C) faces, (D) body, (E) clown Given the question 'All the artist had to do was paint the lips, what would his end result be on the canvas?', which among the choices human face, motion, faces, body clown, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All the children were having fun, the game of tag was a great choice of what? 

Answers: (A) effort, (B) exercise, (C) relaxing, (D) playing around, (E) activity Given the question 'All the children were having fun, the game of tag was a great choice of what?', which among the choices effort, exercise, relaxing, playing around activity, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All the movies always portray gasoline as the commodity, but he was convinced a garden would be the most valuable in a what? 

Answers: (A) driveway, (B) parking lot, (C) desert, (D) hop garden, (E) wasteland Given the question 'All the movies always portray gasoline as the commodity, but he was convinced a garden would be the most valuable in a what?', which among the choices driveway, parking lot, desert, hop garden wasteland, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All the siblings just kept reproducing with their husbands and wives, this led to a what? 

Answers: (A) larger family, (B) problems, (C) offspring, (D) fun, (E) birth Given the question 'All the siblings just kept reproducing with their husbands and wives, this led to a what?', which among the choices larger family, problems, offspring, fun birth, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: All the wild flowers were in bloom, it looked like somebody had painted the entire what? 

Answers: (A) table, (B) vase, (C) surface of earth, (D) countryside, (E) nursery Given the question 'All the wild flowers were in bloom, it looked like somebody had painted the entire what?', which among the choices table, vase, surface of earth, countryside nursery, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: An astronout in space needed to know what side of the planet the English Channel was on, where did he aim his spacecraft? 

Answers: (A) northern hemisphere, (B) atlantic ocean, (C) go boating, (D) england, (E) canada Given the question 'An astronout in space needed to know what side of the planet the English Channel was on, where did he aim his spacecraft?', which among the choices northern hemisphere, atlantic ocean, go boating, england canada, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what? 

Answers: (A) irritation, (B) correct, (C) responding, (D) polite, (E) sadness Given the question 'Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?', which among the choices irritation, correct, responding, polite sadness, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Any place sounded good besides McDonalds, he was hungry enough to go where? 

Answers: (A) city, (B) location, (C) map, (D) place, (E) almost anywhere Given the question 'Any place sounded good besides McDonalds, he was hungry enough to go where?', which among the choices city, location, map, place almost anywhere, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Art, playing music, and other hobbies are great ways of expressing yourself that can be great what? 

Answers: (A) fight, (B) communication, (C) fun, (D) understood, (E) suffering Given the question 'Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?', which among the choices fight, communication, fun, understood suffering, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: As a human in a large northeastern city, where can you see animals? 

Answers: (A) zoo, (B) workplace, (C) sky, (D) new york city, (E) many places Given the question 'As a human in a large northeastern city, where can you see animals?', which among the choices zoo, workplace, sky, new york city many places, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: As the man descended the mountains into the marsh, where was he? 

Answers: (A) louisiana, (B) florida, (C) everglades, (D) field, (E) low lands Given the question 'As the man descended the mountains into the marsh, where was he?', which among the choices louisiana, florida, everglades, field low lands, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: As you live life you get wiser, it is a part of what? 

Answers: (A) growing older, (B) death, (C) experience things, (D) toothsome, (E) breathe Given the question 'As you live life you get wiser, it is a part of what?', which among the choices growing older, death, experience things, toothsome breathe, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Attending meeting was his priority, he had to get a good what? 

Answers: (A) understanding, (B) start, (C) getting information, (D) result, (E) fall asleep Given the question 'Attending meeting was his priority, he had to get a good what?', which among the choices understanding, start, getting information, result fall asleep, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Because of foot rails coming loose, he always kept a screwdriver behind the what? 

Answers: (A) toolbox, (B) bookcase, (C) bar, (D) repair shop, (E) toolkit Given the question 'Because of foot rails coming loose, he always kept a screwdriver behind the what?', which among the choices toolbox, bookcase, bar, repair shop toolkit, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Before buying a house, what should I look for concerning my job? 

Answers: (A) make home, (B) security, (C) measureing distances, (D) examining poorch, (E) make money Given the question 'Before buying a house, what should I look for concerning my job?', which among the choices make home, security, measureing distances, examining poorch make money, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Before getting a divorce, what did the wife feel who was doing all the work? 

Answers: (A) harder, (B) anguish, (C) bitterness, (D) tears, (E) sadness Given the question 'Before getting a divorce, what did the wife feel who was doing all the work?', which among the choices harder, anguish, bitterness, tears sadness, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Being fat is unhealthy, one who is should probably exercise to what? 

Answers: (A) stay fit, (B) get in shape, (C) look better, (D) run faster, (E) eat healthily Given the question 'Being fat is unhealthy, one who is should probably exercise to what?', which among the choices stay fit, get in shape, look better, run faster eat healthily, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Bill is in a large marsh in Florida, where is he? 

Answers: (A) forest, (B) low lands, (C) louisiana, (D) everglades, (E) marsh Given the question 'Bill is in a large marsh in Florida, where is he?', which among the choices forest, low lands, louisiana, everglades marsh, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Bill was a weasel, but he's a weasel you wanted on your side.  He held what? 

Answers: (A) public office, (B) out of doors, (C) candles, (D) chicken coop, (E) barn Given the question 'Bill was a weasel, but he's a weasel you wanted on your side.  He held what?', which among the choices public office, out of doors, candles, chicken coop barn, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Bill was on a diet, but that didn't matter.  He cared most about his audio quality.  He had to turn up the gain because the high-impedance equipment he used cause what to volume? 

Answers: (A) lost, (B) lose weight, (C) loss, (D) waste, (E) reduce Given the question 'Bill was on a diet, but that didn't matter.  He cared most about his audio quality.  He had to turn up the gain because the high-impedance equipment he used cause what to volume?', which among the choices lost, lose weight, loss, waste reduce, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Billy cared about his opponent, in spite of their disagreements.  Because of that, when he lost the primary, Billy began to do what for him? 

Answers: (A) proponent, (B) supporter, (C) falling down, (D) advocate, (E) dig up skeletons Given the question 'Billy cared about his opponent, in spite of their disagreements.  Because of that, when he lost the primary, Billy began to do what for him?', which among the choices proponent, supporter, falling down, advocate dig up skeletons, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Billy is an animal, but he is alergic to trees. He hates them very much.  Still, he wants to have a picnic and can't stand the idea of buying food from a restaurant.  Where would he have his picnic? 

Answers: (A) addidas, (B) north america, (C) cafe, (D) outside, (E) woodland Given the question 'Billy is an animal, but he is alergic to trees. He hates them very much.  Still, he wants to have a picnic and can't stand the idea of buying food from a restaurant.  Where would he have his picnic?', which among the choices addidas, north america, cafe, outside woodland, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Billy liked seeing new teachers at school.   He enjoyed meeting new people, but didn't care about the quality of his what? 

Answers: (A) excitement, (B) university of chicago, (C) fear, (D) envy, (E) education Given the question 'Billy liked seeing new teachers at school.   He enjoyed meeting new people, but didn't care about the quality of his what?', which among the choices excitement, university of chicago, fear, envy education, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Billy likes eating breakfast in bed, but he doesn't do it often.  He likes his clean sheets too much. Why doesn't he eat breakfast in bed that often? 

Answers: (A) pleasure, (B) indigestion, (C) convenience, (D) spills, (E) feel guilty Given the question 'Billy likes eating breakfast in bed, but he doesn't do it often.  He likes his clean sheets too much. Why doesn't he eat breakfast in bed that often?', which among the choices pleasure, indigestion, convenience, spills feel guilty, is the correct answer? Explain your reasoning using conditional statements.

",A
"
Questions: Billy loved choose, but he didn't put it on his meal because he was watching his weight. He even used a low fat what? 

Answers: (A) lot of fat, (B) salad dressing, (C) strong odor, (D) age to get better, (E) age well Given the question 'Billy loved choose, but he didn't put it on his meal because he was watching his weight. He even used a low fat what?', which among the choices lot of fat, salad dressing, strong odor, age to get better age well, is the correct answer? Explain your reasoning using conditional statements.

",A
