Questions,Answers,Answer,Rationale
"An astronout in space needed to know what side of the planet the English Channel was on, where did he aim his spacecraft?",(D) advocate,(D) advocate,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?",(D) outside,(D) outside,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Any place sounded good besides McDonalds, he was hungry enough to go where?",(E) education,(E) education,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?",(D) spills,(D) spills,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"As a human in a large northeastern city, where can you see animals?",(B) salad dressing,(B) salad dressing,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"As the man descended the mountains into the marsh, where was he?",(C) falling,(C) falling,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"As you live life you get wiser, it is a part of what?",(A) fruit basket,(A) fruit basket,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Attending meeting was his priority, he had to get a good what?",(C) weight gain,(C) weight gain,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Because of foot rails coming loose, he always kept a screwdriver behind the what?",(C) being heard,(C) being heard,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Before buying a house, what should I look for concerning my job?",(C) wonder,(C) wonder,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Before getting a divorce, what did the wife feel who was doing all the work?",(E) tool box,(E) tool box,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Being fat is unhealthy, one who is should probably exercise to what?",(D) north dakota,(D) north dakota,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Bill is in a large marsh in Florida, where is he?",(B) lie flat,(B) lie flat,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Bill was a weasel, but he's a weasel you wanted on your side. He held what?",(D) input,(D) input,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Bill was on a diet, but that didn't matter. He cared most about his audio quality. He had to turn up the gain because the high-impedance equipment he used cause what to volume?",(D) competency,(D) competency,"The question implies a direct cause and effect relationship, so the most straightforward answer is chosen."
"Billy cared about his opponent, in spite of their disagreements. Because of that, when he lost the primary, Billy began to do what for him?",(E) buy food,(E) buy food,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Billy is an animal, but he is alergic to trees. He hates them very much. Still, he wants to have a picnic and can't stand the idea of buying food from a restaurant. Where would he have his picnic?","(D) graduate - Reasoning: After four years, particularly in the context of education, it's common to refer to graduation.",particularly in the context of education,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy liked seeing new teachers at school. He enjoyed meeting new people, but didn't care about the quality of his what?","(C) be forgetful - Reasoning: The statement implies that after getting high, he had memory issues, which means he became forgetful.",he had memory issues,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy likes eating breakfast in bed, but he doesn't do it often. He likes his clean sheets too much. Why doesn't he eat breakfast in bed that often?","(D) be dead - Reasoning: If an animal has been killed, it is dead.",it is dead.,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy loved choose, but he didn't put it on his meal because he was watching his weight. He even used a low fat what?","(E) drink - Reasoning: After loading a plate with food, one would typically look for a drink to accompany the meal.",(E) drink - Reasoning: After loading a plate with food,"The question implies a direct cause and effect relationship, so the most straightforward answer is chosen."
"Billy loved climbing, and he eventually suffered a brain injury due to what?",(B) fatigue - Reasoning: Running for an extended distance such as 100 miles would likely result in extreme fatigue.,(B) fatigue - Reasoning: Running for an extended distance such as 100 miles would likely result in extreme fatigue.,"The question implies a direct cause and effect relationship, so the most straightforward answer is chosen."
"Billy loved grapes and other similar foods, so for his birthday his friends bought him one of these. What did they buy him?","(A) hospital - Reasoning: After suffering a severe injury, a person would likely be taken to a hospital for treatment.",a person would likely be taken to a hospital for treatment.,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Billy loved having food, but he didn't like the consequences of overeating. What is the long-term consequence of having too much food?","(D) evil - Reasoning: In the context of a judge speaking to a murderer after a guilty verdict, referring to the murderer as 'pure' typically is followed by a term denoting malevolence, such as 'evil'.",referring to the murderer as 'pure' typically is followed by a term denoting malevolence,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy loved singing, because it let him do what?","(C) city - Reasoning: Museums, especially those that feature a 'lot to see', are typically found in cities.",(C) city - Reasoning: Museums,"The question implies a direct cause and effect relationship, so the most straightforward answer is chosen."
"Billy loves science, history, and art but isn't very creative. When he was visiting the museum, he felt a great deal of what emotion?",(D) breakfast - Reasoning: The statement provides context that he got up early after she spent the night. Making breakfast is a plausible action in this context.,(D) breakfast - Reasoning: The statement provides context that he got up early after she spent the night. Making breakfast is a plausible action in this context.,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy needed his hammer, so he looked where?","(E) slim - Reasoning: If he liked girls who were 'thick' but healthy, then he likely preferred them to be slim but healthy.",then he likely preferred them to be slim but healthy.,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Billy thought that there wasn't any point to hunting foxes. Besides, it was too dry to find many. Where might he have been?","(D) drum set - Reasoning: A bass drum is a component of a drum set, and if it's the only thing left to purchase, it implies he's assembling a drum set.",it implies he's assembling a drum set.,"The question doesn't present a clear pattern, so an available option is chosen as a default."
"Billy tried to arise, but he could not stand from bed. He continued to do what?",(D) portrait - Reasoning: The artist painting lips indicates he's working on a portrait.,(D) portrait - Reasoning: The artist painting lips indicates he's working on a portrait.,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy wants to learn how to socialize, but he doesn't know where to start. He calls his best friend and asks for what?","(A) activity - Reasoning: Among the options, tag being a choice of 'activity' makes the most sense in the context of children having fun.",tag being a choice of 'activity' makes the most sense in the context of children having fun.,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy's disability prevented him from moving, but it didn't alter his mind or what?","(C) desert - Reasoning: The scenario describes a place where water (for a garden) would be more valuable than gasoline, implying a place where water is scarce. A desert fits this description.",implying a place where water is scarce. A desert fits this description.,"The question presents a contrast or exception, so a contrasting answer is chosen."
"Billy's oven was broken so he couldn't cook. His microwave was also not working, so he couldn't use it, either. Billy needed money so that he could do what?","(A) larger family - Reasoning: If all the siblings are reproducing, it implies that the family is expanding in size.",it implies that the family is expanding in size.,"The question doesn't present a clear pattern, so an available option is chosen as a default."
