premise,hypothesis,rationale,prompt
"A person wants to lose mass,what steps do the take?","['increase stamina', 'get fitter', 'eat healthy food', 'too fat', 'good health']","6. The correct answer is **(C) eat healthy food**. A person who wants to lose mass or weight needs to consume fewer calories than they burn. One of the ways to do this is by eating healthy food that is low in fat, sugar, and salt, and high in fiber, protein, and vitamins. Increasing stamina, getting fitter, being too fat, and having good health are not steps that a person can take to lose mass, but they are possible outcomes or goals of losing mass.
","Questions: A person wants to lose mass,what steps do the take?, Choices: (A) increase stamina, (B) get fitter, (C) eat healthy food, (D) too fat, (E) good health. What is the correct answer to the question 'A person wants to lose mass,what steps do the take?' with the options increase stamina, get fitter, eat healthy food, too fat good health? Provide a straightforward explanation. 
"
"Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?","['stammering', 'maundering', 'speechless', 'talking', 'tongueless']","7. The correct answer is **(A) stammering**. Stammering is a speech disorder that causes a person to repeat or prolong sounds, syllables, or words, or to have involuntary pauses or blocks in speech. Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much stammering. Maundering, speechless, talking, and tongueless are not words that describe what Ben did.
","Questions: Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?, Choices: (A) stammering, (B) maundering, (C) speechless, (D) talking, (E) tongueless. What is the correct answer to the question 'Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?' with the options stammering, maundering, speechless, talking tongueless? Provide a straightforward explanation. 
"
"Betty felt that being in love was vital and important, necessary to do what?","['propose to woman', 'kiss', 'propose to woman', 'live life', 'sing']","8. The correct answer is **(D) live life**. Betty felt that being in love was vital and important, necessary to live life. To live life means to enjoy and make the most of one's existence. Proposing to a woman, kissing, singing, and proposing to a woman again are not things that Betty felt were necessary to do because of being in love, but they are possible expressions or consequences of being in love.
","Questions: Betty felt that being in love was vital and important, necessary to do what?, Choices: (A) propose to woman, (B) kiss, (C) propose to woman, (D) live life, (E) sing. What is the correct answer to the question 'Betty felt that being in love was vital and important, necessary to do what?' with the options propose to woman, kiss, propose to woman, live life sing? Provide a straightforward explanation. 
"
"Bill has a desire to learn, but doesn't personally know any teacher, where should he go?","['memorize', 'understand better', 'attend school', 'read book', 'church']","9. The correct answer is **(C) attend school**. A school is an institution where people go to learn from teachers and other students. Bill has a desire to learn, but he doesn't personally know any teacher, so he should go to a school. Memorizing, understanding better, reading a book, and going to a church are not places where Bill should go, but they are possible ways or activities that can help him learn.
","Questions: Bill has a desire to learn, but doesn't personally know any teacher, where should he go?, Choices: (A) memorize, (B) understand better, (C) attend school, (D) read book, (E) church. What is the correct answer to the question 'Bill has a desire to learn, but doesn't personally know any teacher, where should he go?' with the options memorize, understand better, attend school, read book church? Provide a straightforward explanation. 
"
What would you experience after awaking from a nightmare?,"['headache', 'get up', 'happiness', 'discomfort', 'shock']","10. The correct answer is **(E) shock**. Shock is a state of emotional or physical distress caused by a sudden or traumatic event. A nightmare is a bad or frightening dream that can cause a person to wake up feeling scared or anxious. What would you experience after awaking from a nightmare? You would experience shock. A headache, getting up, happiness, and discomfort are not things that you would necessarily experience after awaking from a nightmare, but they are possible effects or reactions of having a nightmare. ","Questions: What would you experience after awaking from a nightmare?, Choices: (A) headache, (B) get up, (C) happiness, (D) discomfort, (E) shock. What is the correct answer to the question 'What would you experience after awaking from a nightmare?' with the options headache, get up, happiness, discomfort shock? Provide a straightforward explanation. 
"
What would you likely see a group of horses doing together?,"['graze in fields', 'brown', 'put in stall', 'big but gentle', 'running in herd']","1. The correct answer is **(A) graze in fields**. This is because horses are herbivorous animals that feed on grass and other plants. Grazing is a common activity that horses do together in fields or pastures.
","Questions: What would you likely see a group of horses doing together?, Choices: (A) graze in fields, (B) brown, (C) put in stall, (D) big but gentle, (E) running in herd. What is the correct answer to the question 'What would you likely see a group of horses doing together?' with the options graze in fields, brown, put in stall, big but gentle running in herd? Provide a straightforward explanation. 
"
When a curtain closes this is over.  What is this?,"['bridge', 'show', 'house', 'department store', 'window']","2. The correct answer is **(B) show**. This is because a show is a type of performance or entertainment that usually takes place on a stage with a curtain. When the curtain closes, it means that the show is over and the audience can applaud or leave.
","Questions: When a curtain closes this is over.  What is this?, Choices: (A) bridge, (B) show, (C) house, (D) department store, (E) window. What is the correct answer to the question 'When a curtain closes this is over.  What is this?' with the options bridge, show, house, department store window? Provide a straightforward explanation. 
"
When competing against a fighter with better training you'll likely get a what?,"['pride', 'free hat', 'emotions', 'injury', 'one winner']","3. The correct answer is **(D) injury**. This is because an injury is a physical harm or damage to the body that can result from fighting or competing against someone who has better training or skills. An injury can be painful, serious, or even life-threatening.
","Questions: When competing against a fighter with better training you'll likely get a what?, Choices: (A) pride, (B) free hat, (C) emotions, (D) injury, (E) one winner. What is the correct answer to the question 'When competing against a fighter with better training you'll likely get a what?' with the options pride, free hat, emotions, injury one winner? Provide a straightforward explanation. 
"
What can light do when it passes through the air?,"['beam', 'polarised', 'carry information', 'age paper', 'illuminate']","4. The correct answer is **(C) carry information**. This is because light can be used to transmit or encode information through various methods, such as optical fibers, lasers, or LEDs. Light can carry information over long distances and at high speeds.
","Questions: What can light do when it passes through the air?, Choices: (A) beam, (B) polarised, (C) carry information, (D) age paper, (E) illuminate. What is the correct answer to the question 'What can light do when it passes through the air?' with the options beam, polarised, carry information, age paper illuminate? Provide a straightforward explanation. 
"
What is the opposite of deep?,"['frivolous', 'shallow', 'high', 'light', 'funny']","5. The correct answer is **(B) shallow**. This is because shallow is an adjective that means having little depth or distance from the surface. Deep is an adjective that means having a lot of depth or distance from the surface. Shallow and deep are antonyms, which are words that have opposite meanings.
","Questions: What is the opposite of deep?, Choices: (A) frivolous, (B) shallow, (C) high, (D) light, (E) funny. What is the correct answer to the question 'What is the opposite of deep?' with the options frivolous, shallow, high, light funny? Provide a straightforward explanation. 
"
What is the worst outcome of an injury?,"['cause death', 'cause bleeding', 'falling down', 'become infected', 'claim insurance']","6. The correct answer is **(A) cause death**. This is because death is the permanent cessation of all vital functions of the body. Death is the most severe and irreversible outcome of an injury. Death can be caused by various types of injuries, such as trauma, bleeding, infection, or organ failure.
","Questions: What is the worst outcome of an injury?, Choices: (A) cause death, (B) cause bleeding, (C) falling down, (D) become infected, (E) claim insurance. What is the correct answer to the question 'What is the worst outcome of an injury?' with the options cause death, cause bleeding, falling down, become infected claim insurance? Provide a straightforward explanation. 
"
What is the worst part of playing games?,"['learning', 'happiness', 'competition', 'losing', 'fatigue']","7. The correct answer is **(D) losing**. This is because losing is the opposite of winning, which is the goal of playing games. Losing can be frustrating, disappointing, or demoralizing for the players. Losing can also affect the players' self-esteem, motivation, or enjoyment of the game.
","Questions: What is the worst part of playing games?, Choices: (A) learning, (B) happiness, (C) competition, (D) losing, (E) fatigue. What is the correct answer to the question 'What is the worst part of playing games?' with the options learning, happiness, competition, losing fatigue? Provide a straightforward explanation. 
"
What item does the fork belong on?,"['plate', 'video game', 'kitchen drawer', 'table', 'road']","8. The correct answer is **(A) plate**. This is because a plate is a flat and round dish that is used to serve or eat food. A fork is a utensil that has a handle and several prongs that are used to pick up or cut food. A fork belongs on a plate when eating or serving food.
","Questions: What item does the fork belong on?, Choices: (A) plate, (B) video game, (C) kitchen drawer, (D) table, (E) road. What is the correct answer to the question 'What item does the fork belong on?' with the options plate, video game, kitchen drawer, table road? Provide a straightforward explanation. 
"
What offers shelter in the woods?,"['house', 'shelterbelt', 'bus stop', 'tree', 'plants']","9. The correct answer is **(D) tree**. This is because a tree is a tall and woody plant that has a trunk, branches, and leaves. A tree can offer shelter in the woods by providing shade, protection, or camouflage from the sun, rain, wind, or predators.
","Questions: What offers shelter in the woods?, Choices: (A) house, (B) shelterbelt, (C) bus stop, (D) tree, (E) plants. What is the correct answer to the question 'What offers shelter in the woods?' with the options house, shelterbelt, bus stop, tree plants? Provide a straightforward explanation. 
"
What place is not interesting to children?,"['classroom', 'toy store', 'school', 'soccer game', 'dinner']","10. The correct answer is **(A) classroom**. This is because a classroom is a room in a school where students learn from a teacher. A classroom can be boring, dull, or stressful for some children, especially if they do not like the subject, the teacher, or the homework. A classroom can also limit the children's creativity, curiosity, or freedom.","Questions: What place is not interesting to children?, Choices: (A) classroom, (B) toy store, (C) school, (D) soccer game, (E) dinner. What is the correct answer to the question 'What place is not interesting to children?' with the options classroom, toy store, school, soccer game dinner? Provide a straightforward explanation. 
"
What is the biological purpose of eating breakfast?,"['halitosis', 'fullness', 'overeating', 'gas', 'gain energy']","1. The correct answer is **(E) gain energy**. The biological purpose of eating breakfast is to provide the body with energy and nutrients after a long period of fasting during the night. Breakfast helps to replenish the blood sugar levels and boost the metabolism, which are essential for physical and mental performance.

","Questions: What is the biological purpose of eating breakfast?, Choices: (A) halitosis, (B) fullness, (C) overeating, (D) gas, (E) gain energy. What is the correct answer to the question 'What is the biological purpose of eating breakfast?' with the options halitosis, fullness, overeating, gas gain energy? Provide a straightforward explanation. 
"
What is the consequence of a long day of doing housework?,"['low pay', 'become tired', 'nice home', 'boredom', 'dizziness']","2. The correct answer is **(B) become tired**. The consequence of a long day of doing housework is that the person may become tired and exhausted from the physical and mental effort. Housework involves various tasks that require muscle strength, coordination, concentration, and decision making. Doing too much housework without adequate rest can lead to fatigue, stress, and reduced well-being.

","Questions: What is the consequence of a long day of doing housework?, Choices: (A) low pay, (B) become tired, (C) nice home, (D) boredom, (E) dizziness. What is the correct answer to the question 'What is the consequence of a long day of doing housework?' with the options low pay, become tired, nice home, boredom dizziness? Provide a straightforward explanation. 
"
What is the difference between one having solidity?,"['openness', 'fluidity', 'hollowness', 'weakness', 'instability']","3. The correct answer is **(B) fluidity**. The difference between one having solidity and one having fluidity is that the former is rigid and fixed, while the latter is flexible and adaptable. Solidity refers to the state of being firm and stable, while fluidity refers to the state of being able to change and flow. A solid object has a definite shape and volume, while a fluid object can take the shape of its container and vary its volume.

","Questions: What is the difference between one having solidity?, Choices: (A) openness, (B) fluidity, (C) hollowness, (D) weakness, (E) instability. What is the correct answer to the question 'What is the difference between one having solidity?' with the options openness, fluidity, hollowness, weakness instability? Provide a straightforward explanation. 
"
Two bookends were on the shelf.  They supported a line of what?,"['librarian', 'pair', 'school library', 'library book', 'bookshelf']","4. The correct answer is **(D) library book**. Two bookends were on the shelf. They supported a line of library books. Bookends are devices that are placed at the ends of a row of books to keep them upright and prevent them from falling over. Library books are books that are owned by a library and can be borrowed by the public for a limited period of time.

","Questions: Two bookends were on the shelf.  They supported a line of what?, Choices: (A) librarian, (B) pair, (C) school library, (D) library book, (E) bookshelf. What is the correct answer to the question 'Two bookends were on the shelf.  They supported a line of what?' with the options librarian, pair, school library, library book bookshelf? Provide a straightforward explanation. 
"
"Some people really loved beer, they call it what gold?","['alcohol in', 'intoxicating', 'liquid', 'hair of the dog', 'harmful']","5. The correct answer is **(C) liquid**. Some people really loved beer, they call it liquid gold. Liquid gold is a term that is used to describe something that is very valuable and desirable, especially something that is rare or hard to obtain. Beer is a popular alcoholic beverage that is made from fermented grains, hops, yeast, and water. Some people enjoy drinking beer for its taste, effects, or social aspects.

","Questions: Some people really loved beer, they call it what gold?, Choices: (A) alcohol in, (B) intoxicating, (C) liquid, (D) hair of the dog, (E) harmful. What is the correct answer to the question 'Some people really loved beer, they call it what gold?' with the options alcohol in, intoxicating, liquid, hair of the dog harmful? Provide a straightforward explanation. 
"
"The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?","['main course', 'prince edward island', 'ireland', 'french fries', 'idaho']","6. The correct answer is **(B) prince edward island**. The Canadian farmer wondered if potatoes would grow where he lived, his likely location was Prince Edward Island. Prince Edward Island is a province of Canada that is located in the Gulf of St. Lawrence. It is known for its fertile soil and agricultural production, especially of potatoes. It is the smallest province in Canada by both area and population, but it is the largest potato producer in the country.

","Questions: The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?, Choices: (A) main course, (B) prince edward island, (C) ireland, (D) french fries, (E) idaho. What is the correct answer to the question 'The Canadian farmer wondered if potatoes would grow where he lived, where was his likely location?' with the options main course, prince edward island, ireland, french fries idaho? Provide a straightforward explanation. 
"
"The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?","['drive in movie', 'monitor', 'movies', 'home', 'theatre']","7. The correct answer is **(E) theatre**. The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a theatre. IMAX is a system of high-resolution cameras, film formats, and projection screens that are designed to create an immersive and realistic cinematic experience. IMAX screens are much larger and wider than conventional screens, and they can fill the viewer's field of vision. A theatre is a building or a room where movies, plays, concerts, or other performances are shown to an audience.

","Questions: The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?, Choices: (A) drive in movie, (B) monitor, (C) movies, (D) home, (E) theatre. What is the correct answer to the question 'The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?' with the options drive in movie, monitor, movies, home theatre? Provide a straightforward explanation. 
"
"The Mississippi is a very large river, it is the largest in the North American what?","['wilderness', 'country', 'city', 'bridge', 'continent']","8. The correct answer is **(E) continent**. The Mississippi is a very large river, it is the largest in the North American continent. The Mississippi River is a major river that flows through the United States, from Minnesota to the Gulf of Mexico. It is the second-longest river in North America, after the Missouri River, and the fourth-longest river in the world. It drains about 40% of the land area of the United States, and it has a significant role in the history, culture, economy, and ecology of the region.

","Questions: The Mississippi is a very large river, it is the largest in the North American what?, Choices: (A) wilderness, (B) country, (C) city, (D) bridge, (E) continent. What is the correct answer to the question 'The Mississippi is a very large river, it is the largest in the North American what?' with the options wilderness, country, city, bridge continent? Provide a straightforward explanation. 
"
"Man is reading the bible before talking to a priest, what is he likely to do?","['motel', 'at hotel', 'found in church', 'considered to holy book', 'confession']","9. The correct answer is **(E) confession**. Man is reading the bible before talking to a priest, he is likely to do a confession. A confession is a religious practice in which a person admits their sins and asks for forgiveness from God and the church. The bible is a sacred book that contains the writings and teachings of Christianity and Judaism. A priest is a religious leader who is authorized to perform the rites and ceremonies of the church. Reading the bible before talking to a priest may help the person to prepare for the confession and to reflect on their faith and morals.

","Questions: Man is reading the bible before talking to a priest, what is he likely to do?, Choices: (A) motel, (B) at hotel, (C) found in church, (D) considered to holy book, (E) confession. What is the correct answer to the question 'Man is reading the bible before talking to a priest, what is he likely to do?' with the options motel, at hotel, found in church, considered to holy book confession? Provide a straightforward explanation. 
"
"Manny refused to give the court respect, and was charged with what?","['dishonor', 'contempt', 'humiliate', 'disdain', 'scorn']","10. The correct answer is **(B) contempt**. Manny refused to give the court respect, and was charged with contempt. Contempt is a legal term that refers to the offense of disobeying or disrespecting the authority, orders, or rules of a court or a judge. Contempt can be civil or criminal, depending on the nature and severity of the violation. Contempt can result in fines, imprisonment, or other sanctions. Respect is a feeling or attitude of admiration, esteem, or deference for someone or something. Giving the court respect means following the proper etiquette, protocol, and decorum when appearing before the court or the judge.","Questions: Manny refused to give the court respect, and was charged with what?, Choices: (A) dishonor, (B) contempt, (C) humiliate, (D) disdain, (E) scorn. What is the correct answer to the question 'Manny refused to give the court respect, and was charged with what?' with the options dishonor, contempt, humiliate, disdain scorn? Provide a straightforward explanation. 
"
"Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?","['condition heart', 'expend energy', 'laugh', 'stretch', 'weigh']","1. The correct answer is (B) expend energy. Exercise is a healthy way to expend energy that might otherwise be used for addictive behaviors. Exercise also releases endorphins, which are natural chemicals that make you feel good and reduce stress.

","Questions: Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?, Choices: (A) condition heart, (B) expend energy, (C) laugh, (D) stretch, (E) weigh. What is the correct answer to the question 'Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?' with the options condition heart, expend energy, laugh, stretch weigh? Provide a straightforward explanation. 
"
"Many in the flock often forget the most basic tenants, a big one being that on god can what?","['anything', 'everywhere', 'judge men', 'give peace', 'help people']","2. The correct answer is (C) judge men. Many in the flock often forget the most basic tenets, a big one being that only God can judge men. This means that humans should not judge each other harshly, but leave the final judgment to God.

","Questions: Many in the flock often forget the most basic tenants, a big one being that on god can what?, Choices: (A) anything, (B) everywhere, (C) judge men, (D) give peace, (E) help people. What is the correct answer to the question 'Many in the flock often forget the most basic tenants, a big one being that on god can what?' with the options anything, everywhere, judge men, give peace help people? Provide a straightforward explanation. 
"
"Many people gather together on Sundays, they tend to believe that earth is what?","['one moon', 'flat', ""god's creation"", 'milky way', 'universe']","3. The correct answer is (C) God's creation. Many people gather together on Sundays, they tend to believe that earth is God's creation. This means that they believe that God created the earth and everything in it, and that humans have a responsibility to take care of it.

","Questions: Many people gather together on Sundays, they tend to believe that earth is what?, Choices: (A) one moon, (B) flat, (C) god's creation, (D) milky way, (E) universe. What is the correct answer to the question 'Many people gather together on Sundays, they tend to believe that earth is what?' with the options one moon, flat, god's creation, milky way universe? Provide a straightforward explanation. 
"
"Many people have mental issues, they need someone to what to?","['listen to music', 'play games', 'eat ice cream', 'have fun with', 'talk']","4. The correct answer is (E) talk. Many people have mental issues, they need someone to talk to. Talking to someone can help them express their feelings, cope with their problems, and get support and advice.

","Questions: Many people have mental issues, they need someone to what to?, Choices: (A) listen to music, (B) play games, (C) eat ice cream, (D) have fun with, (E) talk. What is the correct answer to the question 'Many people have mental issues, they need someone to what to?' with the options listen to music, play games, eat ice cream, have fun with talk? Provide a straightforward explanation. 
"
